,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AssetImpairmentCharges,,,,,,,,,,,,,6518000.000,2403000.000,2392000.000,4222000.000,164742000.000,3178000.000
BusinessAcquisitionsProFormaNetIncomeLoss,32459000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,231001000.000,,,,,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,85280000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-331092000.000,,,,-18966000.000,,,,-7390000.000,,,,11762000.000,,,,-236419000.000,
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangeDueToNetIncomeAttributableToParentAndEffectsOfChangesNet,,,,,,,,,,,,,71100000.000,,,,77900000.000,
CostsAndExpenses,166976000.000,185920000.000,188499000.000,194171000.000,189521000.000,228576000.000,222931000.000,242234000.000,284231000.000,287324000.000,292456000.000,791246000.000,247158000.000,273710000.000,312818000.000,346395000.000,523333000.000,379755000.000
DeferredIncomeTaxExpenseBenefit,1124000.000,,,,290000.000,,,,3758000.000,,,,1852000.000,,,,3128000.000,
DeferredOtherTaxExpenseBenefit,-46530000.000,,,,-38160000.000,,,,-41844000.000,,,,-135400000.000,,,,,
DepreciationAndAmortization,32440000.000,36496000.000,37615000.000,39365000.000,40612000.000,43746000.000,45651000.000,53147000.000,70292000.000,,,,,,,,,
DepreciationDepletionAndAmortization,32440000.000,,,,40612000.000,,,,70292000.000,65961000.000,65688000.000,42222000.000,65095000.000,67305000.000,67246000.000,73287000.000,69702000.000,74031000.000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,77244000.000,,,,,,,
DistributionMadeToLimitedPartnerCashDistributionsDeclared,,,46789000.000,,54726000.000,59378000.000,63756000.000,,74977000.000,79630000.000,83461000.000,,92767000.000,94958000.000,97968000.000,,107549000.000,115487000.000
DistributionMadeToLimitedPartnerDistributionsDeclaredPerUnit,,,0.214,,0.250,0.271,0.291,,0.343,0.364,0.381,,0.424,0.434,0.448,,0.491,0.527
DistributionMadeToMemberOrLimitedPartnerCashDistributionsDeclared,39100000.000,43200000.000,,,,,,,,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerDistributionsDeclaredPerUnit,0.179,0.198,,,,,,,,,,,,,,,,
EquityMethodInvestmentDividendsOrDistributions,,,,,10269000.000,,,,18706000.000,,,,19855000.000,,,,19114000.000,
FairValueOfAssetsAcquired,,,,,,,,,,,,,,,,,548628000.000,
GainOnBusinessInterruptionInsuranceRecovery,,,,,,,,,,,,,,2603000.000,13667000.000,,5767000.000,24115000.000
GeneralAndAdministrativeExpense,8929000.000,8209000.000,7962000.000,8364000.000,9386000.000,8757000.000,8666000.000,10649000.000,11347000.000,9442000.000,10059000.000,10369000.000,12515000.000,11887000.000,12112000.000,12734000.000,13476000.000,11197000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,55912000.000,61270000.000,81175000.000,86610000.000,89947000.000,97972000.000,106062000.000,95425000.000,90426000.000,110730000.000,164413000.000,-428735000.000,124392000.000,166103000.000,169647000.000,145210000.000,106213000.000,175196000.000
IncomeLossFromEquityMethodInvestments,,,,,9251000.000,13008000.000,19063000.000,16514000.000,18220000.000,18941000.000,21976000.000,12114000.000,16814000.000,19693000.000,20294000.000,21916000.000,19461000.000,21728000.000
IncomeTaxExpenseBenefit,4236000.000,137000.000,58000.000,-1851000.000,-228000.000,226000.000,278000.000,1751000.000,4460000.000,-1816000.000,1661000.000,-925000.000,6633000.000,326000.000,472000.000,941000.000,3552000.000,843000.000
IncomeTaxesPaidNet,,,,,,,,,-138000.000,,,,67000.000,,,,189000.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,,,18446000.000,,,,-29935000.000,
IncreaseDecreaseInAccountsReceivable,-21439000.000,,,,10976000.000,,,,17798000.000,,,,-12513000.000,,,,1530000.000,
IncreaseDecreaseInAccruedLiabilities,22469000.000,,,,-2583000.000,,,,10552000.000,,,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,,,,,,,,,,,-3240000.000,,,,-157000.000,
IncreaseDecreaseInOtherOperatingLiabilities,-1405000.000,,,,2087000.000,,,,-1010000.000,,,,,,,,,
IncreaseDecreaseInOutstandingChecksFinancingActivities,-2808000.000,,,,1928000.000,,,,-2468000.000,,,,-994000.000,,,,1024000.000,
InterestExpense,11811000.000,12654000.000,13018000.000,14314000.000,13961000.000,20864000.000,20878000.000,21066000.000,22962000.000,27604000.000,31773000.000,31535000.000,32139000.000,13429000.000,31301000.000,39759000.000,36033000.000,36297000.000
InterestIncomeRelatedParty,,,4225000.000,,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000,4225000.000
InterestPaidNet,11244000.000,,,,14106000.000,,,,17596000.000,,,,18223000.000,,,,29014000.000,
InventoryWriteDown,,,,,,,,,,,,,,,,,45000.000,
MinorityInterestIncreaseFromStockIssuance,1097000.000,,,,,,,,,,,,,,,,,
NaturalGasMidstreamCosts,83083000.000,93460000.000,93516000.000,94226000.000,91950000.000,118085000.000,108393000.000,119528000.000,137920000.000,146293000.000,127721000.000,116501000.000,76467000.000,104849000.000,145643000.000,167235000.000,189359000.000,203277000.000
NetCashProvidedByUsedInFinancingActivities,311635000.000,,,,435247000.000,,,,41115000.000,,,,618697000.000,,,,-175658000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,311635000.000,,,,435247000.000,,,,41115000.000,,,,618697000.000,,,,-175658000.000,
NetCashProvidedByUsedInInvestingActivities,-771888000.000,,,,-576697000.000,,,,-203960000.000,,,,-842818000.000,,,,-252434000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-771888000.000,,,,-576697000.000,,,,-203960000.000,,,,-842818000.000,,,,-252434000.000,
NetCashProvidedByUsedInOperatingActivities,129161000.000,,,,122484000.000,,,,155455000.000,,,,235883000.000,,,,191673000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,129161000.000,,,,122484000.000,,,,155455000.000,,,,235883000.000,,,,191673000.000,
NetIncomeLoss,32315000.000,34711000.000,44338000.000,48850000.000,49541000.000,55254000.000,59952000.000,57164000.000,57029000.000,67795000.000,88284000.000,-125245000.000,81816000.000,88863000.000,91397000.000,83696000.000,75940000.000,104944000.000
NetIncomeLossAllocatedToLimitedPartners,,,44338000.000,,50497000.000,55254000.000,59952000.000,57164000.000,55287000.000,67795000.000,88284000.000,-125245000.000,70490000.000,88863000.000,91397000.000,83696000.000,75940000.000,104944000.000
