,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForCurrencyTranslation,,,,,,,6000.000,55000.000,,,17000.000,,,,98000.000,,,,,,,,
AccrualForEnvironmentalLossContingenciesPayments,,,,,,,121000.000,461000.000,,,942000.000,,,,517000.000,,,,,,,,
AccrualForEnvironmentalLossContingenciesPayments1,,,,,,,,,,,,,,,,,,,454000.000,,,,533000.000
AccrualForEnvironmentalLossContingenciesPeriodIncreaseDecrease,,,,,,,396000.000,1628000.000,,,283000.000,,,,555000.000,,,,610000.000,,,,1952000.000
AmortizationOfAcquiredIntangibleAssets,,,,,60000.000,,64000.000,63000.000,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,61000.000,,,,,63000.000,,66000.000,106000.000,182000.000,176000.000,169000.000,166000.000,245000.000,285000.000,176000.000,211000.000,227000.000,397000.000,398000.000
BusinessCombinationAcquisitionRelatedCosts,,0.000,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-11144000.000,,,,8326000.000,,,,-965000.000,,,,22392000.000,,,,41623000.000,,,,25033000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,-1080000.000,,,,-45000.000,,,,-869000.000,,,,-517000.000,,,,382000.000,,,,-511000.000
ComprehensiveIncomeNetOfTax,,,12765000.000,823000.000,6996000.000,39215000.000,7620000.000,3597000.000,8483000.000,21344000.000,831000.000,20736000.000,-6186000.000,15903000.000,-9706000.000,26341000.000,10920000.000,19194000.000,21879000.000,14313000.000,9655000.000,25760000.000,22577000.000
CostOfGoodsSold,49325000.000,41326000.000,47800000.000,48688000.000,40679000.000,48847000.000,50136000.000,43552000.000,52486000.000,69098000.000,49527000.000,64478000.000,52894000.000,83916000.000,48446000.000,60690000.000,57299000.000,89926000.000,55842000.000,70081000.000,61797000.000,98699000.000,58181000.000
DeferredIncomeTaxExpenseBenefit,,,-95000.000,,,,,,,,,,,,,,,,,,,,
DepreciationAmortizationAndAccretionNet,,,5486000.000,,,,5333000.000,,,,5883000.000,,,,5297000.000,,,,,,,,
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,,5578000.000,,,,7185000.000
DerivativeInstrumentsGainReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortion,,,,86000.000,194000.000,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainRecognizedInOtherComprehensiveIncomeEffectivePortion,,,,40000.000,98000.000,,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,,-577000.000,327000.000,-197000.000,510000.000,-404000.000,-487000.000,-6928000.000,-958000.000,-1923000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,,,,,,,-202000.000,114000.000,-68000.000,178000.000,-141000.000,-171000.000,-2425000.000,-393000.000,-673000.000
