,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
PropertyPlantAndEquipmentSalvageValue,,,,,,,,,,,,,,,,,,,,,,225.000
RetainedEarningsAccumulatedDeficit,-2873925.000,-2873925.000,-2873925.000,-2873925.000,-2873925.000,-2873925.000,-2873925.000,-2873925.000,-2873925.000,-2873925.000,-5050662.000,-5155040.000,-5571130.000,-5691126.000,-5741144.000,-5790397.000,-5837194.000,-5866457.000,-5962738.000,-6123557.000,-6247637.000,-6276646.000
SaleLeasebackTransactionHistoricalCost,,,,,,,,,,,,,,,,,,,,,,300.000
SharePrice,,,,,,,,,,0.005,0.013,0.006,,,,,,,,,,
ShortTermBankLoansAndNotesPayable,,,,,60680.000,,,,80043.000,50830.000,110224.000,145783.000,,,,,,,,,,
ShortTermDebtPercentageBearingFixedInterestRate,,,,,,,0.050,0.050,,,,,,,,,,,,,,
ShortTermNonBankLoansAndNotesPayable,,,,,,63168.000,122379.000,91716.000,,,,,,,,,,,,,,
StockholdersEquity,-278555.000,-186022.000,-158750.000,-224012.000,22200.000,-108354.000,257317.000,222283.000,-197758.000,-196791.000,-222510.000,-249434.000,-280552.000,-332258.000,-330342.000,-361757.000,-387819.000,-403131.000,-216695.000,-373632.000,-495447.000,-523566.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-278555.000,-186022.000,-158750.000,-224012.000,22200.000,-108354.000,257317.000,222283.000,-197758.000,-196791.000,-222510.000,-249434.000,-280552.000,-332258.000,,-361757.000,-387819.000,-403131.000,-216695.000,-373632.000,-495447.000,-523566.000
ValuationAllowanceAmount,,,,,-1170476.000,,,,,,,,,,,,,,,,,
