,2011-09-30,2011-12-31,2012-03-31
AccumulatedOtherComprehensiveIncomeLossNetOfTax,6848000.000,6718000.000,5676000.000
AllowanceForNotesAndLoansReceivableCurrent,,1673000.000,1679000.000
Assets,400437000.000,401046000.000,373034000.000
AvailableForSaleSecurities,177772000.000,189898000.000,128271000.000
BankOwnedLifeInsurance,15836000.000,16021000.000,16140000.000
CashAndCashEquivalentsAtCarryingValue,7562000.000,6460000.000,47325000.000
CashAndDueFromBanks,7238000.000,6275000.000,6204000.000
CommonStockParOrStatedValuePerShare,2.000,2.000,2.000
CommonStockSharesAuthorized,10000000.000,10000000.000,10000000.000
CommonStockSharesIssued,3600000.000,3600000.000,3600000.000
CommonStockSharesOutstanding,2860953.000,2860953.000,2860953.000
CommonStockValue,7200000.000,7200000.000,7200000.000
DepositsDomestic,295574000.000,303816000.000,313558000.000
InterestBearingDepositLiabilitiesDomestic,205376000.000,214126000.000,216871000.000
InterestBearingDepositsInBanks,324000.000,185000.000,41121000.000
InterestReceivable,2302000.000,2545000.000,1615000.000
Liabilities,349003000.000,348497000.000,318475000.000
LiabilitiesAndStockholdersEquity,400437000.000,401046000.000,373034000.000
LoansAndLeasesReceivableAllowance,1673000.000,,
LoansAndLeasesReceivableNetOfDeferredIncome,187391000.000,179386000.000,172730000.000
LoansAndLeasesReceivableNetReportedAmount,185718000.000,177713000.000,171051000.000
LongTermDebt,10000000.000,10000000.000,0.000
NoninterestBearingDepositLiabilitiesDomestic,90198000.000,89690000.000,96687000.000
OtherAssets,4391000.000,1790000.000,2209000.000
OtherLiabilities,7154000.000,5231000.000,4917000.000
PropertyPlantAndEquipmentNet,3136000.000,3085000.000,3066000.000
RestrictedInvestments,3720000.000,3534000.000,3357000.000
RetainedEarningsAccumulatedDeficit,49930000.000,51175000.000,54227000.000
ShortTermBorrowings,36275000.000,29450000.000,0.000
StockholdersEquity,51434000.000,52549000.000,54559000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,51434000.000,52549000.000,54559000.000
TreasuryStockShares,739047.000,739047.000,739047.000
TreasuryStockValue,12544000.000,12544000.000,12544000.000
