,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayable,5350.000,6687.000,9550.000,7500.000,,10500.000,15600.000,,,,,,,,,,,,,,,,
AccountsPayableCurrentAndNoncurrent,,,,,,,,4440.000,9295.000,12793.000,11891.000,5470.000,6514.000,9275.000,14740.000,21405.000,23815.000,10020.000,10100.000,10875.000,10875.000,8925.000,7850.000
AccruedLiabilitiesCurrent,13866.000,15269.000,16725.000,18270.000,19909.000,21567.000,23237.000,24907.000,26577.000,29263.000,31726.000,34632.000,38300.000,40516.000,43445.000,46432.000,49451.000,52554.000,55657.000,58881.000,,65486.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,-40586.000,,,,-45232.000,,,,,
AdditionalPaidInCapital,28185.000,29685.000,31185.000,32685.000,34150.000,35650.000,37150.000,38650.000,40150.000,41657.000,43157.000,44657.000,46157.000,47657.000,49157.000,50657.000,52157.000,53657.000,55157.000,56657.000,58157.000,59657.000,61157.000
Assets,,,,,,,,,35.000,25021.000,24979.000,24937.000,24895.000,16002.000,17023.000,10959.000,6709.000,3778.000,1686.000,27.000,256.000,169.000,246.000
AssetsCurrent,,,,,,,,,35.000,25021.000,24979.000,24937.000,24895.000,16002.000,17023.000,10959.000,6709.000,3778.000,1686.000,27.000,256.000,169.000,246.000
Cash,,,,,,,,,35.000,25021.000,24979.000,24937.000,24895.000,16002.000,17023.000,10959.000,6709.000,3778.000,1686.000,27.000,256.000,169.000,246.000
CashAndCashEquivalentsAtCarryingValue,,,,,,,,,35.000,25021.000,24979.000,24937.000,24895.000,16002.000,17023.000,10959.000,6709.000,3778.000,1686.000,27.000,256.000,169.000,247.000
CommonStockSharesOutstanding,,1500000.000,,,,,,,,,,,,6000000.000,,,,6000000.000,,,,,
CommonStockValue,15.000,15.000,15.000,15.000,50.000,50.000,50.000,50.000,50.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-105644.000,-109884.000,-116753.000,-123795.000,-129600.000,-134583.000,-142853.000,-138363.000,-147853.000,-158638.000,-163756.000,-175811.000,,,-210172.000,-227389.000,,,,,,,
InterestPayable,,,,18270.000,,,,,,,,,,,,,,,,,,,
InterestPayableCurrent,,,,,,,,,,,,,,,,,,,,,62160.000,,68853.000
Liabilities,,,,,,,,,107688.000,,,156031.000,163118.000,,,,,,,,,,
LiabilitiesAndStockholdersEquity,,,,,,,,,35.000,25021.000,24979.000,24937.000,24895.000,16002.000,17023.000,10959.000,6709.000,3778.000,1686.000,27.000,256.000,169.000,246.000
LiabilitiesCurrent,77444.000,80184.000,85553.000,91095.000,95400.000,98883.000,105653.000,99663.000,107688.000,141942.000,145518.000,156031.000,163118.000,167510.000,177978.000,187631.000,193060.000,194518.000,197701.000,211460.000,219219.000,227045.000,231967.000
NotesPayable,,,,65325.000,65816.000,,,,,,,,,,,,,,,,,,
NotesPayableCurrent,,,,,,,,,,,,,,,,,,,,,146184.000,,155264.000
RelatedPartyTransactionDueFromToRelatedPartyCurrent,58228.000,58228.000,59278.000,65325.000,65816.000,66816.000,66816.000,70316.000,71816.000,99886.000,101901.000,115929.000,118304.000,117719.000,119793.000,119794.000,119794.000,131944.000,131944.000,141704.000,9606.000,152634.000,
RetainedEarningsAccumulatedDeficit,,-22994.000,,,,,,,,,,,-184440.000,-199225.000,,,-238568.000,-244457.000,,-268150.000,-277180.000,-286593.000,
StockholdersEquity,-77444.000,-80184.000,-85553.000,-91095.000,-95400.000,-98883.000,-105653.000,-99663.000,-107653.000,-116921.000,-120539.000,-131094.000,-138223.000,-151508.000,-160955.000,-176672.000,-186351.000,-190741.000,-196015.000,-211433.000,-218963.000,-226876.000,-231720.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,-107653.000,,,-131094.000,-138223.000,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,,,,1500000.000,22700730.000,,,,,,,,,,,,,,,,,,
