,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AdjustmentForAmortization,976537.000,633807.000,446669.000,66792.000,0.000,
AmortizationOfAcquisitionCosts,976537.000,633807.000,446669.000,66792.000,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-399592.000,2629447.000,2640827.000,10923298.000,-1992283.000,5481928.000
EquityMethodInvestmentDividendsOrDistributions,311726.000,193267.000,113637.000,103773.000,10852.000,0.000
GeneralAndAdministrativeExpense,,578018.000,644311.000,456119.000,475546.000,780422.000
ImpairmentOfInvestments,16692807.000,9932388.000,7116275.000,2593629.000,1464002.000,0.000
IncomeLossFromEquityMethodInvestments,-3024768.000,6320307.000,7643945.000,11837639.000,15114264.000,18806644.000
IncomeTaxReconciliationEquityInEarningsLossesOfUnconsolidatedSubsidiary,,20689989.000,16299042.000,13543112.000,11617242.000,8901790.000
IncomeTaxReconciliationNondeductibleExpenseDepreciation,,-6562753.000,-6231944.000,-5944658.000,-4565374.000,-2914770.000
IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses,,9932388.000,7116275.000,2593629.000,1464002.000,0.000
IncomeTaxReconciliationNondeductibleExpenseOther,,5372512.000,14775748.000,10047309.000,21948565.000,8210250.000
IncomeTaxReconciliationOtherAdjustments,,-10320275.000,-10529310.000,-17332242.000,-17613704.000,-17518111.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-111792.000,,,,,11626.000
IncreaseDecreaseInDueToAffiliates,2847137.000,-1189985.000,-3133570.000,2058807.000,-2830228.000,-9632988.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,124596.000,-36772.000,22219.000,503467.000,
IncreaseDecreaseInOtherOperatingAssets,113566.000,175120.000,35657.000,136424.000,74518.000,0.000
InterestIncomeOperating,29891.000,102062.000,47997.000,45767.000,76212.000,52063.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,0.010,0.010,0.010,0.010,0.010
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,0.990,0.990,0.990,0.990,0.990
NetCashProvidedByUsedInFinancingActivities,,,,,-12369281.000,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,-12369281.000,0.000
NetCashProvidedByUsedInInvestingActivities,2417718.000,8717125.000,10125153.000,12631500.000,15750871.000,18806644.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2417718.000,8717125.000,10125153.000,12631500.000,15750871.000,18806644.000
NetCashProvidedByUsedInOperatingActivities,-2817310.000,-6087678.000,-7484326.000,-1708202.000,-5373873.000,-13324716.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2817310.000,-6087678.000,-7484326.000,-1708202.000,-5373873.000,-13324716.000
NetIncomeLoss,-26444927.000,-9286324.000,-4310963.000,5420641.000,10666816.000,15103290.000
NetIncomeLossAllocatedToGeneralPartners,-264452.000,-92862.000,-43109.000,54208.000,106668.000,151033.000
NetIncomeLossAllocatedToLimitedPartners,-26180475.000,-9193462.000,-4267854.000,5366433.000,10560148.000,14952257.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-0.310,-0.110,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-0.050,0.060,0.130,0.180
OperatingExpenses,,,,,5588101.000,4074090.000
OtherIncome,475884.000,804306.000,923483.000,629169.000,1064441.000,318673.000
PartnersCapitalAccountDistributions,,,,,12369281.000,
PaymentForAdministrativeFees,,,,306602.000,335752.000,452767.000
PaymentsOfDistributionsToAffiliates,,,,,12369281.000,0.000
PaymentsToAcquireEquityMethodInvestments,10001.000,,,,,
ProceedsFromSaleOfEquityMethodInvestments,2427719.000,8740321.000,10499552.000,12631500.000,15750871.000,18806644.000
ProfessionalFees,696658.000,845782.000,649668.000,626646.000,584535.000,823805.000
Revenues,505775.000,906368.000,971480.000,674936.000,1140653.000,370736.000
SalesRevenueNet,29891.000,102062.000,47997.000,45767.000,76212.000,52063.000
SellingGeneralAndAdministrativeExpense,507411.000,,,,,
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,,83646014.000,83640389.000,83611971.000,83533996.000,83399076.000
