,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdvertisingExpense,,119000.000,124000.000,125000.000,121000.000,69000.000
AllowanceForLoanAndLeaseLossesProvisionForLossNet,,0.000,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,-2603000.000,,,,
AmortizationOfFinancingCosts,255000.000,256000.000,255000.000,253000.000,158000.000,151000.000
CashPeriodIncreaseDecrease,-1233000.000,-709000.000,73000.000,-145000.000,2759000.000,-1717000.000
DebtInstrumentIncreaseAccruedInterest,,-2000.000,,,,
DepreciationAndAmortization,2720000.000,2816000.000,2817000.000,2532000.000,2235000.000,879000.000
DepreciationDepletionAndAmortization,2720000.000,2816000.000,2817000.000,2532000.000,2235000.000,879000.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,3818000.000,4252000.000,4495000.000,5257000.000,4949000.000,3108000.000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,-1000.000,,,,,
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,1112000.000,1115000.000,13218000.000,15651000.000
GainLossOnDispositionOfAssets,-1000.000,-1000.000,-81000.000,-44000.000,-19000.000,-19000.000
GainLossOnSaleOfProperties,,,,,13126000.000,17435000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,-226000.000
GeneralAndAdministrativeExpense,426000.000,508000.000,466000.000,516000.000,507000.000,585000.000
IncreaseDecreaseInAccountsAndOtherReceivables,,,,,0.000,32000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-121000.000,209000.000,-59000.000,179000.000,-247000.000,168000.000
IncreaseDecreaseInAccountsReceivable,-6000.000,-2000.000,5000.000,-11000.000,0.000,13000.000
IncreaseDecreaseInDueFromRelatedPartiesCurrent,2000.000,-1000.000,166000.000,-69000.000,65000.000,-46000.000
IncreaseDecreaseInDueToRelatedParties,-160000.000,385000.000,527000.000,763000.000,333000.000,-3394000.000
IncreaseDecreaseInInsuranceSettlementsReceivable,,,-6000.000,,,
IncreaseDecreaseInInterestPayableNet,,,0.000,-2000.000,-44000.000,-4000.000
IncreaseDecreaseInOtherReceivables,20000.000,64000.000,-78000.000,0.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,28000.000,-7000.000,-65000.000,-11000.000,4000.000,-35000.000
IncreaseDecreaseInPrepaidRent,68000.000,-47000.000,28000.000,8000.000,-42000.000,27000.000
IncreaseDecreaseInPropertyAndOtherTaxesPayable,,,185000.000,54000.000,105000.000,-255000.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,247000.000,-201000.000,-115000.000,263000.000,-26000.000,-224000.000
IncreaseDecreaseInSecurityDeposits,16000.000,17000.000,-13000.000,9000.000,7000.000,5000.000
InterestExpense,2626000.000,2636000.000,2624000.000,2600000.000,2100000.000,1254000.000
InterestPaid,,2400000.000,2400000.000,2300000.000,2000000.000,1200000.000
LimitedPartnersCapitalAccountDistributionAmount,-1109000.000,-1112000.000,,,,
LossFromCatastrophes,-557000.000,32000.000,9000.000,0.000,,
MortgageLoanRelatedToPropertySales1,,,,,16644000.000,17330000.000
NetCashProvidedByUsedInFinancingActivities,-1184000.000,-1112000.000,-1432000.000,-1510000.000,-13634000.000,-15869000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-1184000.000,-1112000.000,-1432000.000,-1510000.000,-13634000.000,-15869000.000
NetCashProvidedByUsedInInvestingActivities,-643000.000,-2059000.000,-587000.000,-320000.000,14402000.000,17471000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-643000.000,-2059000.000,-587000.000,-320000.000,14402000.000,17471000.000
NetCashProvidedByUsedInOperatingActivities,594000.000,2462000.000,2092000.000,1685000.000,1991000.000,-3319000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,594000.000,2462000.000,2092000.000,1685000.000,1991000.000,-3319000.000
NetIncomeLossAllocatedToLimitedPartners,-1494000.000,-2148000.000,-1769000.000,-1967000.000,12552000.000,16088000.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-0.400,-0.580,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-0.480,-0.530,3.390,4.350
NonoperatingIncomeExpense,,,,,11007000.000,15936000.000
OperatingExpenses,7779000.000,8421000.000,8655000.000,9177000.000,8571000.000,5015000.000
OperatingIncomeLoss,576000.000,521000.000,945000.000,677000.000,1545000.000,152000.000
OperatingLeasesIncomeStatementLeaseRevenue,8355000.000,8942000.000,9600000.000,9854000.000,10116000.000,5167000.000
OtherComprehensiveIncomeLossNetOfTax,,-2148000.000,,,,
PartnersCapitalAccountDistributions,-1109000.000,1112000.000,1112000.000,1115000.000,13218000.000,15651000.000
PartnersCapitalAccountRedemptions,-75000.000,,,,,
PaymentsForLossesAndLossAdjustmentExpense,,52000.000,,,,
PaymentsForProceedsFromMortgageDeposits,,,,,,13000.000
PaymentsForRepurchaseOfOtherEquity,75000.000,0.000,,,,
PaymentsOfDebtExtinguishmentCosts,,,,,,328000.000
PaymentsToAcquirePropertyPlantAndEquipment,643000.000,2059000.000,587000.000,320000.000,437000.000,121000.000
ProceedsFromInsuranceSettlementOperatingActivities,293000.000,702000.000,0.000,,,
ProceedsFromLifeInsurancePolicies,,702000.000,,,,
ProceedsFromSaleOfPropertyHeldForSale,,,,,14839000.000,17605000.000
ProvisionForLoanAndLeaseLosses,,2600000.000,,,,
