,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdvertisingExpense,,60480.000,500515.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-1596904.000,-442970.000,2569387.000,-428667.000
ComprehensiveIncomeNetOfTax,,-3223560.000,-1355263.000,-3622521.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,156205.000,-373958.000,-1599561.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-3379765.000,-1729221.000,-5222082.000
ConcentrationRiskPercentage1,,,0.190,
CostOfRevenue,6338290.000,4894833.000,4841337.000,4350690.000
Depreciation,926330.000,,,
DepreciationAndAmortization,,536019.000,453054.000,383964.000
DepreciationDepletionAndAmortization,,990401.000,1100170.000,1063659.000
EarningsPerShareBasicAndDiluted,-0.050,-0.110,-0.040,-0.090
EffectOfExchangeRateOnCashAndCashEquivalents,61381.000,-27769.000,497523.000,68323.000
EffectiveIncomeTaxRateContinuingOperations,,0.250,0.250,0.250
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,470387.000,1171948.000,821118.000
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,0.000,0.000,0.000
GainLossOnSaleOfPropertyPlantEquipment,-21052.000,-16541.000,-5377.000,-14348.000
GeneralAndAdministrativeExpense,2524221.000,3345635.000,3585121.000,4587529.000
GrossProfit,2939741.000,3635157.000,7922110.000,4260949.000
ImpairmentOfInvestments,,136060.000,0.000,0.000
ImpairmentOfRealEstate,,,,981724.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-928793.000,-3254277.000,-1172269.000,-5181829.000
IncomeLossFromEquityMethodInvestments,,-230490.000,-822267.000,-445280.000
IncomeTaxExpenseBenefit,26889.000,-13518.000,-63227.000,30583.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,737609.000,433862.000,0.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,55274.000,-12473.000,-14116.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-813569.000,-498634.000,44194.000
IncomeTaxReconciliationPriorYearIncomeTaxes,,7168.000,14018.000,505.000
IncomeTaxesPaid,268362.000,259039.000,171103.000,54313.000
IncreaseDecreaseDueFromAffiliates,,,,-840416.000
IncreaseDecreaseInAccountsPayable,380865.000,,,
IncreaseDecreaseInAccountsReceivable,847162.000,737557.000,-573824.000,35076.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,-1133091.000,-73957.000,34394.000,-18602.000
IncreaseDecreaseInCustomerDeposits,-725033.000,,1887008.000,8961568.000
IncreaseDecreaseInDepositOtherAssets,2291661.000,-2503644.000,-312150.000,67401.000
IncreaseDecreaseInDueFromRelatedParties,-309684.000,,,
IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,630353.000,629223.000,561714.000,1763546.000
IncreaseDecreaseInDueToRelatedParties,-15459.000,,,
IncreaseDecreaseInInterestPayableNet,120873.000,199531.000,234169.000,1998862.000
IncreaseDecreaseInOtherAccountsPayable,,103597.000,-113903.000,4865647.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-17271.000,1777523.000,-1915229.000,-278846.000
IncreaseDecreaseInPropertyAndOtherTaxesPayable,-205796.000,68430.000,46819.000,6706.000
IncreaseDecreaseInRestrictedCash,,,-1131294.000,-137183.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,0.000,,,
InterestExpense,1514782.000,2420375.000,3763555.000,3401238.000
InterestExpenseDebt,,643711.000,765171.000,1998862.000
InterestPaid,845293.000,1601207.000,3349335.000,5349991.000
InvestmentIncomeInterest,13775.000,239079.000,394201.000,853055.000
LeaseAndRentalExpense,,188393.000,254559.000,50265.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,-454202.000,57206.000,,358725.000
MinorityInterestIncreaseFromStockIssuance,,12020975.000,,
NetCashProvidedByUsedInFinancingActivities,5840436.000,24484683.000,13165077.000,28257125.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,5840436.000,24484683.000,13165077.000,28257125.000
NetCashProvidedByUsedInInvestingActivities,-2622980.000,-11285312.000,-1722331.000,-335210.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-2622980.000,-11285312.000,-1722331.000,-335210.000
NetCashProvidedByUsedInOperatingActivities,-4875741.000,-13614572.000,-9370882.000,-28418905.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-4875741.000,-13614572.000,-9370882.000,-28418905.000
NetIncomeLoss,-1218355.000,-3093284.000,-1168294.000,-3653686.000
NetIncomeLossAttributableToNoncontrollingInterest,262673.000,-377965.000,-763015.000,-1558726.000
NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,,,40128.000,0.000
NonoperatingIncomeExpense,,-2142140.000,-3361060.000,-2939496.000
OperatingCostsAndExpenses,1042241.000,1401659.000,2148198.000,1915753.000
OperatingIncomeLoss,-626721.000,-1112137.000,2188791.000,-2242333.000
OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTax,-37915.000,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,91484.000,202088.000,-9670.000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,,91484.000,202088.000,-9670.000
OtherNonoperatingIncome,,39156.000,,
OtherNonoperatingIncomeExpense,1198935.000,-2142140.000,8294.000,53967.000
PaymentsForCapitalImprovements,,,2418004.000,353115.000
PaymentsOfDividendsMinorityInterest,0.000,,,
PaymentsToAcquireEquityMethodInvestments,2601924.000,,,
PaymentsToAcquireOtherInvestments,,,102864.000,
PaymentsToAcquireProductiveAssets,,7309816.000,188611.000,83630.000
PaymentsToAcquirePropertyPlantAndEquipment,25655.000,60000.000,,0.000
PaymentsToAcquireRealEstate,0.000,,,
PaymentsToMinorityShareholders,227618.000,79233.000,145101.000,69444.000
ProceedsFromAdvancesForConstruction,,,,114360.000
ProceedsFromBankDebt,0.000,17557204.000,12575416.000,9397715.000
ProceedsFromContributionsFromAffiliates,,,,0.000
ProceedsFromIssuanceOfCommonStock,,0.000,,
ProceedsFromIssuanceOrSaleOfEquity,,12020975.000,40128.000,3400000.000
ProceedsFromNotesPayable,1206218.000,7599132.000,1132151.000,16063333.000
ProceedsFromRelatedPartyDebt,3895300.000,,,
ProceedsFromRepaymentsOfNotesPayable,0.000,-3390857.000,-2607596.000,-9477660.000
ProceedsFromSaleOfPropertyPlantAndEquipment,4599.000,66315.000,0.000,0.000
ProfitLoss,-955682.000,-3471249.000,-1931309.000,-5212412.000
