,2011-11-30,2012-02-29,2012-11-30,2013-02-28,2013-08-31,2013-11-30,2014-02-28,2014-08-31,2014-11-30,2015-02-28,2015-08-31,2015-11-30,2016-02-29,2016-07-31
AdjustmentForAmortization,-31267.000,-30675.000,31340.000,30447.000,30428.000,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,27782.000,31030.000,39980.000,33235.000,33240.000,39974.000,32950.000,45901.000,39148.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,312012.000,,,2059649.000,,,-170365.000,,,4280.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,-1590743.000,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,-113811.000,,,,,,
ComprehensiveIncomeNetOfTax,78979.000,298432.000,67791.000,58129.000,140423.000,473332.000,130069.000,914784.000,-73671.000,-388498.000,-371416.000,-261753.000,-529956.000,-162899.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,497.000,-982.000,68.000,444.000,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,21939.000,-20614.000,-33205.000,,,,
CostOfServices,-2130938.000,-1408761.000,946135.000,1484462.000,816305.000,415971.000,630545.000,1697535.000,1893913.000,1267397.000,1432146.000,934492.000,894332.000,459505.000
CurrentIncomeTaxExpenseBenefit,,,,,-706.000,,,0.000,,,104594.000,,,49440.000
DeferredIncomeTaxExpenseBenefit,,,,,-3683.000,,,-3688.000,,,-4783.000,,,0.000
Depreciation,,,,,167418.000,169497.000,170487.000,126583.000,131391.000,133622.000,147875.000,132065.000,101380.000,44268.000
DepreciationAndAmortization,,,,,197846.000,,,,,,,,,
DepreciationExpense,-163353.000,-159891.000,161343.000,162345.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationForeignCurrencyTranslationGainsLosses,,,,,,,,17162.000,,,,,,
EarningsPerShareBasicAndDiluted,0.000,,0.000,0.000,,0.000,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,28076.000,,,9116.000,,,-66548.000,,,-47688.000
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,,,-8046.000,,,-66548.000,,,
EffectOfExchangeRateOnCashAndCashEquivalentsDiscontinuedOperations,,,,,,,,17162.000,,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,0.250,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.250,,0.250,,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,1010987.000,,,,,,
GeneralAndAdministrativeExpense,-328775.000,-283098.000,143354.000,131844.000,188140.000,135123.000,207576.000,192787.000,301599.000,228194.000,230936.000,233838.000,672878.000,203052.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,,0.000,,,
IncomeLossAttributableToNoncontrollingInterest,,,,,,,,6236.000,-32565.000,-20575.000,8017.000,10319.000,-158671.000,-43587.000
IncomeLossFromContinuingOperations,,,,,,,,-14124.000,-53057.000,-355293.000,-191188.000,-190042.000,-413257.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,144542.000,345529.000,85146.000,143369.000,119140.000,576679.000,183608.000,-11576.000,-89322.000,-356408.000,-83360.000,-190704.000,-574853.000,-81782.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,-7888.000,-85622.000,-375868.000,-183171.000,-179723.000,-571928.000,-131222.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,906969.000,,,,,,
IncomeLossIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,-7888.000,,,,,,
IncomeTaxExpenseBenefit,-72237.000,-126764.000,74677.000,77465.000,-4389.000,75982.000,154282.000,-3688.000,-3700.000,19460.000,99811.000,-10981.000,-2925.000,49440.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,38070.000,,,34033.000,,,13133.000,,,49409.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,,,,3921.000,,,2393.000,,,-64767.000,,,20476.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,29785.000,,,-2894.000,,,-20840.000,,,-20445.000
IncomeTaxReconciliationNondeductibleExpense,,,,,8301.000,,,4768.000,,,186538.000,,,
IncomeTaxReconciliationPriorYearIncomeTaxes,,,,,-84466.000,,,-121.000,,,-14253.000,,,0.000
IncomeTaxReconciliationTaxExemptIncome,,,,,,,,41867.000,,,0.000,,,
IncreaseDecreaseInAccountsPayable,,,,,-451369.000,,,-1822451.000,,,-675885.000,,,-207662.000
IncreaseDecreaseInAccountsReceivable,,,,,-46562.000,,,-1579327.000,,,-479948.000,,,-10064.000
IncreaseDecreaseInAccruedLiabilities,,,,,,,,143585.000,,,,,,
IncreaseDecreaseInAccruedTaxesPayable,,,,,46064.000,,,-34385.000,,,69147.000,,,36120.000
IncreaseDecreaseInDeferredRevenue,,,,,441848.000,,,-75812.000,,,381372.000,,,-172945.000
IncreaseDecreaseInDueFromRelatedParties,,,,,1431.000,,,,,,,,,
IncreaseDecreaseInDueFromRelatedPartiesCurrent,,,,,,,,10393.000,,,-45054.000,,,-32655.000
IncreaseDecreaseInDueToRelatedParties,,,,,6563.000,,,-6398.000,,,-150712.000,,,-18022.000
IncreaseDecreaseInIncomeTaxesReceivable,,,,,77.000,,,136.000,,,,,,
