,2011-09-30
CostOfGoodsAndServicesSold,150675000.000
GrossProfit,25653000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,6755000.000
IncomeTaxExpenseBenefit,2402000.000
InterestExpense,4538000.000
InvestmentIncomeInterest,12000.000
NetIncomeLossAvailableToCommonStockholdersBasic,4353000.000
OperatingIncomeLoss,11281000.000
OtherOperatingIncome,146000.000
Revenues,176474000.000
SalesRevenueNet,176328000.000
SellingGeneralAndAdministrativeExpense,14518000.000
