,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsReceivableNet,1074893.000,614959.000,3381488.000,2383545.000,440860.000,828018.000,1294370.000,7286571.000,1365671.000,1893939.000,1833912.000,1811900.000
Assets,79274396.000,88449994.000,114963978.000,149983108.000,157480306.000,172245207.000,176578310.000,207129535.000,207895237.000,203438243.000,193320916.000,195776759.000
CapitalUnitsOutstanding,69004.256,79091.148,87536.813,107774.356,131720.835,139404.090,142666.192,153265.514,165011.578,167837.328,168252.490,169597.610
Cash,5118206.000,3131103.000,5973766.000,9560749.000,5387021.000,2695416.000,3771989.000,11797975.000,2968449.000,1812975.000,1863996.000,2934548.000
CustomerAdvancesAndDeposits,4973020.000,3125000.000,5911500.000,9418284.000,5218500.000,2540000.000,3541000.000,11561000.000,2830300.000,1775500.000,1826000.000,2845600.000
Liabilities,6246056.000,3776323.000,9362819.000,11944294.000,5827881.000,3523434.000,5066359.000,19084546.000,4334120.000,3706914.000,3697908.000,4746448.000
LiabilitiesAndStockholdersEquity,79274396.000,88449994.000,114963978.000,149983108.000,157480306.000,172245207.000,176578310.000,207129535.000,207895237.000,203438243.000,193320916.000,195776759.000
ManagementFeePayable,92659.000,106584.000,136095.000,175481.000,190070.000,211890.000,216002.000,244144.000,256138.000,251997.000,239244.000,241021.000
MembersEquity,73028340.000,84673671.000,105601159.000,138038814.000,151652425.000,168721773.000,171511951.000,188044989.000,203561117.000,199731329.000,189623008.000,191030311.000
PayablesToCustomers,198313.000,,58880.000,,150000.000,508064.000,1001677.000,6944870.000,597686.000,1530667.000,1453446.000,1464964.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,73028340.000,84673671.000,105601159.000,138038814.000,151652425.000,168721773.000,171511951.000,188044989.000,203561117.000,199731329.000,189623008.000,191030311.000
