,2011-09-30
AccountsPayable,166000.000
AccountsReceivableNet,628000.000
Assets,24713000.000
BuildingsAndImprovementsGross,76526000.000
CashEquivalentsAtCarryingValue,782000.000
DueToAffiliate,9162000.000
GeneralPartnersCapitalAccount,-890000.000
Land,6468000.000
Liabilities,103986000.000
LiabilitiesAndPartnersCapital,24713000.000
LimitedPartnersCapitalAccount,-78383000.000
LongTermDebtComponentsMortgageLoans,92969000.000
OtherAssets,998000.000
OtherLiabilities,1020000.000
PartnersCapital,-79273000.000
RealEstateAccumulatedDepreciation,-61939000.000
RealEstateInvestmentPropertyAtCost,82994000.000
RealEstateInvestmentPropertyNet,21055000.000
ReplacementReserveEscrow,1250000.000
SecurityDepositLiability,369000.000
TaxesPayable,300000.000
