,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,-11000.000,,,,-63000.000,,,,-636000.000
DepreciationAndAmortization,,,,,,52000.000,48000.000,31000.000,-286000.000,
EquityMethodInvestmentDividendsOrDistributions,0.000,23000.000,105000.000,8000.000,0.000,35000.000,0.000,8000.000,105000.000,55000.000
GeneralAndAdministrativeExpense,1000.000,3000.000,2000.000,0.000,2000.000,1000.000,2000.000,4000.000,4000.000,2000.000
IncreaseDecreaseInAccountsReceivable,,,,,,10000.000,,,,14000.000
IncreaseDecreaseInAccruedTaxesPayable,,,,,,20000.000,,,,
IncreaseDecreaseInDueToAffiliates,,11000.000,,,,11000.000,,,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,-6000.000,,,,-7000.000,,,,15000.000
IncreaseDecreaseInOtherCurrentAssets,,,,,,59000.000,,,,
IncreaseDecreaseInOtherReceivables,,0.000,,,,,,,,
IncreaseDecreaseInSecurityDeposits,,,,,,-3000.000,,,,
InterestExpense,11000.000,11000.000,11000.000,11000.000,18000.000,21000.000,20000.000,19000.000,69000.000,7000.000
InterestPaid,,,,,,10000.000,,,,
MortgageLoansOnRealEstateAmortizationOfPremium,,,,,,-11000.000,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,-543000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,-543000.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,55000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,55000.000
NetCashProvidedByUsedInOperatingActivities,,-11000.000,,,,6000.000,,,,-148000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-11000.000,,,,6000.000,,,,-148000.000
NetIncomeLoss,-35000.000,-29000.000,67000.000,-106000.000,1326000.000,-35000.000,-24000.000,501000.000,150000.000,-14000.000
NetIncomeLossAllocatedToGeneralPartners,0.000,0.000,1000.000,-1000.000,13000.000,0.000,-1000.000,5000.000,2000.000,
NetIncomeLossAllocatedToLimitedPartners,-35000.000,-29000.000,66000.000,-105000.000,1313000.000,-35000.000,-23000.000,496000.000,148000.000,-14000.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-2.150,-1.780,4.060,-6.450,80.700,-2.150,-1.420,30.520,9.110,-0.860
OperatingExpenses,35000.000,52000.000,38000.000,114000.000,-165000.000,218000.000,163000.000,210000.000,332000.000,
OperatingIncomeLoss,-35000.000,-52000.000,-38000.000,-114000.000,-59000.000,-70000.000,-24000.000,10000.000,-159000.000,-69000.000
OtherIncome,,,,,,77000.000,67000.000,64000.000,92000.000,
ProfessionalFees,9000.000,25000.000,11000.000,89000.000,37000.000,34000.000,54000.000,24000.000,37000.000,60000.000
ProfitLoss,,-29000.000,,,,-35000.000,,,,-14000.000
RealEstateRevenueNet,,,,,,213000.000,230000.000,268000.000,313000.000,
RealEstateTaxExpense,,,,,,20000.000,20000.000,20000.000,86000.000,
RepaymentsOfDebt,,,,,,-69000.000,,,,
Revenues,0.000,0.000,0.000,0.000,67000.000,290000.000,297000.000,332000.000,405000.000,
SalesRevenueNet,0.000,0.000,0.000,0.000,67000.000,213000.000,230000.000,268000.000,313000.000,
