,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
AmortizationOfFinancingCosts,,,6214.000,,6000.000
AssetImpairmentCharges,11034993.000,,0.000,0.000,0.000
CapitalLeasesIncomeStatementDirectFinancingLeaseRevenue,,,529705.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-193780.000,,
ComprehensiveIncomeNetOfTax,-9193279.000,,-604792.000,-428911.000,-533058.000
CostOfPropertyRepairsAndMaintenance,,,769696.000,48880.000,-17879.000
Depreciation,,,,1317785.000,900068.000
DepreciationDepletionAndAmortization,1194290.000,898832.000,472765.000,1321042.000,902889.000
EarningsPerShareBasic,,,,-5.480,-6.330
GainLossOnSaleOfPropertyPlantEquipment,,,43212.000,5984.000,11419.000
GeneralAndAdministrativeExpense,149655.000,258163.000,220049.000,236543.000,163063.000
IncomeLossFromEquityMethodInvestments,30202.000,-405898.000,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,501757.000,,
IncreaseDecreaseInDeferredRevenue,,,0.000,,
IncreaseDecreaseInOtherOperatingAssets,,,374749.000,,
InterestAndOtherIncome,,,,943.000,322.000
InterestExpense,751108.000,801951.000,594331.000,569675.000,557108.000
NetCashProvidedByUsedInFinancingActivities,,,-707460.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-707460.000,,
NetCashProvidedByUsedInInvestingActivities,,,67075.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,67075.000,,
NetCashProvidedByUsedInOperatingActivities,,,446605.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,446605.000,,
NetIncomeLoss,-9340816.000,-453147.000,-713428.000,-542569.000,-626100.000
OperatingCostsAndExpenses,87542.000,1125193.000,123281.000,0.000,0.000
OperatingExpenses,13217588.000,3084139.000,2180122.000,2179746.000,1605181.000
OperatingLeasesIncomeStatementLeaseRevenue,3108258.000,2380408.000,893637.000,1168018.000,575518.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,147537.000,,108636.000,113658.000,93042.000
OtherCostAndExpenseOperating,,,,3606.000,0.000
PaidInKindInterest,,,399096.000,,
PaymentsOfCapitalDistribution,,,707460.000,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,67075.000,,
Revenues,3876772.000,2630992.000,1466694.000,1637177.000,979081.000
SalesRevenueNet,3876772.000,2630992.000,1466694.000,1637177.000,979081.000
UnrealizedGainLossOnInterestRateCashFlowHedgesPretaxAccumulatedOtherComprehensiveIncomeLoss,,,,311000.000,
WeightedAverageNumberOfSharesOutstandingBasic,,,,97955.000,97955.000
