,2012-03-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,21606.000,,,,-6005.000,,
ComprehensiveIncomeNetOfTax,-69670.000,,,,,,,
CostOfGoodsSoldOverhead,,,,,,0.000,0.000,0.000
DepreciationAmortizationAndAccretionNet,,10326.000,,898.000,,918.000,,
DepreciationAndAmortization,2266.000,10326.000,985.000,,,918.000,492.000,472.000
EarningsPerShareBasicAndDiluted,,0.000,-0.010,-0.010,-0.040,-0.010,-0.010,-0.010
EarningsPerShareDiluted,-0.020,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,-8761.000,,,,-7591.000,,
ForeignCurrencyTransactionGainLossBeforeTax,-934.000,,,,,,,
ForeignCurrencyTransactionLossBeforeTax,,-8668.000,-2923.000,-14483.000,-6204.000,-7575.000,10390.000,-1326.000
GeneralAndAdministrativeExpense,56117.000,47215.000,22561.000,21019.000,53347.000,28682.000,21765.000,22853.000
GrossProfit,,,,,,0.000,0.000,0.000
IncomeLossFromContinuingOperations,-68736.000,,,,,,,
IncomeTaxExpenseBenefit,,0.000,0.000,0.000,0.000,0.000,0.000,
IncomeTaxesPaidNet,,0.000,,,,0.000,,
IncreaseDecreaseInAccountsAndOtherReceivables,,19218.000,,,,358.000,,
IncreaseDecreaseInCustomerAdvancesAndDeposits,,64248.000,,,,,,
IncreaseDecreaseInInterestPayableNet,,12536.000,,,,,,
IncreaseDecreaseInOtherAccountsPayable,,,,,,-8469.000,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,-5887.000,,,,,,
InterestAndDebtExpense,,,,-13547.000,,-14769.000,-15216.000,-15531.000
InterestExpense,,-12536.000,-13106.000,,,,,
InterestPaidNet,,0.000,,,,0.000,,
InvestmentIncomeInterest,,3.000,4.000,9.000,14.000,5.000,3.000,2.000
NetCashProvidedByUsedInFinancingActivities,,64248.000,,,,38374.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,64248.000,,,,38374.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,,0.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,0.000,,
NetCashProvidedByUsedInOperatingActivities,,-33881.000,,,,-36788.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-33881.000,,,,-36788.000,,
NetIncomeLoss,-68736.000,-70074.000,-36648.000,-35455.000,-68653.000,-44364.000,-37470.000,-38854.000
NonoperatingIncomeExpense,,,,,,-14764.000,-15213.000,-15529.000
OperatingExpenses,,,,,,29600.000,22257.000,23325.000
OperatingIncomeLoss,-58383.000,-57541.000,-23546.000,-21917.000,-54377.000,-29600.000,-22257.000,-23325.000
OtherComprehensiveIncomeLossBeforeTax,,,,-35455.000,,-44364.000,-37470.000,-38854.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,-51939.000,-27080.000,-40180.000
OtherComprehensiveIncomeLossTax,,-78742.000,-39571.000,-49938.000,-74857.000,,,
OtherExpenses,-42.000,0.000,0.000,0.000,,,0.000,
OtherNonoperatingExpense,-10353.000,,,,,,,
OtherNonoperatingIncomeExpense,10311.000,,,,,,,
OtherOperatingIncomeExpenseNet,,-12533.000,-13102.000,-13538.000,-14276.000,,,
ProceedsFromPaymentsForLongTermLoansForRelatedParties,,,,,,38374.000,,
ProfitLoss,,-70074.000,-36648.000,,,-44364.000,,
RepaymentsOfRelatedPartyDebt,,,,,,0.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,3272311.000,3272311.000,3272311.000
WeightedAverageNumberOfSharesOutstandingBasic,3272311.000,,,,,,,
