,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
CostOfRevenue,0.000,,,,1195.000,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,207.000,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,,0.000,,-0.000,-0.000,,,,,,,0.000,,,,0.000
GeneralAndAdministrativeExpense,1808.000,7677.000,835.000,-9588.000,1582.000,677.000,-276.000,-4118.000,277.000,292.000,277.000,277.000,277.000,186.000,,,
GrossProfit,2500.000,6000.000,4320.000,6800.000,605.000,,,,,,,,,,,,
IncomeLossFromContinuingOperations,692.000,-1677.000,3485.000,-5456.000,,,-276.000,,-277.000,-292.000,-277.000,-277.000,-277.000,-186.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,762.000,-1625.000,3524.000,-5406.000,,,-230.000,,-234.000,-255.000,-277.000,-277.000,-277.000,-1464.000,,,
IncomeTaxExpenseBenefit,242.000,,1233.000,,-886.000,-631.000,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,-2000.000,,,,,,,,,,,,,,,,
InterestIncomeExpenseNet,70.000,52.000,39.000,50.000,-886.000,-631.000,46.000,1654.000,43.000,37.000,,0.000,,,,,
NetCashProvidedByUsedInOperatingActivities,-1465.000,,,,-1832.000,,,,43.000,,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1465.000,,,,-1832.000,,,,43.000,,,,,,,,
NetIncomeLoss,520.000,-1625.000,2291.000,-3931.000,-886.000,,-230.000,,-234.000,-255.000,-277.000,,-277.000,,,,
OperatingCostsAndExpenses,1808.000,7677.000,835.000,12256.000,-977.000,-677.000,-276.000,-205.000,277.000,292.000,277.000,277.000,277.000,186.000,,,
OtherIncome,,,,,91.000,46.000,,,,,,,,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,308.000,,,,-1500.000,,,,,,,,,,,,
ResearchAndDevelopmentExpense,,,,,1582.000,677.000,,,,,,,,,,,
Revenues,2500.000,6000.000,4320.000,6800.000,1800.000,,,,,,,,,,,,
SalesRevenueNet,2500.000,6000.000,4320.000,6800.000,1709.000,,,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,1139096.000,1138596.000,1138596.000,-2277692.000,1108596.000,1108596.000,1108596.000,-2217192.000,1108596.000,1108596.000,1108596.000,1108596.000,1108596.000,-2217192.000,1108596.000,1108596.000,1108596.000
