,2011-12-31,2012-12-31
GainLossOnSaleOfCommodityContracts,730605.000,-4160469.000
IncomeLossAttributableToParent,,-6280015.000
InterestIncomeOperating,9928.000,7956.000
NetIncomeLoss,-7399527.000,-6280015.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,-503.780,-450.200
OperatingExpenses,2521864.000,1465261.000
OtherExpenses,39113.000,68247.000
PartnersCapitalAccountContributions,2225336.000,342162.000
PartnersCapitalAccountRedemptions,12980630.000,7432959.000
PartnersCapitalAccountUnitsContributed,1382.023,235.232
PartnersCapitalAccountUnitsRedeemed,6401.823,6274.058
ProfessionalFees,140911.000,151780.000
SellingExpense,1711163.000,905216.000
TradingActivityGainsAndLossesNet,-4887591.000,-4905132.000
UnrealizedGainLossOnCommodityContracts,-5618196.000,-744663.000
WeightedAverageLimitedPartnershipAndGeneralPartnershipUnitsOutstandingBasic,16862.974,13758.008
