,2011-12-31,2012-12-31,2013-12-31
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,0.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-290000.000,-10676000.000,860000.000
ComprehensiveIncomeNetOfTax,-6331000.000,-17943000.000,-2408000.000
CostOfGoodsSold,115865000.000,112192000.000,111520000.000
CostsAndExpenses,148508000.000,148934000.000,130586000.000
CurrentFederalTaxExpenseBenefit,,-4617000.000,265000.000
CurrentStateAndLocalTaxExpenseBenefit,,68000.000,206000.000
DeferredFederalIncomeTaxExpenseBenefit,,3597000.000,
DeferredIncomeTaxExpenseBenefit,-2540000.000,3567000.000,78000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-30000.000,78000.000
DepreciationAndAmortization,,2275000.000,2438000.000
DepreciationDepletionAndAmortization,2471000.000,2275000.000,2438000.000
Dividends,,,3900000.000
EarningsPerShareBasic,-4.150,-11.760,-1.580
EarningsPerShareDiluted,-4.150,-11.760,-1.580
FederalIncomeTaxExpenseBenefitContinuingOperations,,-1020000.000,265000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-9077000.000,-18925000.000,-1859000.000
IncomeTaxExpenseBenefit,-2746000.000,-982000.000,549000.000
IncomeTaxExpenseBenefitContinuingOperations,,-982000.000,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-6434000.000,-632000.000
IncomeTaxReconciliationOtherAdjustments,,-47000.000,10000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,25000.000,187000.000
IncomeTaxesPaidNet,,-732000.000,-4285000.000
IncreaseDecreaseInAccountsPayable,1359000.000,2000.000,2582000.000
IncreaseDecreaseInAccountsReceivable,2670000.000,6168000.000,-2481000.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,-920000.000,-1130000.000,982000.000
IncreaseDecreaseInIncomeTaxesReceivable,-49000.000,-3815000.000,-4755000.000
IncreaseDecreaseInInventories,6049000.000,-562000.000,-2316000.000
IncreaseDecreaseInOtherOperatingCapitalNet,249000.000,149000.000,-51000.000
InterestAndOtherIncome,37000.000,2000.000,67000.000
InterestExpense,105000.000,517000.000,573000.000
InterestPaid,,318000.000,395000.000
InventoryWriteDown,205000.000,476000.000,-729000.000
NetCashProvidedByUsedInFinancingActivities,,12182000.000,-7596000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,12182000.000,-7596000.000
NetCashProvidedByUsedInInvestingActivities,5147000.000,-1750000.000,-1881000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,5147000.000,-1750000.000,-1881000.000
NetCashProvidedByUsedInOperatingActivities,-5437000.000,-21108000.000,10337000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-5437000.000,-21108000.000,10337000.000
NetIncomeLoss,-6331000.000,-17943000.000,-2408000.000
NonoperatingIncomeExpense,-68000.000,-515000.000,-506000.000
OperatingIncomeLoss,-9009000.000,-18410000.000,-1353000.000
PaymentsForCapitalImprovements,,1750000.000,1881000.000
PaymentsForProceedsFromShortTermInvestments,-7500000.000,,
PaymentsToAcquireMarketableSecurities,10000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,2343000.000,1750000.000,1881000.000
ProceedsFromLinesOfCredit,2000000.000,26968000.000,60990000.000
ProceedsFromRepaymentsOfNotesPayable,,10237000.000,705000.000
RelatedPartyTransactionAmountsOfTransaction,,1735000.000,1740000.000
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,290000.000,236000.000
RepaymentsOfLinesOfCredit,2000000.000,23638000.000,65145000.000
RepaymentsOfNotesPayable,,1385000.000,4146000.000
ResearchAndDevelopmentExpense,,769000.000,621000.000
ResultsOfOperationsIncomeBeforeIncomeTaxes,,-18925000.000,
Revenues,,,129233000.000
SalesRevenueGoodsNet,139499000.000,130524000.000,129233000.000
SalesRevenueNet,,,129233000.000
SellingGeneralAndAdministrativeExpense,23343000.000,23542000.000,20148000.000
StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,,38000.000,284000.000
WeightedAverageNumberOfDilutedSharesOutstanding,1525000.000,1525000.000,1525000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,1525000.000,1525000.000
WeightedAverageNumberOfSharesOutstandingBasic,1525000.000,1525000.000,1525000.000
