,2011-12-31,2012-12-31
AssetImpairmentCharges,,97449.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1887820.000,-1588871.000
ComprehensiveIncomeNetOfTax,,-1947301.000
CostMethodInvestmentsRealizedGainLoss,-33718.000,
CostOfGoodsAndServicesSold,1658765.000,1579517.000
DeferredIncomeTaxExpenseBenefit,-100368.000,-68118.000
Depreciation,79062.000,76878.000
EarningsPerShareBasicAndDiluted,-1.060,-0.420
EffectOfExchangeRateOnCashAndCashEquivalents,80381.000,14124.000
GeneralAndAdministrativeExpense,4957735.000,1319988.000
GrossProfit,1749800.000,1350182.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-1948885.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,-1948885.000
IncomeLossFromEquityMethodInvestments,-41233.000,
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,-41233.000,
IncomeTaxExpenseBenefit,-93506.000,-67752.000
IncomeTaxReconciliationNondeductibleExpenseDepreciationAndAmortization,,67752.000
IncomeTaxesPaid,5278.000,
IncreaseDecreaseInAccountsPayable,-1022770.000,-39806.000
IncreaseDecreaseInAccountsReceivable,-3762907.000,-71466.000
IncreaseDecreaseInCustomerDeposits,545561.000,815668.000
IncreaseDecreaseInDueToOfficersAndStockholders,-290343.000,
IncreaseDecreaseInDueToRelatedParties,,122444.000
IncreaseDecreaseInInventories,492343.000,394392.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,62693.000,411597.000
IncreaseDecreaseInOtherOperatingAssets,-61633.000,141293.000
IncreaseDecreaseInPropertyAndOtherTaxesPayable,-22604.000,
InterestExpense,4264.000,22412.000
InterestPaid,,22462.000
InvestmentIncomeInterest,6584.000,2242.000
NetCashProvidedByUsedInFinancingActivities,313232.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,313232.000,
NetCashProvidedByUsedInInvestingActivities,50370.000,-606002.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,50370.000,-606002.000
NetCashProvidedByUsedInOperatingActivities,-2331803.000,-996993.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2331803.000,-996993.000
NetIncomeLoss,-4944011.000,-1948885.000
NetIncomeLossAttributableToNoncontrollingInterest,-50435.000,
NonoperatingIncomeExpense,,-71498.000
OperatingIncomeLoss,-5040882.000,-1906810.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,156975.000,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,69336.000
OtherNonoperatingIncomeExpense,25561.000,7792.000
PaymentsForLoans,,318193.000
PaymentsForProceedsFromOtherInvestingActivities,-84771.000,
PaymentsToAcquireInvestments,,365922.000
PaymentsToAcquirePropertyPlantAndEquipment,49600.000,35488.000
ProceedsFromBankDebt,317496.000,318193.000
ProceedsFromSaleMaturityAndCollectionsOfInvestments,15199.000,
ProfitLoss,-4994446.000,-1948885.000
RepaymentsOfShortTermDebt,4264.000,
ResearchAndDevelopmentExpense,723754.000,935869.000
Revenues,3408565.000,2929699.000
SalesRevenueNet,3408565.000,2929699.000
SellingExpense,1109193.000,1001135.000
StockIssuedDuringPeriodSharesStockOptionsExercised,,200000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,4651173.000
