,2011-06-30,2011-09-30,2012-03-31,2012-06-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,-9312.000,-10811.000,-10144.000
AccretionOfDiscount,,,10811.000,
CashPeriodIncreaseDecrease,,,-5227.000,
Depreciation,,,411.000,
DepreciationExpense,,472.000,411.000,384.000
ForeignCurrencyTransactionGainLossBeforeTax,,,-8393.000,
ForeignCurrencyTransactionGainLossUnrealized,,-34398.000,8394.000,-9379.000
GeneralAndAdministrativeExpense,,39546.000,16507.000,24006.000
IncomeLossFromContinuingOperations,,-94407.000,-31512.000,-57170.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,-0.000
IncreaseDecreaseInAccountsPayableTrade,,,12029.000,
IncreaseDecreaseInAccountsReceivable,,,-750.000,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,12177.000,
InterestExpenseBorrowings,,10679.000,12177.000,
InterestExpenseOther,,,,13257.000
NetCashProvidedByUsedInOperatingActivities,,,-5227.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-5227.000,
OperatingExpenses,,74416.000,8524.000,33769.000
OperatingIncomeLoss,,-74416.000,-8524.000,-33769.000
OtherExpenses,,19991.000,22988.000,23401.000
ProFormaWeightedAverageSharesOutstandingDiluted,45569000.000,45569000.000,45569000.000,45569000.000
