,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-6473.000,,,,-4202.000,,,,2869.000,,,,-265.000,,,
EarningsPerShareBasicAndDiluted,,,,,0.000,0.000,,,0.000,,,,,0.000,,
GeneralAndAdministrativeExpense,535.000,1285.000,6338.000,2146.000,1245.000,1006.000,1105.000,2032.000,1185.000,979.000,1075.000,2036.000,406.000,1763.000,1002.000,577.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-6535.000,-3035.000,-16372.000,-25005.000,-4745.000,-10806.000,-3355.000,-3532.000,-4950.000,-3044.000,-2840.000,-4730.000,-4171.000,-3828.000,-2767.000,
IncreaseDecreaseInAccountsPayable,417.000,,,,920.000,,,,-80.000,,,,3800.000,,,
IncreaseDecreaseInPrepaidRent,-355.000,,,,-377.000,,,,-297.000,,,,-316.000,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,8196.000,,,,422.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,8196.000,,,,422.000,,,
NetCashProvidedByUsedInOperatingActivities,-6473.000,,,,-4202.000,,,,-5327.000,,,,-687.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-6473.000,,,,-4202.000,,,,-5327.000,,,,-687.000,,,
NetIncomeLoss,-6535.000,-3035.000,-16372.000,-25005.000,-4745.000,-10806.000,-3355.000,-3532.000,-4950.000,-3044.000,-2840.000,-4730.000,-4171.000,-3828.000,-2767.000,-10527.000
OperatingIncomeLoss,,,,,,,,,73940.000,,,,89504.000,,,
ProceedsFromCollectionOfLongtermLoansToRelatedParties,,,,,,,,,,,,,22008.000,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,8196.000,,,,422.000,,,
ProfessionalFees,6000.000,1750.000,10034.000,22859.000,3500.000,9800.000,2250.000,1500.000,3765.000,2065.000,1765.000,2694.000,3765.000,2065.000,1765.000,9531.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,5000000.000,5004782.000,5817391.000,-10368365.000,6000000.000,6000000.000,6000000.000,-12000000.000,6000000.000,6000000.000,6000000.000,-12000000.000,6000000.000,6000000.000,6000000.000,72000000.000
