,2012-01-31,2012-04-30,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31
AdjustmentForAmortization,,,161000.000,,,,180000.000,,,,248000.000,,,
AmortizationOfIntangibleAssets,,,161000.000,156000.000,187000.000,,180000.000,186000.000,187000.000,323000.000,248000.000,295000.000,349000.000,340000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,,,0.040,0.050,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,,,,,,0.040,0.050,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,1110000.000,1264000.000,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,18875000.000,19375000.000,
BusinessExitCosts,,,,,,,,514000.000,64000.000,,,,,
BusinessExitCosts1,,,,,,,,,,,62000.000,657000.000,0.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-356000.000,,,,1067000.000,,,,4997000.000,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,0.000,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,1422000.000,-1198000.000,912000.000,1470000.000,1110000.000,-260000.000,984000.000,1333000.000,263000.000,-359000.000,1607000.000,1628000.000
CostOfGoodsSold,6108000.000,6746000.000,6147000.000,8884000.000,7213000.000,8181000.000,6606000.000,6698000.000,7223000.000,8013000.000,7376000.000,8605000.000,9270000.000,9551000.000
DeferredIncomeTaxExpenseBenefit,,,97000.000,,,,92000.000,,,,0.000,,,
DeferredTaxExpenseFromStockOptionsExercised,,,,,,,,,,,16000.000,,,
Depreciation,,,305000.000,,,,266000.000,,,,309000.000,,,
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationsBeforeIncomeTax,,,0.000,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,0.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,0.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,0.000,,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,,,0.000,,,,,,,,,,,
EarningsPerShareBasic,0.070,0.040,0.050,-0.050,0.050,0.050,0.040,-0.010,0.040,0.050,0.030,0.040,0.050,0.060
EarningsPerShareDiluted,0.070,0.040,0.050,-0.050,0.050,0.050,0.040,-0.010,0.040,0.050,0.030,0.040,0.050,0.060
EffectOfExchangeRateOnCashAndCashEquivalents,,,-69000.000,,,,-79000.000,,,,-94000.000,,,
ExciseAndSalesTaxes,,,,45000.000,,,,,,,,,,
GainLossOnSaleOfOtherAssets,0.000,0.000,,,,,,,,,,,,
GeneralAndAdministrativeExpense,2525000.000,2628000.000,2408000.000,2872000.000,2719000.000,2933000.000,2635000.000,3003000.000,2602000.000,2722000.000,3028000.000,2942000.000,3355000.000,3968000.000
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,,,0.000,,,,,,,,,,,
GrossProfit,8972000.000,7822000.000,8473000.000,5171000.000,9051000.000,9676000.000,8924000.000,8398000.000,8912000.000,9995000.000,9270000.000,9584000.000,10105000.000,11258000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2608000.000,1402000.000,1945000.000,-2171000.000,1712000.000,2203000.000,1395000.000,-374000.000,1412000.000,2128000.000,1158000.000,1185000.000,1731000.000,1945000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,1867000.000,1006000.000,1352000.000,-1382000.000,1150000.000,1439000.000,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,0.070,0.040,0.050,-0.050,0.050,0.050,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.070,0.040,0.050,-0.050,0.050,0.050,,,,,,,,
