,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,,,,-1673427.000,
AdvertisingExpense,,,,,,86.000,
AmortizationOfIntangibleAssets,,,,,,0.000,0.000
CapitalLeasesIncomeStatementInterestExpense,,,3448.000,3253.000,,2380.000,2249.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,8086.000,,,,-704863.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,1154809.000,,,
CostOfGoodsSold,70292329.000,42048249.000,30976050.000,48626491.000,39342921.000,14558743.000,24828545.000
DepreciationAndAmortization,,120995.000,,,,,
DepreciationDepletionAndAmortization,,,121151.000,120500.000,,119846.000,72047.000
DividendsCommonStock,,,7.000,0.000,,,
DividendsCommonStockCash,,,,,,,0.000
EarningsPerShareBasicAndDiluted,0.070,-0.030,-0.040,0.040,-0.120,0.020,-0.020
ForeignCurrencyTransactionGainLossBeforeTax,-7487.000,-12550.000,17310.000,-5709.000,-7473.000,-2841.000,6537.000
GainLossOnDerivativeInstrumentsNetPretax,0.000,,,,,,
GainLossOnDispositionOfAssets,0.000,256.000,0.000,0.000,0.000,1872724.000,0.000
GeneralAndAdministrativeExpense,1493833.000,1182119.000,957057.000,1089389.000,2645102.000,1086856.000,986758.000
GrossProfit,3721938.000,364771.000,389831.000,861540.000,-1224686.000,-98515.000,179373.000
IncomeLossAttributableToNoncontrollingInterest,,,,,,-93830.000,43679.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2115661.000,-865668.000,-1119703.000,1187759.000,-4035547.000,888332.000,-648107.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,-648107.000
IncomeTaxExpenseBenefit,197422.000,0.000,0.000,32950.000,0.000,0.000,0.000
IncomeTaxesPaidNet,,,,,,0.000,
IncreaseDecreaseInAccountsPayable,,-8731014.000,,,,-197579.000,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,-500000.000,
IncreaseDecreaseInAccountsReceivable,,-12437839.000,,,,-241333.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,-118638.000,,,,0.000,
IncreaseDecreaseInAccruedLiabilities,,-74036.000,,,,-23962.000,
IncreaseDecreaseInInventories,,-23388.000,,,,-400924.000,
IncreaseDecreaseInOtherCurrentAssets,,175507.000,,,,32137.000,
IncreaseDecreaseInOtherCurrentLiabilities,,-44.000,,,,637282.000,
IncreaseDecreaseInOtherNoncurrentAssets,,57583.000,,,,-13963.000,
IncreaseDecreaseInRestrictedCash,,,,,,2484.000,
InterestExpense,162751.000,133226.000,301533.000,265807.000,310514.000,221469.000,204035.000
InterestPaid,,,,,,221469.000,
InventoryWriteDown,,0.000,,,,-48055.000,
InvestmentIncomeInterest,667.000,827.000,766.000,-572.000,1706.000,530.000,538.000
NetCashProvidedByUsedInFinancingActivities,,-2730355.000,,,,-2326175.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-2730355.000,,,,-2326175.000,
NetCashProvidedByUsedInInvestingActivities,,127426.000,,,,2310093.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,127426.000,,,,2310093.000,
NetCashProvidedByUsedInOperatingActivities,,2611015.000,,,,-691265.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,2611015.000,,,,-691265.000,
NetIncomeLoss,1918239.000,-865668.000,-1119703.000,1154809.000,-3883176.000,982162.000,
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,-604428.000
OperatingIncomeLoss,2205187.000,-830231.000,-721983.000,-297429.000,-3963654.000,-1218032.000,-844443.000
OtherNonoperatingIncomeExpense,19097.000,40871.000,36221.000,-36803.000,134749.000,52562.000,54674.000
PaymentsToAcquirePropertyPlantAndEquipment,,128.000,,,,0.000,
ProceedsFromRelatedPartyDebt,,,,,,0.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,256.000,,,,2531391.000,
ProceedsFromShortTermDebt,,-2453245.000,,,,-1923336.000,
ProfitLoss,,,,,,888332.000,-648107.000
ProvisionForDoubtfulAccounts,,51539.000,,-1648390.000,,0.000,
RentalIncomeNonoperating,46987.000,45192.000,45192.000,-54125.000,159982.000,44038.000,44721.000
RepaymentsOfBankDebt,,,,,,378858.000,
RepaymentsOfLongTermCapitalLeaseObligations,,26925.000,,,,23981.000,
RepaymentsOfRelatedPartyDebt,,,,,,218814.000,
RepaymentsOfShortTermDebt,,250185.000,,,,,
SalesRevenueGoodsNet,74014267.000,42413020.000,31365881.000,49488031.000,38118235.000,14460228.000,25007918.000
SellingAndMarketingExpense,22918.000,12883.000,154757.000,69580.000,93866.000,32661.000,37058.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,29025436.000,30109898.000,31694916.000,-58095451.000,39474495.000,39474495.000
