,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-03-31,2016-09-30,2016-12-31,2017-03-31
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,-6000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,21000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,791000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,-137000.000,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,188000.000,,,,,,98000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-29196000.000,,,,29362000.000,,,,-404000.000,,,,1169000.000,,,,,,-125000.000,,
ComprehensiveIncomeNetOfTax,,,,,-3766000.000,-4225.000,-5469000.000,-11526775.000,-4360000.000,-6201000.000,-7560000.000,-6111000.000,-9599000.000,-5915000.000,-5331000.000,-4651000.000,-3636000.000,-7040000.000,-5742000.000,-8211000.000,-6890000.000
CostOfRevenue,,,,,6000.000,6.000,6000.000,7994.000,3000.000,3000.000,3000.000,2000.000,3000.000,4000.000,3000.000,3000.000,97000.000,,,,
CostOfServicesLicensesAndServices,,,,,,,,,7000000.000,,,,,,,,,,,,
Depreciation,97000.000,,,,130000.000,,,,461000.000,,,,498000.000,,,,,,558000.000,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,-50000.000,,,,,,,,,-65000.000,131000.000,-268000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,,,,-29000.000,,,,,,103000.000,221000.000,,,
EarningsPerShareBasicAndDiluted,-0.110,-0.050,-0.090,-0.090,-0.080,-0.080,-0.100,-0.120,-0.080,-0.110,-0.140,-0.090,-0.090,-0.090,-0.100,-0.070,-0.050,-0.090,-0.080,-0.080,-0.090
GainLossOnDerivativeInstrumentsNetPretax,,,,,,,,,,,,,-198000.000,59000.000,98000.000,436000.000,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,,,,,,,4000.000,,
GeneralAndAdministrativeExpense,1637000.000,1275000.000,1924000.000,1732000.000,1681000.000,1420.000,1159000.000,2807580.000,1829000.000,1975000.000,2531000.000,2341000.000,1678000.000,1513000.000,1527000.000,1742000.000,1546000.000,1639000.000,1564000.000,1446000.000,1886000.000
GrossProfit,,,,,189000.000,189.000,188000.000,281811.000,92000.000,92000.000,92000.000,92000.000,92000.000,91000.000,92000.000,91000.000,2655000.000,,,,
IncomeTaxesPaid,8000.000,,,,3000.000,,,,31000.000,,,,30000.000,,,,,,8000.000,,
IncreaseDecreaseInAccountsPayable,-87000.000,,,,988000.000,,,,247000.000,,,,-989000.000,,,,,,-389000.000,,
