,2012-09-30,2013-03-31
AllocatedShareBasedCompensationExpense,,1800000.000
AmortizationOfDebtDiscountPremium,3967000.000,2961000.000
AmortizationOfFinancingCosts,,3901000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,22665423.000,380748000.000
AssetImpairmentCharges,1070000.000,2103000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-18213000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,300000.000
CashFlowHedgeLossReclassifiedToInterestExpense,,100000.000
CommonStockDividendsPerShareDeclared,,0.312
ComprehensiveIncomeNetOfTax,-45101000.000,-8249000.000
CostOfPropertyRepairsAndMaintenance,1028000.000,963000.000
CostsAndExpenses,88455000.000,79153000.000
DebtInstrumentUnusedBorrowingCapacityFee,,100000.000
DepreciationAndAmortization,27760000.000,28174000.000
DepreciationDepletionAndAmortization,,28316000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,1021000.000,180000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,-506000.000,-2090000.000
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,194000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,719000.000,403000.000
DividendsCommonStock,,26502000.000
DividendsCommonStockCash,,26500000.000
EarningsPerShareBasicAndDiluted,-1.700,-0.100
GainsLossesOnExtinguishmentOfDebt,-32522000.000,
GainsLossesOnSalesOfOtherRealEstate,,202000.000
GeneralAndAdministrativeExpense,17402000.000,13577000.000
HeldToMaturitySecuritiesSoldSecurityDerivativeHedgeGainLoss,,21654000000.000
ImpairmentOfRealEstate,1070000.000,2103000.000
IncomeLossFromContinuingOperations,-50374000.000,-6422000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-50300000.000,-6348000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-1.720,-0.080
IncomeLossFromDiscontinuedOperationsNetOfTax,515000.000,-1910000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,515000.000,-1910000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,0.020,-0.020
IncomeTaxExpenseBenefit,74000.000,74000.000
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,,3103000.000
InterestExpense,42115000.000,36439000.000
InterestIncomeOther,164000.000,78000.000
NetCashProvidedByUsedInFinancingActivities,,-7264000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-7264000.000
NetCashProvidedByUsedInInvestingActivities,,-39181000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-39181000.000
NetCashProvidedByUsedInOperatingActivities,,28232000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,28232000.000
NetIncomeLoss,-49859000.000,-8332000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-49859000.000,-8332000.000
OperatingIncomeLoss,-17778000.000,
OperatingLeasesIncomeStatementLeaseRevenue,69030000.000,71614000.000
OtherComprehensiveIncomeLossNetOfTax,,83000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeBeforeTax,5191000.000,114000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,-433000.000,-31000.000
OtherNoncashExpense,,108000.000
OtherNoncashIncome,,643000.000
OtherNonoperatingIncomeExpense,-32522000.000,
PaymentsOfDividendsCommonStock,,28247000.000
PaymentsToAcquireAndDevelopRealEstate,,56854000.000
ProceedsFromCollectionOfLoansReceivable,,763000.000
ProceedsFromLinesOfCredit,,11400000.000
ProvisionForDoubtfulAccounts,,3700000.000
ProvisionForLeaseLosses,,15900000.000
RealEstateAccumulatedDepreciationRealEstateSold,,600000.000
Revenues,70677000.000,72805000.000
SalesRevenueNet,70677000.000,72805000.000
ShareBasedCompensation,,1772000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,,18334.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,,15.250
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,29351839.000,83694549.000
