,2011-06-30,2011-09-30,2011-12-31,2012-03-31
AmortizationOfIntangibleAssets,1787000.000,,,
CapitalLeaseObligationsIncurred,-1487000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-3123000.000,,,
CostOfGoodsSold,71338000.000,67299000.000,49623000.000,61145000.000
CostOfGoodsSoldAmortization,1445000.000,1445000.000,1445000.000,1445000.000
DepreciationDepletionAndAmortization,6157000.000,,,
EarningsPerShareBasicAndDiluted,-0.070,-0.110,-0.510,-0.240
EffectOfExchangeRateOnCashAndCashEquivalents,337000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpense,342000.000,342000.000,342000.000,29000.000
GainLossOnDispositionOfProperty,125000.000,,,
GrossProfit,20302000.000,17285000.000,1998000.000,5057000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-6133000.000,-9915000.000,-46307000.000,-21816000.000
IncomeTaxExpenseBenefit,114000.000,40000.000,29000.000,-1000.000
IncreaseDecreaseInAccountsPayable,-14457000.000,,,
IncreaseDecreaseInAccountsReceivable,-10541000.000,,,
IncreaseDecreaseInAccruedLiabilities,-771000.000,,,
IncreaseDecreaseInInventories,-4056000.000,,,
IncreaseDecreaseInOtherOperatingAssets,13000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,2480000.000,,,
InterestIncomeExpenseNet,-219000.000,-209000.000,-228000.000,-182000.000
NetCashProvidedByUsedInFinancingActivities,-2357000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-2357000.000,,,
NetCashProvidedByUsedInInvestingActivities,625000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,625000.000,,,
NetCashProvidedByUsedInOperatingActivities,-1728000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1728000.000,,,
NetIncomeLoss,-6247000.000,-9955000.000,-46336000.000,-21815000.000
NonoperatingIncomeExpense,-148000.000,848000.000,136000.000,-1537000.000
OperatingIncomeLoss,-7844000.000,-10554000.000,-46215000.000,-21025000.000
PaymentsForRepurchaseOfCommonStock,145000.000,,,
PaymentsToAcquireProductiveAssets,1601000.000,,,
ProceedsFromDivestitureOfBusinesses,2078000.000,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,148000.000,,,
ProceedsFromStockOptionsExercised,85000.000,,,
RelatedPartyTransactionRevenuesFromTransactionsWithRelatedParty,7769000.000,4303000.000,10296000.000,-687000.000
RepaymentsOfLongTermCapitalLeaseObligations,2297000.000,,,
ResearchAndDevelopmentExpense,13478000.000,14008000.000,13193000.000,13882000.000
SalesRevenueGoodsNet,93085000.000,86029000.000,53066000.000,67647000.000
SellingGeneralAndAdministrativeExpense,14451000.000,13489000.000,12904000.000,13765000.000
ShareBasedCompensation,1902000.000,,,
