,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccruedLiabilitiesCurrentAndNoncurrent,143288.000,178380.000,208555.000,108450.000,133371.000,161193.000,,,150723.000,177126.000,225249.000,210446.000,150035.000,206178.000,206642.000,176600.000
Assets,345886357.000,308495769.000,311835414.000,328589707.000,292109037.000,316793862.000,,,256758990.000,255982378.000,235185035.000,256427079.000,235070611.000,200504169.000,160947266.000,115347130.000
Cash,56850938.000,67114942.000,40738315.000,43241355.000,42531293.000,30917149.000,,,36994248.000,29573067.000,31157993.000,29216219.000,24789952.000,35765524.000,30619025.000,24960123.000
CashAndCashEquivalentsAtCarryingValue,6531043.000,14297166.000,4082766.000,7587191.000,5332063.000,3794473.000,,,7780927.000,12935416.000,8920826.000,17867813.000,5844716.000,2953141.000,9503994.000,685284.000
DebtCurrent,,,,,,,,0.000,,,,,,,,
DueToOfficersOrStockholdersCurrentAndNoncurrent,184951.000,164832.000,168058.000,176805.000,155874.000,170510.000,,,137770.000,132279.000,127219.000,128223.000,121236.000,108286.000,86973.000,62329.000
FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,293462530.000,261481375.000,255479875.000,270064271.000,223852652.000,255458545.000,,,219275022.000,214494260.000,189958835.000,196480430.000,198468810.000,175192152.000,127970580.000,91785398.000
InterestReceivable,252.000,185.000,,9.000,9.000,57.000,,,,,,,,,,
InvestmentOwnedPercentOfNetAssets,,,,,,,,,-0.029,-0.005,-0.013,0.008,-0.000,-0.069,-0.047,-0.019
Liabilities,6540000.000,5944317.000,7220801.000,6637596.000,31890169.000,8173009.000,,,6989377.000,16760829.000,6674636.000,14977763.000,3010326.000,5022628.000,9749760.000,5104644.000
LiabilitiesAndStockholdersEquity,345886357.000,308495769.000,311835414.000,328589707.000,292109037.000,316793862.000,,,256758990.000,255982378.000,235185035.000,256427079.000,235070611.000,200504169.000,160947266.000,115347130.000
MarginDepositAssets,41374191.000,32135860.000,33485983.000,38687815.000,50673889.000,39841394.000,,,29702838.000,28352499.000,28255340.000,31078706.000,24756643.000,22358876.000,23472692.000,22876448.000
OtherPayablesToBrokerDealersAndClearingOrganizations,28439.000,25345.000,25841.000,27186.000,23968.000,26218.000,,,21184.000,20340.000,19562.000,20494.000,19558.000,16650.000,13373.000,9583.000
PayablesToCustomers,1954515.000,1625881.000,5513415.000,4318733.000,27439385.000,6271808.000,,,4486557.000,4906274.000,6279842.000,14596295.000,2697039.000,4371558.000,9336021.000,4837129.000
StockholdersEquity,339346357.000,302551452.000,304614613.000,321952111.000,260218868.000,308620853.000,,,249769613.000,239221549.000,228510399.000,241449316.000,232060285.000,195481541.000,151197506.000,110242486.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,339346357.000,302551452.000,304614613.000,321952111.000,260218868.000,308620853.000,,,249769613.000,239221549.000,228510399.000,241449316.000,232060285.000,195481541.000,151197506.000,110242486.000
