,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AffiliateCosts,,,,,,,,,,,,,,,265410.000,,
AmortizationOfFinancingCosts,,,41000.000,,,,41000.000,,,,62000.000,,,,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-14000.000,,,,407000.000,,,,130000.000,,,,24509000.000,,
CostOfRealEstateRevenue,986000.000,1206000.000,969000.000,936000.000,1225000.000,1065000.000,970000.000,1007000.000,1244000.000,969000.000,932000.000,1013000.000,105000.000,-1621000.000,104000.000,87000.000,65000.000
DebtInstrumentPeriodicPayment,,,,,,,136000.000,,,,136000.000,,,,136000.000,,
DepreciationAndAmortization,882000.000,902000.000,921000.000,889000.000,847000.000,870000.000,867000.000,890000.000,938000.000,905000.000,909000.000,908000.000,56000.000,-1639000.000,60000.000,44000.000,19000.000
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,60000.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,-266000.000,,17980000.000,-109000.000,96000.000
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,,,,,,,,,,,,755000.000,,0.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,,,,,,,,,,231000.000,,199000.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,,,,,,,,,1118000.000,,824000.000,73000.000,-103000.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,,,,,,,,,495000.000,-109000.000,96000.000
DisposalGroupIncludingDiscontinuedOperationRentalIncome,,,,,,,,,,,,,1646000.000,,1244000.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,,1838000.000,,1319000.000,-36000.000,-7000.000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,,,,0.000,0.000
EntityWideRevenueMajorCustomerPercentage,,,,,,,0.230,,,,,,,,,,
GainLossOnDispositionOfAssets,,,,,,,,,0.000,,,,,,,0.000,0.000
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,-740000.000,,
GainLossOnDispositionOfProperty,,,,,202000.000,,,,,,,,,,,,
GainLossOnSaleOfProperty,,,,,,,,,,,,,,,18780000.000,0.000,0.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,-1096000.000,0.000,0.000
GeneralAndAdministrativeExpense,235000.000,216000.000,222000.000,230000.000,196000.000,213000.000,215000.000,204000.000,211000.000,206000.000,385000.000,228000.000,198000.000,290000.000,302000.000,186000.000,252000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,-377000.000,,-359000.000,-178000.000,-180000.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,,,,,,,,,,,,,,-2.670,-6.790
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-49000.000,,,,-26000.000,,,,-8000.000,,,,247000.000,,
IncreaseDecreaseInAccountsReceivable,,,-31000.000,,,,-148000.000,,,,46000.000,,,,704000.000,,
IncreaseDecreaseInDeferredCharges,,,299000.000,,,,11000.000,,,,117000.000,,,,195000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,262000.000,,,,280000.000,,,,77000.000,,,,-221000.000,,
IncreaseDecreaseInPrepaidRent,,,-21000.000,,,,-37000.000,,,,-79000.000,,,,205000.000,,
InterestAndOtherIncome,,,,,12000.000,,,15000.000,0.000,,,0.000,0.000,,,1000.000,0.000
InterestExpense,400000.000,415000.000,407000.000,405000.000,404000.000,403000.000,399000.000,399000.000,397000.000,411000.000,413000.000,412000.000,179000.000,-278000.000,46000.000,0.000,0.000
InterestPaid,,,367000.000,,,,358000.000,,,,352000.000,,,,246000.000,,
NetCashProvidedByUsedInFinancingActivities,,,-111000.000,,,,-117000.000,,,,-124000.000,,,,-29070000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-111000.000,,,,-117000.000,,,,-124000.000,,,,-29070000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-121000.000,,,,-49000.000,,,,-33000.000,,,,53478000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-121000.000,,,,-49000.000,,,,-33000.000,,,,53478000.000,,
NetCashProvidedByUsedInOperatingActivities,,,218000.000,,,,573000.000,,,,287000.000,,,,101000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,218000.000,,,,573000.000,,,,287000.000,,,,101000.000,,
NetIncomeLoss,-258000.000,-407000.000,-186000.000,-241000.000,-129000.000,-364000.000,-203000.000,-220000.000,-526000.000,-2181000.000,-515000.000,-428000.000,-643000.000,282000.000,17621000.000,-287000.000,-84000.000
NetIncomeLossAllocatedToGeneralPartners,,,,-2000.000,7000.000,,,,,,,,,,,,
NetIncomeLossAllocatedToLimitedPartners,,,,-239000.000,-136000.000,,,,,,,,,,,,
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,,,11000.000,,,,,,,,,,,,,,
OperatingExpenses,2103000.000,2324000.000,2112000.000,2055000.000,2268000.000,2148000.000,2052000.000,2101000.000,2393000.000,3980000.000,2226000.000,2149000.000,359000.000,-2970000.000,466000.000,317000.000,336000.000
OperatingIncomeLoss,142000.000,8000.000,221000.000,164000.000,61000.000,39000.000,196000.000,164000.000,-129000.000,-1770000.000,-102000.000,-16000.000,-198000.000,-741000.000,-313000.000,-179000.000,-180000.000
OperatingLeasesIncomeStatementLeaseRevenue,1980000.000,2035000.000,2055000.000,2010000.000,1988000.000,2011000.000,2036000.000,2049000.000,2059000.000,1977000.000,1953000.000,1945000.000,145000.000,-3469000.000,136000.000,101000.000,145000.000
PaymentsForCapitalImprovements,,,121000.000,,,,49000.000,,,,33000.000,,,,246000.000,,
ProceedsFromSaleOfRealEstate,,,,,,,,,,,,,,,53724000.000,,
PropertyManagementFeePercentFee,,,,,,,0.025,,,,0.025,,,,0.025,,
RealEstateRevenueNet,2245000.000,2332000.000,2333000.000,2219000.000,2329000.000,2187000.000,2248000.000,2265000.000,2264000.000,2210000.000,2124000.000,2133000.000,161000.000,-3711000.000,153000.000,138000.000,156000.000
RepaymentsOfLinesOfCredit,,,,,,,,,,,,,,,7749000.000,,
RepaymentsOfNotesPayable,,,111000.000,,,,117000.000,,,,124000.000,,,,20404000.000,,
TenantReimbursements,265000.000,297000.000,278000.000,209000.000,341000.000,176000.000,212000.000,216000.000,205000.000,233000.000,171000.000,188000.000,16000.000,-242000.000,17000.000,37000.000,11000.000
WeightedAverageLimitedPartnershipUnitsOutstanding,65819.000,65819.000,65819.000,65819.000,65819.000,,65819.000,65819.000,,,65819.000,65819.000,65819.000,,65819.000,65819.000,65819.000
