,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
Assets,279642000.000,217456000.000,220735000.000,183625000.000,186071000.000,117595000.000,119477000.000,80154000.000,81349000.000
AssetsCurrent,74697000.000,41099000.000,65614000.000,48888000.000,79312000.000,42816000.000,68229000.000,50467000.000,78879000.000
CashAndCashEquivalentsAtCarryingValue,51014000.000,16471000.000,44183000.000,28948000.000,54008000.000,15937000.000,46979000.000,29424000.000,53625000.000
CashCollateralForBorrowedSecurities,,,,,,,3000000.000,,
CustomerDepositsCurrent,5394000.000,5355000.000,5560000.000,5343000.000,5162000.000,4963000.000,5181000.000,4930000.000,4936000.000
DebtInstrumentInterestRateStatedPercentage,,,,,0.056,0.056,0.056,0.056,0.056
GeneralPartnersContributedCapital,3745000.000,3745000.000,3745000.000,3745000.000,3745000.000,3745000.000,3745000.000,3745000.000,3745000.000
InterestPayableCurrent,4408000.000,520000.000,3445000.000,436000.000,2886000.000,272000.000,1800000.000,178000.000,1182000.000
Liabilities,275897000.000,213711000.000,216990000.000,179880000.000,182326000.000,113850000.000,115732000.000,,
LiabilitiesCurrent,101836000.000,105138000.000,108413000.000,108610000.000,111053000.000,113850000.000,115732000.000,76409000.000,77604000.000
LongTermDebt,,,,,174100000.000,108600000.000,108600000.000,71300000.000,71300000.000
LongTermDebtCurrent,,,,,102800000.000,,,,
LongTermDebtNoncurrent,,,,,71300000.000,,,,
LongTermTransitionBond,174061000.000,108573000.000,108577000.000,71270000.000,71273000.000,0.000,0.000,,
LongtermTransitionBondCurrent,91815000.000,99229000.000,99229000.000,102801000.000,102801000.000,108585000.000,108587000.000,71279000.000,71280000.000
MembersEquity,,,,,,3745000.000,3745000.000,3745000.000,3745000.000
OtherFiniteLivedIntangibleAssetsGross,204494000.000,175992000.000,154825000.000,134509000.000,106589000.000,74664000.000,51170000.000,29643000.000,2450000.000
RestrictedCashAndInvestmentsCurrent,9139000.000,9100000.000,9305000.000,9087000.000,8907000.000,8707000.000,8927000.000,8674000.000,8681000.000
RetainedEarningsAccumulatedDeficit,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
UnamortizedDebtIssuanceExpense,451000.000,365000.000,296000.000,228000.000,170000.000,115000.000,78000.000,44000.000,20000.000
