,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccruedLiabilitiesCurrent,11000.000,17000.000,15000.000,11000.000,11000.000,18000.000,25000.000,16000.000,9000.000,15000.000,10000.000,10000.000,15000.000
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,,,,,3176000.000,3196000.000,3217000.000,3238000.000,3259000.000,3301000.000,3322000.000,3343000.000,3400000.000
Assets,38927000.000,39744000.000,38931000.000,39738000.000,29198000.000,29813000.000,29212000.000,29811000.000,19467000.000,19473000.000,19874000.000,9739000.000,9947000.000
AssetsCurrent,10350000.000,11167000.000,10354000.000,11161000.000,10147000.000,10762000.000,10161000.000,10760000.000,9942000.000,9948000.000,10349000.000,9682000.000,9947000.000
CashAndCashEquivalentsAtCarryingValue,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockParOrStatedValuePerShare,,,,,1.000,1.000,1.000,1.000,1.000,1000.000,1.000,1.000,1.000
CommonStockSharesAuthorized,,,,,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesIssued,,,,,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesOutstanding,,,,,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockValueOutstanding,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
DebtInstrumentInterestRateEffectivePercentage,,,,,0.085,0.085,0.085,0.085,,0.085,,,
DebtInstrumentInterestRateStatedPercentage,,,,,0.085,0.085,0.085,0.085,,,,,
DeferredFinanceCostsNoncurrentGross,,,,,3400000.000,3400000.000,3400000.000,3400000.000,3400000.000,3400000.000,3400000.000,3400000.000,3400000.000
DeferredFinanceCostsNoncurrentNet,308000.000,287000.000,266000.000,245000.000,224000.000,204000.000,183000.000,162000.000,141000.000,99000.000,78000.000,57000.000,0.000
InterestPayableCurrent,812000.000,1623000.000,812000.000,1623000.000,609000.000,1217000.000,609000.000,1217000.000,406000.000,406000.000,812000.000,203000.000,406000.000
InterestReceivableCurrent,812000.000,1623000.000,812000.000,1623000.000,609000.000,1217000.000,609000.000,1217000.000,406000.000,406000.000,812000.000,203000.000,406000.000
Liabilities,38926000.000,39743000.000,38930000.000,39737000.000,29197000.000,29812000.000,29211000.000,29810000.000,19466000.000,19472000.000,19873000.000,9738000.000,9946000.000
LiabilitiesAndStockholdersEquity,38927000.000,39744000.000,38931000.000,39738000.000,29198000.000,29813000.000,29212000.000,29811000.000,19467000.000,19473000.000,19874000.000,9739000.000,9947000.000
LiabilitiesCurrent,10349000.000,11166000.000,10353000.000,11160000.000,10146000.000,10761000.000,10160000.000,10759000.000,9941000.000,9947000.000,10348000.000,9738000.000,9946000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,9526000.000,9526000.000,9526000.000,9526000.000,,9526000.000,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,9525000.000,9525000.000,9525000.000,9525000.000,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,9526000.000,9526000.000,9526000.000,9526000.000,9525000.000,9525000.000,9525000.000,,
LongTermDebtNoncurrent,,,,,,,,,9526000.000,,9526000.000,9525000.000,
LongTermNotesPayable,28577000.000,28577000.000,28577000.000,28577000.000,19051000.000,19051000.000,19051000.000,19051000.000,9525000.000,9525000.000,9525000.000,0.000,0.000
NotesAndLoansReceivableGrossCurrent,,,,,,,9526000.000,,,9526000.000,,,
NotesAndLoansReceivableGrossNoncurrent,,,,,,,18868000.000,,,9426000.000,,,
NotesAndLoansReceivableNetCurrent,,,,,9526000.000,9526000.000,,9526000.000,9526000.000,,9526000.000,9468000.000,9525000.000
NotesAndLoansReceivableNetNoncurrent,,,,,18827000.000,18847000.000,,18889000.000,9384000.000,,9447000.000,0.000,0.000
NotesPayable,,,,,28577000.000,28577000.000,28577000.000,28577000.000,19051000.000,19051000.000,19051000.000,9525000.000,
NotesPayableCurrent,9526000.000,9526000.000,9526000.000,9526000.000,9526000.000,9526000.000,9526000.000,9526000.000,9526000.000,9526000.000,9526000.000,9525000.000,9525000.000
OtherAssetsCurrent,11000.000,17000.000,15000.000,11000.000,11000.000,18000.000,25000.000,16000.000,9000.000,15000.000,10000.000,10000.000,15000.000
RetainedEarningsAccumulatedDeficit,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
