,2011-06-30,2011-09-30
EarningsPerShareBasicAndDiluted,-0.010,-0.020
GeneralAndAdministrativeExpense,585000.000,497000.000
InterestExpense,5000.000,155000.000
NetIncomeLoss,-539000.000,-758000.000
NonoperatingIncomeExpense,-12000.000,-155000.000
OperatingExpenses,535000.000,615000.000
OperatingIncomeLoss,-527000.000,-603000.000
OtherNonoperatingIncomeExpense,1000.000,
ResearchAndDevelopmentExpense,-103000.000,71000.000
Revenues,8000.000,12000.000
RoyaltyRevenue,8000.000,12000.000
SalesRevenueNet,8000.000,12000.000
SellingAndMarketingExpense,53000.000,47000.000
UnrealizedGainLossOnDerivatives,-8000.000,
