,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30
AllocatedShareBasedCompensationExpense,,,,,417000.000,395000.000,,,,,,,
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,259000.000,245000.000,180000.000,186000.000,154000.000,165000.000,201000.000,308000.000,310000.000
AmortizationOfIntangibleAssets,,,,,,,,,,,,,39000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,500000.000,700000.000,,900000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-17000.000,,,,-33000.000,,,,-24000.000,,,,121000.000
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,0.000
ComprehensiveIncomeNetOfTax,,,,,185000.000,1338000.000,2246000.000,8212000.000,591000.000,845000.000,6246000.000,-62000.000,3887000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,-1522000.000,,,,,,,,
CostOfGoodsSold,78938000.000,76787000.000,81470000.000,80258000.000,81601000.000,78036000.000,108528000.000,154038000.000,98542000.000,93938000.000,104561000.000,92525000.000,85490000.000
DeferredIncomeTaxExpenseBenefit,1358000.000,,,,965000.000,,,,209000.000,,,,645000.000
DepreciationDepletionAndAmortization,3512000.000,,,,3383000.000,,,,3291000.000,,,,2184000.000
DerivativeGainLossOnDerivativeNet,,,,,,,274000.000,,53000.000,,,,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,,,89000.000,,,,,,,
EarningsPerShareBasic,0.050,-0.030,-0.440,-0.360,0.140,0.100,0.170,-0.090,0.040,0.100,0.240,0.240,0.170
EarningsPerShareDiluted,0.050,-0.030,-0.440,-0.360,0.140,0.100,0.160,-0.080,0.040,0.100,0.240,0.220,0.160
EffectiveIncomeTaxRateContinuingOperations,,,,,0.385,0.270,0.400,,0.416,0.410,0.386,,0.379
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,,,,,,0.090,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,-158000.000,150000.000,110000.000,432000.000,95000.000,101000.000,125000.000,195000.000,194000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,152000.000,,,,143000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,152000.000,,,,143000.000
GainLossOnDispositionOfAssets,,,,,,,,,,,,,1000.000
GainLossOnDispositionOfProperty,3000.000,,,,12000.000,,,,,,,,
