,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2015-05-31,2015-08-31
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,0.000,0.000,,,,,,,,,,
CarryingCostsPropertyAndExplorationRights,0.000,0.000,,,,,,,,,,
CashPeriodIncreaseDecrease,-5571.000,,,,-13007.000,,,,-4752.000,,,
DebtConversionConvertedInstrumentAmount1,0.000,,,,,,,,,,,
Depletion,233.000,371.000,33.000,141.000,2.000,,,,,,,
Depreciation,357.000,,,,357.000,,,,43.000,43.000,,
DepreciationAndAmortization,357.000,371.000,371.000,371.000,357.000,371.000,90.000,44.000,43.000,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,-2188.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,-8.000,,
EarningsPerShareBasicAndDiluted,-0.020,,,,-0.000,-0.000,,,0.000,0.000,,-0.000
FeesAndCommissions,,,,,,,,,,,69955.000,57845.000
ForeignCurrencyTransactionGainLossUnrealized,,,,,1171.000,,,,1158.000,,,
GainsLossesOnExtinguishmentOfDebt,0.000,0.000,,,,,,,,,,
GeneralAndAdministrativeExpense,37231.000,22403.000,33776.000,14512.000,35522.000,18231.000,14997.000,20047.000,28424.000,132770.000,320044.000,180755.000
IncomeLossFromContinuingOperations,,,,,,,,,,-140494.000,-247515.000,-119502.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,-2196.000,,
IncomeTaxesPaid,0.000,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,12898.000,,,,3609.000,,,,-6668.000,,,
IncreaseDecreaseInAccountsReceivable,-3374.000,,,,3851.000,,,,192.000,,,
IncreaseDecreaseInAccruedLiabilities,10905.000,,,,12158.000,,,,19682.000,,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,-1554.000,,,,19454.000,,,,7970.000,,,
IncreaseDecreaseInPrepaidExpense,1834.000,,,,,,,,5576.000,,,
InterestExpense,,5680.000,,,6921.000,7222.000,7148.000,6321.000,7371.000,7681.000,7298.000,10514.000
InterestIncomeOperating,,,,,,,,,,,27372.000,31422.000
InterestIncomeOther,,,,,1849.000,1891.000,1908.000,,,,,
InterestPaid,0.000,,,,1236.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,11214.000,,,,-2436.000,,,,17000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,11214.000,,,,-2436.000,,,,17000.000,,,
NetCashProvidedByUsedInInvestingActivities,-517.000,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-517.000,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,-16268.000,,,,-10571.000,,,,-21752.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-16268.000,,,,-10571.000,,,,-21752.000,,,
NetIncomeLoss,-37567.000,-28421.000,-34313.000,-5637357.000,-41129.000,-23974.000,-20344.000,-108320.000,-35853.000,-142690.000,-247515.000,-119502.000
NonoperatingIncomeExpense,0.000,-5680.000,,,-5072.000,-5331.000,-5240.000,-88222.000,,-7681.000,,-10514.000
OilAndGasProductionExpense,191.000,168.000,198.000,1628.000,234.000,39.000,17.000,60.000,15.000,,,
OperatingExpenses,38012.000,23313.000,34378.000,21199.000,36115.000,18641.000,15104.000,20218.000,28482.000,132813.000,337544.000,198255.000
OperatingIncomeLoss,-37567.000,-22741.000,-34313.000,-20918.000,-36057.000,-18643.000,-15104.000,-20098.000,-28482.000,-132813.000,-240217.000,-108988.000
OtherOperatingIncomeExpenseNet,,,,,,,,,-7371.000,,,
PaymentsForLoans,,,,,38600.000,,,,,,,
PaymentsOfStockIssuanceCosts,0.000,,,,,,,,,,,
PaymentsToAcquireLoansReceivable,0.000,,,,,,,,,,,
PaymentsToAcquireOilAndGasPropertyAndEquipment,0.000,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,517.000,,,,,,,,,,,
ProceedsFromBankDebt,8214.000,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,3000.000,,,,,,,,,,,
ProceedsFromLoans,0.000,,,,80000.000,,,,40000.000,,,
ProceedsFromRelatedPartyDebt,0.000,,,,,,,,,,,
ProvisionForDoubtfulAccounts,,,,,,,,,,,17500.000,17500.000
RepaymentsOfRelatedPartyDebt,,,,,43836.000,,,,23000.000,,,
Revenues,445.000,572.000,65.000,281.000,58.000,-2.000,,,,,97327.000,89267.000
SalesRevenueNet,445.000,572.000,65.000,281.000,58.000,-2.000,,,,,97327.000,89267.000
ShareBasedCompensation,0.000,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,52656000.000,,52656000.000,52656000.000,52656000.000,-105312000.000,52656000.000,52656000.000,65711000.000,65800864.000
