,2011-07-02,2011-10-01,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28
AdditionsToNoncurrentAssets,,,878000.000,1132000.000,2458000.000,1506000.000,1037000.000,1300000.000,
AmortizationOfIntangibleAssets,,,184000.000,,200000.000,,185000.000,200000.000,100000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-11174000.000,,,,-14490000.000,,
ComprehensiveIncomeNetOfTax,3087000.000,1724000.000,1703000.000,3621000.000,2343000.000,347000.000,2324000.000,4686000.000,-7372000.000
CostOfGoodsSold,20382000.000,20338000.000,18376000.000,20993000.000,20249000.000,21580000.000,19476000.000,22242000.000,10156000.000
DefinedBenefitPlanAmortizationOfGainsLosses,,,-288000.000,-288000.000,-287000.000,-627000.000,-329000.000,-571000.000,-449000.000
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,,3000.000,3000.000,3000.000,51000.000,3000.000,3000.000,3000.000
DefinedBenefitPlanContributionsByEmployer,,,3000000.000,,,,100000.000,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,577000.000,577000.000,578000.000,1093000.000,612000.000,807000.000,709000.000
DefinedBenefitPlanInterestCost,,,560000.000,560000.000,561000.000,773000.000,566000.000,434000.000,500000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,,286000.000,287000.000,285000.000,576000.000,298000.000,306000.000,302000.000
DefinedBenefitPlanServiceCost,,,12000.000,13000.000,12000.000,218000.000,12000.000,105000.000,59000.000
Depreciation,,,1348000.000,,,,1309000.000,,
DepreciationDepletionAndAmortization,,,1532000.000,1493000.000,1342000.000,1350000.000,1494000.000,1459000.000,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,-185000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,6584000.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,,,-3295000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,12447000.000
EarningsPerShareBasic,0.260,0.160,0.130,0.300,0.160,0.150,0.130,0.250,-0.820
EarningsPerShareDiluted,0.240,0.150,0.120,0.280,0.150,0.150,0.130,0.240,-0.820
EffectOfExchangeRateOnCashAndCashEquivalents,,,339000.000,,,,-207000.000,,
EffectiveIncomeTaxRateContinuingOperations,,,0.318,,,,0.340,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,353000.000,,,,320000.000,,
FiniteLivedIntangibleAssetsAmortizationExpense,,,200000.000,200000.000,,,,,
ForeignCurrencyTransactionGainLossUnrealized,,,105000.000,,,,22000.000,,
FutureAmortizationExpenseYearFive,,,30000.000,,,,,,
FutureAmortizationExpenseYearFour,,,190000.000,,,,,,
FutureAmortizationExpenseYearOne,,,514000.000,,,,,,
FutureAmortizationExpenseYearThree,,,588000.000,,,,,,
FutureAmortizationExpenseYearTwo,,,643000.000,,,,,,
GrossProfit,27386000.000,23471000.000,23570000.000,27814000.000,23147000.000,24779000.000,24925000.000,31260000.000,14413000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,4679000.000,2347000.000,2255000.000,5298000.000,2499000.000,2707000.000,2486000.000,4634000.000,65000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,-175000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,-0.010
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,-10064000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,-0.810
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,-0.810
IncomeTaxExpenseBenefit,1527000.000,427000.000,717000.000,1637000.000,460000.000,797000.000,846000.000,1544000.000,240000.000
IncomeTaxesPaidNet,,,466000.000,,,,431000.000,,
IncreaseDecreaseInAccountsPayableTrade,,,466000.000,,,,-6667000.000,,
IncreaseDecreaseInAccountsReceivable,,,2972000.000,,,,1922000.000,,
IncreaseDecreaseInInventories,,,3814000.000,,,,4880000.000,,
IncreaseDecreaseInOtherAccruedLiabilities,,,-5303000.000,,,,-1511000.000,,
IncreaseDecreaseInOtherOperatingAssets,,,-965000.000,,,,886000.000,,
