,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,,,,,,,,,,246000.000
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,239000.000,220000.000,,142000.000,166000.000,168000.000,169000.000,246000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,2000.000,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-6045000.000,-3040000.000,,,,-1987000.000,,,,2021000.000,,,,4946000.000,,,,1645000.000,,,,-544000.000
ComprehensiveIncomeNetOfTax,10416000.000,-11310000.000,-30527000.000,12339000.000,-41331000.000,-27626000.000,-21160000.000,-2982000.000,-7781000.000,-1087000.000,-2910000.000,-4948000.000,-9911000.000,-971000.000,3586000.000,515000.000,-2165000.000,-697000.000,1684000.000,-2076000.000,-1994000.000,-2853000.000
DeferredIncomeTaxExpenseBenefit,9957000.000,-2991000.000,-13210000.000,9925000.000,-13871000.000,-10963000.000,-4411000.000,1000.000,0.000,,,,,,,,,,,,,
DepreciationAndAmortization,87000.000,126000.000,132000.000,132000.000,199000.000,275000.000,267000.000,250000.000,229000.000,217000.000,224000.000,219000.000,203000.000,191000.000,177000.000,163000.000,163000.000,153000.000,134000.000,144000.000,187000.000,
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,,,,,169000.000
EarningsPerShareBasic,0.150,,-0.420,0.160,,-0.340,-0.260,-0.040,-0.090,-0.010,-0.040,-0.060,-0.120,-0.010,0.040,0.010,-0.030,-0.010,0.020,-0.020,-0.030,-0.030
EarningsPerShareBasicAndDiluted,,-0.160,,,,,,,,,,,,,,,,,,,,
EarningsPerShareDiluted,0.150,,-0.420,0.160,,-0.340,-0.260,-0.040,-0.090,-0.010,-0.040,-0.060,-0.120,-0.010,0.040,0.010,-0.030,-0.010,0.020,-0.020,-0.030,-0.030
ExplorationExpenseMining,5803000.000,5707000.000,6758000.000,6294000.000,8777000.000,7130000.000,5877000.000,2213000.000,380000.000,1418000.000,1003000.000,755000.000,815000.000,975000.000,984000.000,1306000.000,1000000.000,987000.000,824000.000,1168000.000,1324000.000,1752000.000
FairValueInputsDiscountRate,,,,,,,,,,0.150,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,17000.000,-24000.000,-60000.000,183000.000,-275000.000,-421000.000,793000.000,-246000.000,,,,,,,,,,,,,,
GainLossOnSaleOfInvestments,,,,,,,,,,155000.000,,,,-348000.000,,,,,,,,
GainLossOnSaleOfOtherInvestments,,,,,,,,,,,,,,,,,,543000.000,3277000.000,,,
GainsLossesOnExtinguishmentOfDebt,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,
