,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,550953.000,-12317792.000,472428.000,435520.000,312624.000,339165.000
BusinessCombinationAcquisitionRelatedCosts,,,,,4369919.000,4369919.000
CashAndCashEquivalentsPeriodIncreaseDecrease,469449.000,619660.000,-147174.000,-112038.000,-365335.000,-358369.000
CostOfPropertyRepairsAndMaintenance,365888.000,260009.000,230869.000,197249.000,196065.000,
DebtInstrumentInterestRateEffectivePercentageRateRangeMaximum,,0.063,0.063,0.063,0.063,
DebtInstrumentInterestRateEffectivePercentageRateRangeMinimum,,0.062,0.062,0.062,0.062,
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,,0.110,,,,
DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,,0.080,,,,
DepreciationAmortizationAndAccretionNet,164789.000,76908.000,5459.000,0.000,,
DepreciationAndAmortization,1021336.000,85104.000,5459.000,0.000,,
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationsBeforeIncomeTax,1692974.000,14956482.000,0.000,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,15118355.000
GainLossOnSaleOfPropertyPlantEquipment,2548259.000,14845849.000,0.000,,,
GeneralAndAdministrativeExpense,443553.000,343823.000,373165.000,336228.000,,
ImpairedAssetsToBeDisposedOfByMethodOtherThanSaleAmountOfImpairmentLoss,1016000.000,1758541.000,0.000,0.000,,
ImpairmentLossesRelatedToRealEstatePartnerships,,1758541.000,,,,
ImpairmentOfIntangibleAssetsFinitelived,,1758541.000,0.000,,,
ImpairmentOfRealEstate,1016000.000,1758541.000,0.000,,,
IncomeLossFromContinuingOperations,-1930350.000,-2427688.000,-568406.000,,,-315220.000
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,-15183.000,-21712.000,-3478.000,,,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnit,-32.180,,,,,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-9.490,-8.240,,-5.300
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,-363846.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,1355243.000,175277.000,0.000,,,-3675.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnit,5.670,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitBasic,,,0.000,0.000,,-6.050
