,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,16952000.000,15778000.000,16365000.000,15825000.000,15809000.000,31885000.000,32537000.000,29249000.000,25811000.000,26497000.000,29777000.000,26057000.000,24979000.000,26530000.000,21371000.000,22253000.000,19270000.000,24199000.000,23660000.000,19418000.000,18836000.000,17107000.000,18700000.000,26073000.000
AccountsReceivableNetCurrent,53772000.000,48693000.000,55260000.000,56822000.000,58137000.000,82030000.000,89960000.000,93005000.000,87557000.000,84803000.000,82110000.000,79933000.000,76910000.000,79485000.000,82277000.000,81990000.000,83341000.000,88905000.000,99080000.000,90013000.000,93102000.000,84870000.000,86638000.000,114386000.000
AccruedLiabilitiesCurrent,18709000.000,17456000.000,16560000.000,17167000.000,19449000.000,35000000.000,32938000.000,27590000.000,24007000.000,25922000.000,26831000.000,25750000.000,23429000.000,23192000.000,36024000.000,37122000.000,35988000.000,39193000.000,42137000.000,36911000.000,37306000.000,38711000.000,37895000.000,44652000.000
AccruedProfessionalFeesCurrent,,,,,,,1834000.000,,,,1681000.000,,,,1027000.000,,,,520000.000,,,,1191000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,23075000.000,24204000.000,25951000.000,26492000.000,27476000.000,28355000.000,24717000.000,25124000.000,26398000.000,25920000.000,26704000.000,27152000.000,28233000.000,29207000.000,29528000.000,30547000.000,31231000.000,31478000.000,32019000.000,33514000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-12077000.000,-14748000.000,-16941000.000,-16530000.000,-18901000.000,-18754000.000,-18281000.000,-20612000.000,-21610000.000,-20963000.000,20253000.000,-23059000.000,-24223000.000,-30201000.000,-31471000.000,-36550000.000,-35281000.000,-35923000.000,-39849000.000,-39189000.000,-41274000.000,-40849000.000,-45020000.000,-41430000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1402000.000,956000.000,941000.000,1278000.000,1691000.000,1698000.000,2617000.000,3318000.000,3346000.000,3863000.000,2962000.000,3618000.000,3521000.000,3902000.000,4324000.000,4310000.000,4458000.000,4598000.000,4686000.000,4933000.000,4933000.000,4706000.000,4686000.000,5021000.000
Assets,333636000.000,331308000.000,314315000.000,315945000.000,348233000.000,389154000.000,391853000.000,407784000.000,404810000.000,415768000.000,426438000.000,429291000.000,419713000.000,414969000.000,434821000.000,443740000.000,453858000.000,469882000.000,479496000.000,472730000.000,486092000.000,510715000.000,649012000.000,688855000.000
AssetsCurrent,139580000.000,128226000.000,131233000.000,133788000.000,168366000.000,157119000.000,168871000.000,169858000.000,169979000.000,182607000.000,196761000.000,198250000.000,189860000.000,193331000.000,217805000.000,218239000.000,228361000.000,247523000.000,241356000.000,228349000.000,245931000.000,265965000.000,405799000.000,316471000.000
AssetsFairValueDisclosure,,,,,1148000.000,1148000.000,1148000.000,1148000.000,1148000.000,1149000.000,5600000.000,,,,,,,,,,,,,
AvailableForSaleSecurities,,,,,,,,,,,,,,,,,,,,,,25429000.000,34019000.000,9084000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,,,,,,1000.000,0.000,2000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,,,,,,,41000.000,79000.000,17000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,,,,,,,,,,,,,,,,,,25469000.000,34098000.000,9099000.000
AvailableForSaleSecuritiesCurrent,,,,,,,,,,,,,,,,,,,,,,,247570000.000,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,,,,,,,,,,,,,,,,,,,,12364000.000,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,,,,,,,,,,,,,,,,,,18087000.000,,3625000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,,,,,,,,,,,,,,,,,,7342000.000,21655000.000,5459000.000
AvailableForSaleSecuritiesDebtSecurities,,,,,,,,,,,,,,,,,,,,,,25429000.000,,9084000.000
BusinessAcquisitionContingentConsiderationPotentialCashPayment,2000000.000,800000.000,,,,,0.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,,57900000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,,,,,,57931000.000,,,,,,,,,,,,,,,,,,
