,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,127000.000,,,,,,,
CapitalLeaseObligationsIncurred,,262000.000,1646000.000,4099000.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,973000.000,-866000.000,-1311000.000,233000.000,54343000.000,-13341000.000,-15331000.000,-11728000.000
CashDivestedFromDeconsolidation,,,,,,,400000.000,,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,-1674000.000,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,22000.000,,1490000.000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-1342000.000,-64000.000,-31000.000,-30000.000,,,475000.000,,-18205000.000,
ComprehensiveIncomeNetOfTax,,,-5751000.000,-4275000.000,-9967000.000,-15905000.000,68714000.000,-18087000.000,-71826000.000,-10667000.000
CostOfServicesMaintenanceCosts,8994000.000,9656000.000,9671000.000,10205000.000,9562000.000,4763000.000,7479000.000,8710000.000,1898000.000,-10092000.000
CostsAndExpenses,209122000.000,206898000.000,211916000.000,215281000.000,214125000.000,99444000.000,176964000.000,180924000.000,47186000.000,-210577000.000
DeferredIncomeTaxExpenseBenefit,64000.000,168000.000,-25000.000,17000.000,24000.000,-6000.000,-222000.000,44000.000,,
DepreciationAndAmortization,4040000.000,3976000.000,4075000.000,4084000.000,4277000.000,2999000.000,3901000.000,3696000.000,769000.000,-5212000.000
DilutiveSecurities,,,,,0.000,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,87892000.000,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,84621000.000,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,1082000.000,,-24225000.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,680000.000,,-24405000.000,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,402000.000,,180000.000,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,,19019000.000,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,18689000.000,,101663000.000,
EarningsPerShareBasic,-0.140,-0.210,,-0.250,-0.620,,,,,
EarningsPerShareBasicAndDiluted,,,-0.360,-0.250,-0.620,-0.960,4.130,-1.030,-4.420,-0.090
EarningsPerShareDiluted,-0.140,-0.210,,-0.250,-0.620,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,-283000.000,1208000.000,-84000.000,65000.000,-201000.000,130000.000,600000.000,-889000.000,736000.000,-175000.000
FuelCosts,36074000.000,34509000.000,37235000.000,35732000.000,33474000.000,28924000.000,31575000.000,29868000.000,5372000.000,-44916000.000
GainLossOnDispositionOfAssets,,,,,,,,673000.000,78000.000,
GainLossOnDispositionOfProperty,67000.000,-4000.000,-76000.000,-126000.000,188000.000,,290000.000,,,
GainLossOnSaleOfPropertyPlantEquipment,67000.000,-4000.000,-76000.000,126000.000,188000.000,-3000.000,290000.000,673000.000,78000.000,-731000.000
IncomeLossFromContinuingOperations,-2297000.000,-3420000.000,,,,,-17629000.000,-16973000.000,1398000.000,30178000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,-3514000.000,-9258000.000,,-17775000.000,-16839000.000,1532000.000,28423000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1552000.000,-2433000.000,-5479000.000,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,-1.070,-1.030,0.090,1.830
IncomeLossFromContinuingOperationsPerBasicShare,-0.140,-0.210,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,-0.140,-0.210,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,85301000.000,,-74092000.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,5.200,,-4.510,
IncomeTaxExpenseBenefit,745000.000,987000.000,337000.000,649000.000,842000.000,-2471000.000,-146000.000,134000.000,134000.000,-1755000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,4877000.000,-4354000.000,5810000.000,969000.000,1645000.000,-7058000.000,4320000.000,-1224000.000,-1140000.000,-3284000.000
IncreaseDecreaseInAccountsReceivable,5057000.000,-4348000.000,7879000.000,-649000.000,-802000.000,-14576000.000,10510000.000,-2508000.000,-728000.000,-7376000.000
IncreaseDecreaseInAccruedTaxesPayable,659000.000,272000.000,-1097000.000,493000.000,104000.000,105000.000,-997000.000,4000.000,58000.000,-1383000.000
IncreaseDecreaseInOperatingCapital,-2270000.000,580000.000,4614000.000,-3817000.000,-2445000.000,-9139000.000,7019000.000,-2280000.000,146000.000,-3048000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-1791000.000,846000.000,1448000.000,-1706000.000,106000.000,-1516000.000,-168000.000,-992000.000,-208000.000,-339000.000
