,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableCurrent,88239.000,95055.000,104137.000,95035.000,5682.000,2919.000,4788.000,3070.000,17156.000,2857.000,2639.000
AccountsReceivableNetCurrent,45781.000,53381.000,57318.000,23735.000,45120.000,9817.000,39042.000,36206.000,14647.000,29396.000,33397.000
AccruedEnvironmentalLossContingenciesCurrent,,,,,,,,,0.000,,
AssetRetirementObligation,,,,,,,236768.000,240850.000,204528.000,208142.000,211823.000
AssetRetirementObligationsNoncurrent,158863.000,161228.000,221153.000,224952.000,228820.000,232758.000,236768.000,200981.000,204528.000,208142.000,211823.000
Assets,2960499.000,2945160.000,2538724.000,2452887.000,2359243.000,2256483.000,2182376.000,2151117.000,2302114.000,2114172.000,842462.000
AssetsCurrent,293283.000,328037.000,265997.000,246074.000,245968.000,208193.000,226384.000,238963.000,482480.000,332525.000,328727.000
AssetsHeldForSalePropertyPlantAndEquipment,,,,,,,,64785.000,,,
AssetsNoncurrent,2667216.000,2617123.000,2272727.000,2206813.000,,,,,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,,5062654.000,,,,927754.000
CapitalizedCostsOilAndGasProducingActivitiesGross,,,,,,,6969870.000,,,,1387267.000
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,,,1907216.000,,,,459513.000
CashAndCashEquivalentsAtCarryingValue,117296.000,117340.000,7363.000,7331.000,7298.000,7266.000,7234.000,87202.000,458434.000,276912.000,277052.000
DerivativeAssetsCurrent,115515.000,141748.000,181946.000,207208.000,181123.000,159896.000,165345.000,103578.000,0.000,0.000,0.000
DerivativeAssetsLiabilitiesAtFairValueNet,,,,,,,,,,0.000,
DerivativeAssetsNoncurrent,138513.000,134102.000,144180.000,123029.000,77854.000,34833.000,0.000,,,,
DerivativeInstrumentsInHedgesAtFairValueNet,,,,,0.000,0.000,,0.000,,,
DerivativeLiabilitiesCurrent,99073.000,82780.000,79281.000,76959.000,77648.000,75989.000,75194.000,55594.000,0.000,0.000,0.000
DerivativeLiabilitiesNoncurrent,99542.000,87889.000,71474.000,53383.000,36110.000,18118.000,0.000,,,,
DueFromAffiliateCurrent,,,,,,15574.000,,,,,
DueToAffiliateCurrent,208799.000,264845.000,90506.000,35753.000,2126.000,0.000,26146.000,100176.000,85486.000,131108.000,165190.000
GeneralPartnersCapitalAccount,463724.000,453860.000,398287.000,397928.000,407094.000,391639.000,377332.000,364415.000,414397.000,369831.000,107981.000
InventoryNet,14691.000,15568.000,19370.000,7800.000,12427.000,15640.000,14763.000,11977.000,9399.000,26217.000,18278.000
Liabilities,654516.000,691797.000,566551.000,486082.000,350386.000,329784.000,342896.000,399690.000,307170.000,342107.000,379652.000
LiabilitiesAndStockholdersEquity,2960499.000,2945160.000,2538724.000,2452887.000,2359243.000,2256483.000,2182376.000,2151117.000,2302114.000,2114172.000,842462.000
LiabilitiesCurrent,396111.000,442680.000,273924.000,207747.000,85456.000,78908.000,106128.000,158840.000,102642.000,133965.000,167829.000
LiabilitiesOfAssetsHeldForSale,,,,,,,,39869.000,,,
LimitedPartnersCapitalAccount,1842259.000,1799503.000,1573886.000,1568877.000,1601763.000,1535060.000,1462148.000,1387012.000,1580547.000,1402234.000,354829.000
LimitedPartnersCapitalAccountUnitsIssued,471.910,471.910,471.910,471.910,471.910,471.910,471.910,471.910,471.910,471.910,471.910
LimitedPartnersCapitalAccountUnitsOutstanding,471.910,471.910,471.910,471.910,471.910,471.910,471.910,471.910,471.910,471.910,471.910
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAndAmortization,5496146.000,5560916.000,4882949.000,4929386.000,4979958.000,5003575.000,5062654.000,4958454.000,4990136.000,5029452.000,927754.000
OilAndGasPropertySuccessfulEffortMethodGross,7986248.000,8003515.000,6969336.000,6969399.000,6969870.000,6969870.000,6969870.000,6755502.000,6758048.000,6758048.000,1387267.000
OilAndGasPropertySuccessfulEffortMethodNet,2490102.000,2442599.000,2086387.000,2040013.000,1989912.000,1966295.000,1907216.000,1797048.000,1767912.000,1728596.000,459513.000
OtherAssetsNoncurrent,38601.000,40422.000,42160.000,43771.000,45509.000,47162.000,48776.000,50321.000,51722.000,53051.000,54222.000
PartnersCapital,2305983.000,2253363.000,1972173.000,1966805.000,2008857.000,1926699.000,1839480.000,1751427.000,1994944.000,1772065.000,462810.000
RelatedPartyTransactionDueFromToRelatedParty,,,,,-2126.000,15574.000,-26146.000,-100176.000,-85486.000,-131108.000,-165190.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2305983.000,2253363.000,1972173.000,1966805.000,2008857.000,1926699.000,1839480.000,1751427.000,1994944.000,1772065.000,462810.000
