,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForRevisionInEstimates,,,,,,,-82000000.000,,,,,,,,,,,,,,,,
AdditionsToNoncurrentAssets,,527000000.000,717000000.000,,707000000.000,840000000.000,971000000.000,976000000.000,805000000.000,,,,,,,,,,,,,,
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,,,,,,,,,,,-2000000.000,,,,-3000000.000,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-11000000.000,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,45000000.000,,,,32000000.000,,,,41000000.000,,,,26000000.000,,35000000.000,,,,23000000.000,,,,31000000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,6000000.000,,,,3000000.000,,,,1000000.000,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2000000.000,,3000000.000,,3000000.000,,,,,,,,2000000.000,5000000.000,3000000.000,4000000.000,7000000.000,-5000000.000,10000000.000,12000000.000,6000000.000,-16000000.000,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,0.650,0.790,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,,,,0.650,0.790,,,,,,,,,,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,,,,818000000.000,1048000000.000,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,681000000.000,821000000.000,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,5330000000.000,6165000000.000,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,506000000.000,519000000.000,,,,,,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,,,,,,,,,128000000.000,0.000,,,0.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,352000000.000,,,,-326000000.000,,,,5890000000.000,,,,-643000000.000,,85000000.000,,,,107000000.000,,,,-252000000.000
CashDividendsPaidToParentCompany,,,,,,,,,,,,,0.000,,,,,,,,,,
CommonStockDividendsPerShareCashPaid,,0.500,,,,,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,0.250,0.750,0.250,0.250,0.312,0.312,0.312,0.314,0.312,1.312,0.312,0.314,0.312,0.312,0.050,0.161,0.050,0.000,0.000,0.000,0.000,0.000,
ComprehensiveIncomeNetOfTax,1504000000.000,1400000000.000,1100000000.000,,776000000.000,715000000.000,833000000.000,676000000.000,654000000.000,487000000.000,832000000.000,786000000.000,513000000.000,559000000.000,-2462000000.000,-1842000000.000,-3816000000.000,-4075000000.000,-4184000000.000,-464000000.000,229000000.000,220000000.000,239000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,237000000.000,185000000.000,315000000.000,201000000.000,176000000.000,128000000.000,226000000.000,250000000.000,106000000.000,142000000.000,58000000.000,42000000.000,30000000.000,-24000000.000,71000000.000,59000000.000,59000000.000,103000000.000,78000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1866000000.000,,,,1013000000.000,900000000.000,1148000000.000,877000000.000,830000000.000,615000000.000,1058000000.000,1036000000.000,629000000.000,711000000.000,-2394000000.000,-1790000000.000,-3775000000.000,-4089000000.000,-4102000000.000,-395000000.000,298000000.000,131000000.000,317000000.000
CostOfGoodsSold,2609000000.000,2824000000.000,2827000000.000,2660000000.000,2695000000.000,2913000000.000,2890000000.000,3063000000.000,3048000000.000,3383000000.000,4251000000.000,3955000000.000,3703000000.000,4405000000.000,6955000000.000,6424000000.000,7433000000.000,7712000000.000,7234000000.000,3879000000.000,3411000000.000,,
CostOfGoodsSoldDepreciationDepletionAndAmortization,232000000.000,267000000.000,257000000.000,266000000.000,267000000.000,291000000.000,298000000.000,323000000.000,329000000.000,530000000.000,919000000.000,1019000000.000,966000000.000,945000000.000,939000000.000,890000000.000,888000000.000,780000000.000,722000000.000,632000000.000,643000000.000,533000000.000,389000000.000
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,2589000000.000
CostsAndExpenses,2773000000.000,3057000000.000,3045000000.000,2865000000.000,2871000000.000,3164000000.000,3006000000.000,3155000000.000,3228000000.000,3649000000.000,4458000000.000,4235000000.000,3874000000.000,4564000000.000,7116000000.000,6622000000.000,7626000000.000,7895000000.000,7403000000.000,3316000000.000,3518000000.000,3385000000.000,2761000000.000
DeferredIncomeTaxExpenseBenefit,127000000.000,,,,168000000.000,,,,136000000.000,,,,90000000.000,,-709000000.000,,,,152000000.000,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,,,,,,,,,,,,,,,,,,,20000000.000
DefinedBenefitPlanActuarialNetGainsLosses,6000000.000,6000000.000,6000000.000,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,24000000.000,24000000.000,24000000.000,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanInterestCost,27000000.000,27000000.000,27000000.000,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanNetPeriodicBenefitCost,19000000.000,19000000.000,18000000.000,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanServiceCost,10000000.000,10000000.000,9000000.000,,,,,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,,,,,,389000000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,,,,,,,,,,32000000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,,,,,,,,,,,,,,,,,,-0.150,-0.020,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,,,,,,,,,,,23000000.000
DividendsCommonStockCash,-237000000.000,,,,297000000.000,,,,297000000.000,,,,326000000.000,,52000000.000,,,,1000000.000,,,,-1000000.000
DividendsPreferredStock,,0.000,0.000,,,,,,,,,,,,,,,,,,,,
EarlyRepaymentOfSeniorDebt,,,,,,,,,,,,,,,,,,,,568000000.000,,,
EarningsPerShareBasic,1.580,1.440,1.110,0.680,0.810,0.750,0.870,0.770,0.680,0.490,0.790,0.690,0.490,0.530,-2.380,-1.780,-3.580,-3.570,,,,,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,,,,,,,-3.350,,,,0.160
EarningsPerShareDiluted,1.570,1.430,1.100,0.680,0.800,0.740,0.860,0.790,0.680,0.490,0.790,0.680,0.490,0.530,-2.380,-1.780,-3.580,-3.570,,-0.380,0.160,,
EffectiveIncomeTaxRateContinuingOperations,0.350,,,,0.330,,,,0.340,,,,0.360,,0.220,,,,-0.020,,,,0.400
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,,0.350,0.350,,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,,,,,,0.030,0.030,,,,,,,,,,,,
EnvironmentalRemediationExpense,,,,,,,,,,,,,,,,,,,,,,,27000000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,21000000.000,,,,7000000.000,,,,1000000.000,,,,,,,,,,,,,,
ExplorationExpenseMining,,,,,,,,,,,,,,,,,,,,,,,15000000.000
ExtinguishmentOfDebtAmount,,,,,,,,,,,,,,,,,,,,266000000.000,,,
FairValueInputsDiscountRate,,,,,,,,,,,,,,,0.100,,,,0.100,,,,
FederalIncomeTaxExpenseBenefitContinuingOperations,138000000.000,120000000.000,163000000.000,,83000000.000,110000000.000,98000000.000,,71000000.000,-94000000.000,99000000.000,,136000000.000,38000000.000,-835000000.000,-829000000.000,-309000000.000,,-11000000.000,49000000.000,-331000000.000,,7000000.000
FeesAndCommissions,,,,,,,,,,,,,,,,,,,,,4000000.000,,
ForeignIncomeTaxExpenseBenefitContinuingOperations,846000000.000,786000000.000,645000000.000,,408000000.000,312000000.000,117000000.000,,357000000.000,134000000.000,400000000.000,,221000000.000,311000000.000,140000000.000,142000000.000,-51000000.000,,81000000.000,67000000.000,217000000.000,,167000000.000
GainLossOnDerivativeInstrumentsNetPretax,,,,,,,,,,,,,-50000000.000,,52000000.000,,,,0.000,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,46000000.000,39000000.000,0.000,0.000,0.000,0.000,749000000.000,13000000.000,-113000000.000,23000000.000
GainLossOnSaleOfOilAndGasProperty,,,,,,,,,,,,,77000000.000,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,-7000000.000,-61000000.000,0.000,0.000,-168000000.000,0.000,0.000,0.000,-45000000.000,0.000,0.000,10000000.000,0.000,58000000.000,,0.000,0.000,,,39000000.000,15000000.000,,
ImpairmentOfOilAndGasProperties,,,,,,,,,,,,,,308000000.000,3104000000.000,2686000000.000,3652000000.000,3702000000.000,3787000000.000,291000000.000,239000000.000,,0.000
IncomeLossFromContinuingOperations,,,,,,,,,,,,,,,,,,,,-289000000.000,242000000.000,,190000000.000
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,,,,,,,,,,,,,,,,,,,,47000000.000,37000000.000,,75000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2841000000.000,2624000000.000,2100000000.000,1253000000.000,1490000000.000,1319000000.000,1354000000.000,1324000000.000,1250000000.000,648000000.000,1548000000.000,1467000000.000,983000000.000,1055000000.000,-3102000000.000,-2486000000.000,-4148000000.000,-4285000000.000,-4038000000.000,-114000000.000,177000000.000,503000000.000,438000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,-229000000.000,292000000.000,,268000000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,,,,,,,,,,,,,,,0.130
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,,,,,,,,,,,-0.230,0.180,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,,,,,,,,,,-181000000.000,-6000000.000,,38000000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,12000000.000,22000000.000,,3000000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,,,,,,,,,,,,-193000000.000,-28000000.000,,35000000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,,,,,,,,,,,,,,0.030
IncomeLossFromEquityMethodInvestments,4000000.000,8000000.000,2000000.000,2000000.000,2000000.000,-3000000.000,1000000.000,3000000.000,2000000.000,2000000.000,-1000000.000,0.000,0.000,-2000000.000,1000000.000,0.000,-2000000.000,-2000000.000,7000000.000,1000000.000,1000000.000,2000000.000,4000000.000
IncomeTaxExpenseBenefit,984000000.000,906000000.000,808000000.000,389000000.000,491000000.000,422000000.000,215000000.000,382000000.000,428000000.000,40000000.000,499000000.000,508000000.000,357000000.000,349000000.000,-695000000.000,-687000000.000,-360000000.000,-193000000.000,70000000.000,116000000.000,-114000000.000,299000000.000,174000000.000
IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,,,,,,,,,,,,,,54000000.000,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-264000000.000,,,,-64000000.000,,,,-201000000.000,,,,-362000000.000,,-402000000.000,,,,9000000.000,,,,-433000000.000
IncreaseDecreaseInAccountsReceivable,511000000.000,,,,482000000.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,138000000.000,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccruedTaxesPayable,,,,,34000000.000,,,,-1000000.000,,,,-16000000.000,,-123000000.000,,,,40000000.000,,,,136000000.000
IncreaseDecreaseInInventories,-253000000.000,,,,248000000.000,,,,67000000.000,,,,180000000.000,,-165000000.000,,,,-114000000.000,,,,135000000.000
IncreaseDecreaseInOperatingCapital,,,,,,,,,,,,,-413000000.000,,-86000000.000,,,,188000000.000,,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,,48000000.000,,,,34000000.000,,42000000.000,,,,68000000.000,,,,13000000.000
IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,,,,,,,,,-36000000.000,,,,52000000.000,,-37000000.000,,,,-43000000.000,,,,
IncreaseDecreaseInOtherOperatingAssets,-18000000.000,,,,-40000000.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,,,,,,,,,,,28000000.000,,781000000.000,,,,-151000000.000,,,,
IncreaseDecreaseInReceivables,,,,,,,,,113000000.000,,,,-179000000.000,,-316000000.000,,,,-93000000.000,,,,-623000000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,8000000.000,8000000.000,6000000.000,-15000000.000,5000000.000,3000000.000,,,3000000.000,4000000.000,5000000.000,-8000000.000,6000000.000,7000000.000,0.000,0.000,0.000,0.000,0.000,0.000,5000000.000,,8000000.000
InsuranceRecoveries,,,,,,,,,,,,,,,,92000000.000,0.000,,,,,,
InterestCostsCapitalized,25000000.000,23000000.000,27000000.000,34000000.000,36000000.000,12000000.000,14000000.000,19000000.000,18000000.000,35000000.000,61000000.000,,63000000.000,,,,,,,,,,
InterestCostsIncurred,123000000.000,97000000.000,105000000.000,,99000000.000,55000000.000,56000000.000,,75000000.000,167000000.000,223000000.000,,224000000.000,212000000.000,210000000.000,215000000.000,217000000.000,,228000000.000,218000000.000,211000000.000,,195000000.000
InterestExpense,,74000000.000,78000000.000,,63000000.000,,,,,,,,,,,,,,,,,,
InterestIncomeExpenseNet,,,,,,,,,,,,,,,,,,,,,,,-167000000.000
InventoryWriteDown,,,,,,,,,,,,,,,,59000000.000,91000000.000,,35000000.000,2000000.000,20000000.000,-21000000.000,
LegalFees,,,,,,,,,,,,,,,,33000000.000,,,,,,,
LiabilitiesFairValueAdjustment,,,,,,,,,,708000000.000,683000000.000,,,,233000000.000,,,,203000000.000,,,,171000000.000
MineralExtractionProcessingAndMarketingCosts,,,,,,,,,,,,,,,,,,,,,,,2200000000.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,-133000000.000,,,,1000000.000,,,,35000000.000,,,,70000000.000,,15000000.000,,,,10000000.000,,,,15000000.000
MinorityInterestPeriodIncreaseDecrease,,,,,0.000,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-1502000000.000,,,,-413000000.000,,,,6171000000.000,,,,-239000000.000,,1108000000.000,,,,347000000.000,,,,-679000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-1502000000.000,,,,-413000000.000,,,,6171000000.000,,,,-239000000.000,,1108000000.000,,,,347000000.000,,,,-679000000.000
NetCashProvidedByUsedInInvestingActivities,-505000000.000,,,,-714000000.000,,,,-1112000000.000,,,,-1605000000.000,,-1740000000.000,,,,-980000000.000,,,,-365000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-505000000.000,,,,-714000000.000,,,,-1112000000.000,,,,-1605000000.000,,-1740000000.000,,,,-980000000.000,,,,-365000000.000
