,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalReallocationOfMinorityInterest,,,,,,,,,114000000.000,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpenseNetOfTax,,17000000.000,17000000.000,,39000000.000,,,,,,,,,,,,,,,,,,,,
AmortizationOfRegulatoryAsset,,,,,,,,,,,8000000.000,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,1100000.000,,,,,,,,,,,,,,,,,,,,
AssetImpairmentCharges,31000000.000,,,,0.000,,,,,,,,,,,,,,,,,802000000.000,1000000.000,,
AssetRetirementObligationAccretionExpense,,,,,,,,,,,,,,,,,6000000.000,9000000.000,6000000.000,39000000.000,,,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentIntangibles,,,,,,,,,,,,,,,,,-168000000.000,,,,,,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,150000000.000,,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,,,,,,,,,,,,,,2522000000.000,,,,0.000,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,94000000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,128000000.000,,,,211000000.000,,,,-137000000.000,,,,383000000.000,,,,101000000.000,,,,64000000.000,,,,469000000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,99000000.000,,,,-8000000.000,,,,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,0.125,0.200,0.200,0.250,0.259,0.300,0.312,0.325,0.339,0.352,0.366,0.381,0.403,0.425,0.560,0.570,0.580,0.590,0.640,0.640,0.640,0.640,0.200,0.200,0.300
ComprehensiveIncomeNetOfTax,,,,,445000000.000,142000000.000,182000000.000,117000000.000,149000000.000,122000000.000,197000000.000,160000000.000,101000000.000,132000000.000,1650000000.000,74000000.000,16000000.000,125000000.000,-81000000.000,-732000000.000,-1000000.000,-396000000.000,99000000.000,-23000000.000,378000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,70000000.000,47000000.000,40000000.000,49000000.000,69000000.000,50000000.000,56000000.000,63000000.000,56000000.000,37000000.000,12000000.000,101000000.000,-92000000.000,74000000.000,-157000000.000,-638000000.000,81000000.000,-98000000.000,108000000.000,52000000.000,197000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,350000000.000,318000000.000,363000000.000,-458000000.000,515000000.000,189000000.000,222000000.000,166000000.000,218000000.000,172000000.000,253000000.000,223000000.000,157000000.000,169000000.000,1662000000.000,175000000.000,-76000000.000,199000000.000,-238000000.000,-1370000000.000,80000000.000,-494000000.000,207000000.000,29000000.000,575000000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesNet,,,0.000,,-185000000.000,,,,-68000000.000,,,,43000000.000,,,,97000000.000,,,,-3000000.000,,,,-901000000.000
CostOfGoodsSold,,,,,,,,,790000000.000,801000000.000,710000000.000,,,,,,,,,,,,,,
CostOfPurchasedOilAndGas,,,,,,,,,,,,,769000000.000,724000000.000,807000000.000,716000000.000,462000000.000,494000000.000,426000000.000,397000000.000,318000000.000,401000000.000,461000000.000,545000000.000,579000000.000
CostsAndExpenses,,,,,,1464000000.000,1336000000.000,,1384000000.000,1417000000.000,1287000000.000,1397000000.000,1329000000.000,1367000000.000,1762000000.000,1610000000.000,1489000000.000,1447000000.000,1443000000.000,2755000000.000,1398000000.000,2224000000.000,1560000000.000,1617000000.000,1555000000.000
CurrentFederalTaxExpenseBenefit,17000000.000,30000000.000,48000000.000,86000000.000,21000000.000,33000000.000,58000000.000,-21000000.000,-11000000.000,-61000000.000,25000000.000,30000000.000,137000000.000,-24000000.000,-15000000.000,-107000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3000000.000
CurrentForeignTaxExpenseBenefit,-18000000.000,16000000.000,13000000.000,-17000000.000,21000000.000,3000000.000,6000000.000,10000000.000,2000000.000,-1000000.000,2000000.000,-16000000.000,2000000.000,3000000.000,2000000.000,3000000.000,2000000.000,2000000.000,2000000.000,-61000000.000,0.000,-1000000.000,0.000,0.000,
CurrentIncomeTaxExpenseBenefit,0.000,48000000.000,64000000.000,76000000.000,46000000.000,40000000.000,74000000.000,-12000000.000,-7000000.000,-61000000.000,27000000.000,18000000.000,144000000.000,-22000000.000,-15000000.000,-104000000.000,2000000.000,3000000.000,2000000.000,-69000000.000,0.000,-1000000.000,1000000.000,1000000.000,9000000.000
CurrentStateAndLocalTaxExpenseBenefit,1000000.000,2000000.000,3000000.000,7000000.000,4000000.000,4000000.000,10000000.000,-1000000.000,2000000.000,1000000.000,0.000,4000000.000,5000000.000,-1000000.000,-2000000.000,0.000,0.000,1000000.000,0.000,-8000000.000,0.000,0.000,1000000.000,1000000.000,6000000.000
DeferredFederalIncomeTaxExpenseBenefit,-8000000.000,86000000.000,-17000000.000,-122000000.000,87000000.000,30000000.000,6000000.000,97000000.000,82000000.000,130000000.000,21000000.000,115000000.000,-96000000.000,95000000.000,911000000.000,198000000.000,25000000.000,73000000.000,-60000000.000,-355000000.000,-5000000.000,-52000000.000,8000000.000,43000000.000,15000000.000
