,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccountsPayable,41000.000,115000.000,110000.000,57000.000,79000.000,97000.000,64000.000,,
AccountsPayableCurrentAndNoncurrent,,,,,,,,50000.000,
AccountsReceivableNet,193000.000,208000.000,188000.000,176000.000,183000.000,187000.000,214000.000,185000.000,
AccountsReceivableNetCurrent,,,,,,,,,8000.000
AccumulatedAmortizationDeferredFinanceCosts,,,,,,124000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,14864000.000,,,
Assets,6351000.000,6249000.000,6196000.000,5928000.000,5997000.000,5837000.000,5582000.000,5562000.000,
AssetsCurrent,,,,,,,,,328000.000
AssetsNet,,,,,,,,,224000.000
BuildingsAndImprovementsGross,17666000.000,17847000.000,17982000.000,17752000.000,17895000.000,18025000.000,18104000.000,17792000.000,
Cash,,,,,,,,,320000.000
CashEquivalentsAtCarryingValue,70000.000,37000.000,127000.000,62000.000,268000.000,205000.000,67000.000,232000.000,
DeferredFinanceCostsGross,,,,,,203000.000,,,
DividendsPayableAmount,0.000,0.000,,,,,,,
DueToAffiliate,,106000.000,171000.000,144000.000,146000.000,148000.000,150000.000,,
DueToAffiliateCurrentAndNoncurrent,,,,,,,,152000.000,
GeneralPartnersCapitalAccount,-1368000.000,-1379000.000,-1384000.000,-1391000.000,-1398000.000,-1408000.000,-1412000.000,-1414000.000,
Land,2116000.000,2116000.000,2116000.000,2116000.000,2116000.000,2116000.000,2116000.000,2116000.000,
Liabilities,19518000.000,19505000.000,19490000.000,19281000.000,19412000.000,19341000.000,19118000.000,19119000.000,
LiabilitiesAndPartnersCapital,6351000.000,6249000.000,6196000.000,5928000.000,5997000.000,5837000.000,5582000.000,,
LiabilitiesAndStockholdersEquity,,,,,,,,5562000.000,
LiabilitiesCurrent,,,,,,,,,104000.000
LimitedPartnersCapitalAccount,-11799000.000,-11877000.000,-11910000.000,-11962000.000,-12017000.000,-12096000.000,-12124000.000,-12143000.000,
LongTermDebt,,,,,,18548000.000,,18380000.000,
LongTermDebtComponentsMortgageLoans,18942000.000,18864000.000,18786000.000,18709000.000,18631000.000,18548000.000,18462000.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,338000.000,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,,17471000.000,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,380000.000,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,359000.000,,,
MortgageLoansOnRealEstate,,,,,,18548000.000,,,
OtherAssets,168000.000,169000.000,183000.000,171000.000,145000.000,168000.000,184000.000,176000.000,
OtherLiabilities,283000.000,213000.000,177000.000,174000.000,323000.000,341000.000,180000.000,313000.000,
OtherLiabilitiesCurrent,,,,,,,,,71000.000
PartnersCapital,-13167000.000,-13256000.000,-13294000.000,-13353000.000,-13415000.000,-13504000.000,-13536000.000,-13557000.000,
PropertyPlantAndEquipmentGross,,,,,,20141000.000,,,
RealEstateAccumulatedDepreciation,-13862000.000,-14128000.000,-14400000.000,-14349000.000,-14610000.000,-14864000.000,15103000.000,14939000.000,
RealEstateAndAccumulatedDepreciationAccumulatedDepreciation,,,,,,14864000.000,,,
RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,,,,,,18548000.000,,,
RealEstateAndAccumulatedDepreciationCarryingAmountOfBuildingsAndImprovements,,,,,,18025000.000,,,
RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,,,,,,2116000.000,,,
RealEstateAndAccumulatedDepreciationCarryingAmountOfLandAndBuildingsAndImprovements,,,,,,20141000.000,,,
RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionImprovements,,,,,,4571000.000,,,
RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,,,,,,13440000.000,,,
RealEstateAndAccumulatedDepreciationInitialCostOfLand,,,,,,2130000.000,,,
RealEstateInvestmentPropertyAtCost,19782000.000,19963000.000,20098000.000,19868000.000,20011000.000,20141000.000,20220000.000,19908000.000,
RealEstateInvestmentPropertyNet,5920000.000,5835000.000,5698000.000,5519000.000,5401000.000,5277000.000,5117000.000,4969000.000,
SecurityDepositLiability,128000.000,121000.000,121000.000,118000.000,115000.000,115000.000,118000.000,119000.000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,-13557000.000,
TaxesPayable,124000.000,86000.000,125000.000,79000.000,118000.000,92000.000,144000.000,,
TaxesPayableCurrent,,,,,,,,105000.000,
