,2011-06-30,2011-09-30,2012-03-31
CommonStockDividendsPerShareDeclared,,0.080,0.100
ComprehensiveIncomeNetOfTax,,,-3921000.000
CostsAndExpenses,56666000.000,59026000.000,64952000.000
DepreciationDepletionAndAmortization,16357000.000,15810000.000,15946000.000
EarningsPerShareBasic,0.100,,
EarningsPerShareBasicAndDiluted,,0.050,-0.280
EarningsPerShareDiluted,0.090,,
GeneralAndAdministrativeExpense,7392000.000,6879000.000,11120000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1804000.000,932000.000,-4536000.000
IncomeTaxExpenseBenefit,484000.000,289000.000,-622000.000
InterestExpense,2599000.000,2497000.000,2213000.000
InvestmentIncomeInterestAndDividend,17000.000,4000.000,25000.000
NetCashProvidedByUsedInContinuingOperations,,,1238000.000
NetCashProvidedByUsedInFinancingActivities,,,1692000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,1692000.000
NetCashProvidedByUsedInInvestingActivities,,,-15944000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-15944000.000
NetCashProvidedByUsedInOperatingActivities,,,15490000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,15490000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,643000.000,-3914000.000
NonoperatingIncomeExpense,-2492000.000,-3039000.000,-2342000.000
OperatingIncomeLoss,4296000.000,3971000.000,-2194000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-7000.000
OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,,,-22000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,-29000.000
OtherNonoperatingIncomeExpense,90000.000,-546000.000,-154000.000
PaymentsOfDividendsCommonStock,,,1433000.000
PaymentsToAcquireProductiveAssets,,,16100000.000
ProceedsFromIssuanceOfLongTermDebt,,,5000000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,156000.000
ProfitLoss,1320000.000,,
RepaymentsOfLongTermDebt,,,1875000.000
Revenues,60962000.000,62997000.000,62758000.000
SalesRevenueNet,60962000.000,62997000.000,62758000.000
WeightedAverageNumberOfDilutedSharesOutstanding,14019000.000,14023000.000,14036000.000
WeightedAverageNumberOfSharesOutstandingBasic,13849000.000,13918000.000,14036000.000
