,2011-06-30,2011-09-30,2013-03-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,-6000000.000
AmortizationOfFinancingCosts,,,,-6000000.000,,,,-6000000.000,,,,6000000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,57000000.000,,,,15000000.000,,,,19000000.000,,,,-1000000.000
ComprehensiveIncomeNetOfTax,,,,-36000000.000,16000000.000,23000000.000,,31000000.000,-6000000.000,76000000.000,26000000.000,36000000.000,15000000.000,13000000.000,-707000000.000,14000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,0.000,,,
CostOfGoodsSold,,,,0.000,2000000.000,1000000.000,,2000000.000,1000000.000,1000000.000,0.000,1000000.000,1000000.000,0.000,0.000,1000000.000
CostsAndExpenses,102055000.000,110675000.000,,88000000.000,94000000.000,101000000.000,,102000000.000,97000000.000,100000000.000,96000000.000,93000000.000,94000000.000,97000000.000,867000000.000,93000000.000
DepreciationAndAmortization,31963000.000,31881000.000,,31000000.000,32000000.000,33000000.000,,35000000.000,35000000.000,31000000.000,32000000.000,32000000.000,33000000.000,33000000.000,32000000.000,31000000.000
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,-3000000.000,,,,,,,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,-6000000.000,,,,,,,,,,,,
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,,65000000.000,,,,0.000,,,,,,,,
EquityMethodInvestmentDividendsOrDistributions,,,,1000000.000,,,,4000000.000,,,,0.000,,,,
EquityMethodInvestmentSummarizedFinancialInformationIncomeLossFromContinuingOperationsBeforeExtraordinaryItems,,,,22000000.000,35000000.000,144000000.000,-218000000.000,31000000.000,888000000.000,576000000.000,764000000.000,,,,,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,12000000.000,-4000000.000,107000000.000,-257000000.000,-3000000.000,839000000.000,393000000.000,292000000.000,,,,,
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,,,863000000.000,1178000000.000,1483000000.000,1427000000.000,999000000.000,11540000000.000,6601000000.000,15152000000.000,,,,,
GainLossOnDerivativeInstrumentsNetPretax,,,,0.000,,,,,,,,,,,,
GasDomesticRegulatedRevenue,132240000.000,134476000.000,,170000000.000,122000000.000,125000000.000,,149000000.000,123000000.000,121000000.000,135000000.000,136000000.000,120000000.000,115000000.000,125000000.000,123000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,71000000.000,30000000.000,31000000.000,,43000000.000,19000000.000,48000000.000,47000000.000,52000000.000,24000000.000,20000000.000,-755000000.000,26000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,-35000000.000,16000000.000,23000000.000,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,0.000,0.000,0.000,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,,,,-8000000.000,6000000.000,9000000.000,,4000000.000,-6000000.000,28000000.000,0.000,0.000,0.000,0.000,1000000.000,
IncomeTaxExpenseBenefit,22736000.000,21903000.000,,106000000.000,14000000.000,8000000.000,,12000000.000,25000000.000,-28000000.000,23000000.000,16000000.000,9000000.000,7000000.000,-45000000.000,12000000.000
IncreaseDecreaseInDeferredIncomeTaxes,,,,190000000.000,,,,0.000,,,,-2000000.000,,,,-12000000.000
IncreaseDecreaseInNotesReceivableRelatedParties,,,,-10000000.000,,,,,,,,,,,,
IncreaseDecreaseInNotesReceivableRelatedPartiesCurrent,,,,,,,,40000000.000,,,,110000000.000,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,,-318000000.000,,,,-4000000.000,,,,-63000000.000,,,,-6000000.000
InterestExpense,26980000.000,26937000.000,,12000000.000,19000000.000,15000000.000,,-13000000.000,12000000.000,13000000.000,38000000.000,13000000.000,12000000.000,12000000.000,12000000.000,12000000.000
InterestExpenseRelatedParty,,,,0.000,0.000,0.000,,,,,,,,,,
InterestIncomeRelatedParty,,,,5000000.000,7000000.000,5000000.000,,0.000,1000000.000,6000000.000,16000000.000,16000000.000,7000000.000,9000000.000,-6000000.000,4000000.000
NetCashProvidedByUsedInFinancingActivities,,,,-65000000.000,,,,0.000,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,-65000000.000,,,,0.000,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,,-8000000.000,,,,-55000000.000,,,,-110000000.000,,,,-60000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,-8000000.000,,,,-55000000.000,,,,-110000000.000,,,,-60000000.000
NetCashProvidedByUsedInOperatingActivities,,,,130000000.000,,,,70000000.000,,,,129000000.000,,,,59000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,130000000.000,,,,70000000.000,,,,129000000.000,,,,59000000.000
