,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-09-30,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AcquisitionCosts,,,,,0.000,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,16.000,,,,,,,,,,,,
AssetManagementCosts,10500.000,9500.000,7167.000,7833.000,6500.000,5000.000,6875.000,6875.000,6396.000,4971.000,5797.000,4259.000,4259.000,4259.000,3359.000,3359.000,2701.000
AssetManagementFees,,,,,6500.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,51057.000,,,,,,-2279.000,,,,-50954.000,,
CashPeriodIncreaseDecrease,-31809.000,,,,,,,,,,,,,,,,
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,,,69910.000,41440.000,,,-18215.000,30981.000,22597.000,0.000,-16998.000,,0.000,-10154.000
GainLossOnSaleOfProperties,,76592.000,313426.000,,27217.000,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,,,25000.000,,,,,,
IncomeTaxesPaid,0.000,,,,,,,,,,,,,,,,
IncomeTaxesPaidNet,,,,,,,,,,,,,,,0.000,,
IncreaseDecreaseInAccruedLiabilities,15850.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInDueToRelatedParties,-894.000,,,,38647.000,,,,,,-5832.000,,,,-17065.000,,
IncreaseDecreaseInOtherOperatingAssets,5200.000,,,,-7571.000,,,,,,-344.000,,,,18982.000,,
InvestmentIncomeInterest,6.000,3.000,13.000,12.000,11.000,9.000,5.000,2.000,26.000,27.000,17.000,16.000,16.000,15.000,11.000,7.000,6.000
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,,,,,,-6482.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,,,,,,-6482.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,30000.000,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,30000.000,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,-31809.000,,,,21057.000,,,,,,-2279.000,,,,-44472.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-31809.000,,,,21057.000,,,,,,-2279.000,,,,-44472.000,,
NetIncomeLoss,-41565.000,66759.000,273402.000,-8563.000,17198.000,34586.000,16269.000,211422.000,-47971.000,-26913.000,3897.000,-5229.000,-7682.000,5606.000,-8425.000,-23406.000,-56284.000
NetIncomeLossAllocatedToGeneralPartners,-416.000,668.000,2734.000,-86.000,172.000,346.000,163.000,2114.000,-480.000,-269.000,39.000,-52.000,-77.000,56.000,-84.000,-234.000,-563.000
NetIncomeLossAllocatedToLimitedPartners,-41149.000,66091.000,270668.000,-8477.000,17026.000,34240.000,16106.000,209308.000,-47491.000,-26644.000,3858.000,-5177.000,-7605.000,5550.000,-8341.000,-23172.000,-55721.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,,,27.000,,2.000,3.000,2.000,20.770,,,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-4.000,6.000,,,,,,,,,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,-5.000,-3.000,,-1.000,-1.000,,-1.000,-2.000,-6.000
OperatingExpenses,44756.000,25889.000,40037.000,16094.000,40076.000,35333.000,25176.000,13566.000,47997.000,8725.000,7071.000,27842.000,7698.000,8392.000,10073.000,23413.000,46136.000
OperatingIncomeLoss,-41571.000,-9836.000,-40037.000,-10865.000,-10030.000,-35333.000,-25176.000,-9396.000,-47997.000,-8725.000,3880.000,-27842.000,-7698.000,-8392.000,-8436.000,-23413.000,-46136.000
OtherAssetImpairmentCharges,,,,,,8055.000,13550.000,,4292.000,,,885.000,40.000,,,297.000,25377.000
OtherCostAndExpenseOperating,3953.000,7618.000,1389.000,8011.000,2006.000,1289.000,529.000,17791.000,544.000,704.000,,990.000,449.000,,1931.000,750.000,13133.000
PartnersCapitalAccountPublicSaleOfUnits,,,,,,,,,,,10000000.000,,,,,,
PartnersCapitalAccountReturnOfCapital,,,,,,,,,,,,,,,-6482.000,,
PartnersCapitalAccountUnitsAcquisitions,,,,,12.000,,,,,,,,,,,,
PartnersCapitalAccountUnitsSoldInPublicOffering,,,,,,,,,,,10000.000,,,,,,
PaymentsForAdvanceToAffiliate,,,,,9000.000,,,,,,,,,,,,
PaymentsForProceedsFromRealEstatePartnershipInvestmentNet,,,,,-30000.000,,,,,,,,,,,,
PremiumsReceivableAllowanceForDoubtfulAccountsRecoveries,,,,,,,,,,,,20868.000,,,,,
ProfessionalAndContractServicesExpense,,,,,,15993.000,707.000,,4356.000,650.000,1166.000,4008.000,1250.000,1858.000,325.000,1285.000,825.000
ProfessionalFees,30303.000,5421.000,187.000,3600.000,22570.000,,3515.000,,25820.000,2400.000,108.000,17700.000,1700.000,1092.000,4458.000,17722.000,4100.000
ProvisionForDoubtfulAccounts,,,31294.000,,9000.000,3256.000,,,6589.000,,,,0.000,,,,
RealEstateInvestmentPartnershipRevenue,,,,,,,,,,,,,,,637.000,0.000,0.000
ReimbursementFromLimitedPartnershipInvestment,,,,,0.000,,,,,,,,,,,,
RevenueFromRelatedParties,0.000,0.000,0.000,5211.000,30046.000,,,,,,10951.000,,0.000,,1000.000,0.000,0.000
Revenues,3185.000,16053.000,0.000,5229.000,30046.000,,,,,,10951.000,,0.000,,1637.000,0.000,0.000
SalesAllowancesServices,,,,,6.000,,,,,,,,,,,,
SalesRevenueNet,3185.000,16053.000,0.000,5229.000,30046.000,,,,,,10951.000,,0.000,,1637.000,0.000,0.000
SellingExpense,,,,,,,,,,,1019.000,,,,,,
WeightedAverageLimitedPartnershipUnitsOutstanding,10000.000,10000.000,10000.000,-20000.000,10000.000,10000.000,10000.000,-20038.000,9962.000,9939.000,9939.000,9939.000,9939.000,-19878.000,9936.000,9936.000,9936.000
