,2011-07-30,2011-10-29,2012-04-28,2012-07-28,2012-10-27,2013-05-04,2013-08-03,2013-11-02,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,219000.000,709000.000,793000.000,,,,,,
AmortizationOfFinancingCosts,,,,,,,,,,,,,,,,,,26000.000,,,,44000.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,77000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-19311000.000,,,-334000.000,,,,1464000.000,,,,679000.000,,,,851000.000,,,,810000.000
CommonStockDividendsPerShareCashPaid,0.050,0.050,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,,,,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,,,0.060,0.060,,0.060,0.060,0.060,,0.060
ComprehensiveIncomeNetOfTax,5086000.000,9032000.000,10458000.000,6054000.000,6561000.000,11411000.000,3330000.000,7308000.000,3875000.000,6118000.000,-16434000.000,-10434000.000,-8287000.000,-29000.000,-4877000.000,1436000.000,-3996000.000,1256000.000,-6928000.000,-38393000.000,-22475000.000,-36461000.000
CostOfGoodsSold,325759000.000,308412000.000,352663000.000,339058000.000,312441000.000,350476000.000,346191000.000,320305000.000,361433000.000,355790000.000,377516000.000,352686000.000,380264000.000,371956000.000,414166000.000,398733000.000,421698000.000,408226000.000,401365000.000,405439000.000,400132000.000,399408000.000
DeferredIncomeTaxExpenseBenefit,,,581000.000,,,-800000.000,,,,-1624000.000,,,,-160000.000,,,,-1380000.000,,,,985000.000
DeferredTaxExpenseFromStockOptionsExercised,,,,,,,,,,-54000.000,,,,-214000.000,,,,9000.000,,,,
DepreciationAndAmortization,8076000.000,8463000.000,9364000.000,9474000.000,9880000.000,10301000.000,10527000.000,10631000.000,9588000.000,9839000.000,10210000.000,10259000.000,10755000.000,10882000.000,11508000.000,11397000.000,11865000.000,11563000.000,11761000.000,12002000.000,11701000.000,11626000.000
DepreciationDepletionAndAmortization,,,9364000.000,,,10301000.000,,,,9839000.000,,,,10883000.000,,,,11563000.000,,,,11626000.000
EarningsPerShareBasic,0.130,0.240,0.280,0.170,0.180,0.310,0.090,0.200,0.110,0.170,-0.450,-0.280,-0.240,-0.000,-0.130,0.040,-0.110,0.030,-0.180,-1.050,-0.600,-0.980
EarningsPerShareDiluted,0.130,0.240,0.280,0.170,0.180,0.310,0.090,0.200,0.110,0.170,-0.450,-0.280,-0.240,-0.000,-0.130,0.040,-0.110,0.030,-0.180,-1.050,-0.600,-0.980
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,,,,,,,181000.000,148000.000,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,-26000.000,,,,,,,,,,,,,,,-9000.000,,,,
FinitelivedIntangibleAssetsAcquired1,,,,,,,,,,,,,,18180000.000,,,,,,,,
FreightCosts,,,,,,,,,,,,,,,,,,,,16000000.000,,1200000.000
GainLossOnDispositionOfAssets,,,-13000.000,,,-382000.000,,,,607000.000,,,,43000.000,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,,,,-40000.000,,,,47000.000
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,,,,,,,,,,,,1952000.000,,,,,,,,
GrossProfit,126931000.000,135966000.000,147842000.000,131758000.000,138133000.000,151019000.000,135985000.000,140237000.000,133600000.000,142474000.000,113669000.000,123489000.000,124161000.000,137091000.000,131917000.000,142263000.000,132879000.000,141322000.000,128138000.000,111206000.000,129596000.000,132912000.000
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,,,,,,,,,,200000.000,,,,,,,,,,
