,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AccruedLiabilitiesCurrentAndNoncurrent,12877.000,,,,,,,,,,,,,,,,
Assets,138093.000,94722.000,130920.000,126532.000,35714.000,17960.000,13078.000,17748.000,52947.000,66454.000,70690.000,103282.000,132001.000,133197.000,151589.000,130000.000,65060.000
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,,,,,,,,,,194019.000,,,,,,,
Cash,138093.000,94722.000,114733.000,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,107982.000,28876.000,17070.000,6008.000,10698.000,5698.000,5698.000,10040.000,10040.000,10041.000,10041.000,22388.000,22389.000,22389.000
CashEquivalentsAtCarryingValue,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
DueToRelatedPartiesCurrentAndNoncurrent,1663840.000,1666571.000,1688710.000,1703917.000,1599909.000,1602638.000,1615367.000,1629901.000,1679869.000,1717344.000,1720685.000,1779975.000,1858266.000,1885149.000,1907613.000,1944516.000,1957040.000
GeneralPartnersCapitalAccount,-185519.000,-185851.000,-185810.000,-186156.000,-185774.000,-185979.000,-186180.000,-186254.000,-186401.000,-186641.000,-186632.000,-186899.000,-187395.000,-187652.000,-187693.000,-188278.000,-189052.000
Investments,,,,0.000,,,,,,,,,,,,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,,,,,,0.000,0.000,0.000,,,,,,,
Liabilities,1676717.000,1666571.000,1698710.000,1728917.000,1599909.000,1602638.000,1617867.000,1629901.000,1679869.000,1717344.000,1720685.000,1779975.000,1858266.000,1885149.000,1907613.000,1944516.000,1957040.000
LiabilitiesAndStockholdersEquity,138093.000,94722.000,130920.000,126532.000,35714.000,17960.000,13078.000,17748.000,52947.000,66454.000,70690.000,103282.000,132001.000,133197.000,151589.000,130000.000,65060.000
LimitedPartnersCapitalAccount,-1353105.000,-1385998.000,-1381980.000,-1416229.000,-1378421.000,-1398699.000,-1418609.000,-1425899.000,-1440521.000,-1464249.000,-1463363.000,-1489794.000,-1538870.000,-1564300.000,-1568331.000,-1626238.000,-1702928.000
LimitedPartnersCapitalAccountUnitsAuthorized,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000
LimitedPartnersCapitalAccountUnitsIssued,18000.000,18000.000,18000.000,18000.000,18000.000,17957.000,17957.000,17957.000,17917.000,17917.000,17917.000,17897.000,17897.000,17897.000,17897.000,17897.000,17897.000
LimitedPartnersCapitalAccountUnitsOutstanding,18000.000,18000.000,18000.000,18000.000,18000.000,17957.000,17957.000,17957.000,17917.000,17917.000,17917.000,17897.000,17897.000,17897.000,17897.000,17897.000,17897.000
ManagementFeePayable,,,,,,,,,1615771.000,1622043.000,1628315.000,1634587.000,1640859.000,1647131.000,1653403.000,1659675.000,1665947.000
OtherAssets,,,16187.000,18550.000,6838.000,890.000,7070.000,7050.000,47249.000,60756.000,60650.000,93242.000,121960.000,123156.000,129201.000,107611.000,42671.000
OtherPartnersCapital,,,,,,,,,,,,,,-1011000.000,,,
PartnersCapital,-1538624.000,-1571849.000,-1567790.000,-1602385.000,-1564195.000,-1584678.000,-1604789.000,-1612153.000,-1626922.000,-1650890.000,-1649995.000,-1676693.000,-1726265.000,-1751952.000,-1756024.000,-1814516.000,-1891980.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-1538624.000,-1571849.000,-1567790.000,-1602385.000,-1564195.000,-1584678.000,-1604789.000,-1612153.000,-1626922.000,-1650890.000,-1649995.000,-1676693.000,-1726265.000,-1751952.000,-1756024.000,-1814516.000,-1891980.000
