,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AllocatedShareBasedCompensationExpense,,,,,34000000.000,7000000.000,,,37000000.000,6000000.000,4000000.000,7000000.000,32000000.000,10000000.000,6000000.000,-4000000.000,31000000.000,4000000.000,3000000.000,4000000.000,27000000.000,8000000.000,7000000.000,0.000,27000000.000,5000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,0.000,700000.000,,,1500000.000,1500000.000,1.500,,500000.000,500000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-591000000.000,,,,553000000.000,,,,19000000.000,,,,79000000.000,,,,-449000000.000,,,,-512000000.000,,,,-1000000.000,
CommonStockDividendsPerShareCashPaid,0.400,0.400,0.430,,0.470,0.470,0.500,,0.500,0.500,0.520,,0.540,0.540,0.570,,0.590,0.590,0.590,,0.590,0.590,0.590,,0.610,0.610
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,426000000.000,543000000.000,422000000.000,275000000.000,473000000.000,488000000.000,505000000.000,1172000000.000,556000000.000,572000000.000,564000000.000,291000000.000,313000000.000,439000000.000,459000000.000,298000000.000,390000000.000,410000000.000,464000000.000,362000000.000,435000000.000,502000000.000
CostOfServicesDepreciation,211000000.000,213000000.000,217000000.000,221000000.000,224000000.000,229000000.000,230000000.000,233000000.000,227000000.000,226000000.000,230000000.000,233000000.000,237000000.000,238000000.000,236000000.000,240000000.000,245000000.000,247000000.000,275000000.000,287000000.000,252000000.000,257000000.000,258000000.000,259000000.000,259000000.000,264000000.000
DebtConversionConvertedInstrumentAmount1,,,600000000.000,,,,,,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,112000000.000,,,,88000000.000,,,,74000000.000,,,,-8000000.000,,,,12000000.000,,,,44000000.000,,,,56000000.000,
Depreciation,213000000.000,,,,226000000.000,,,,228000000.000,,,,238000000.000,,,,246000000.000,,,,253000000.000,,,,260000000.000,
EarningsPerShareBasic,0.910,1.580,1.610,1.420,1.240,1.620,1.260,1.300,1.430,1.470,1.550,1.650,1.180,1.810,1.800,1.650,1.010,1.430,1.500,1.190,1.300,1.370,1.560,1.430,1.490,1.720
EarningsPerShareDiluted,0.900,1.560,1.590,1.400,1.230,1.600,1.240,1.300,1.410,1.460,1.530,1.640,1.170,1.790,1.790,1.640,1.000,1.410,1.490,1.200,1.290,1.360,1.550,1.420,1.480,1.710
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,,,,,,,,,,,,,,,,12000000.000,5000000.000,2000000.000,10000000.000,10000000.000,8000000.000,32000000.000,24000000.000,49000000.000,8000000.000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,11000000.000,3000000.000,,,12000000.000,2000000.000,2000000.000,2000000.000,10000000.000,4000000.000,2000000.000,-2000000.000,,,1000000.000,,10000000.000,3000000.000,2000000.000,16000000.000,30000000.000,4000000.000
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,,,6000000.000,6000000.000,12000000.000,4000000.000,13000000.000,7000000.000,2000000.000,9000000.000,11000000.000,4000000.000,9000000.000,2000000.000,3000000.000,1000000.000,1000000.000,2000000.000,1000000.000,1000000.000,6000000.000,5000000.000,16000000.000,3000000.000
EmployeeStockOwnershipPlanESOPDividendsPaidToESOP,-2000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,12000000.000,11000000.000,,,,,,,,,,,,,,10000000.000,1000000.000,,,,,,,,
FuelCosts,389000000.000,412000000.000,385000000.000,403000000.000,413000000.000,390000000.000,379000000.000,395000000.000,429000000.000,391000000.000,390000000.000,403000000.000,432000000.000,408000000.000,387000000.000,347000000.000,264000000.000,255000000.000,221000000.000,194000000.000,149000000.000,174000000.000,181000000.000,194000000.000,213000000.000,190000000.000
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,2000000.000,,,,5000000.000,,,,2000000.000,,,,9000000.000,
GainLossOnSaleOfProperty,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,554000000.000,898000000.000,892000000.000,790000000.000,495000000.000,699000000.000,724000000.000,524000000.000,600000000.000,636000000.000,705000000.000,641000000.000,655000000.000,780000000.000
IncomeLossFromEquityMethodInvestments,,7000000.000,8000000.000,,6000000.000,9000000.000,8000000.000,11000000.000,9000000.000,9000000.000,9000000.000,15000000.000,6000000.000,10000000.000,9000000.000,-25000000.000,,,,,,,,,,
