,2011-09-30
EarningsPerShareBasic,0.050
EarningsPerShareDiluted,0.050
GeneralAndAdministrativeExpense,1130000.000
GrossProfit,552000.000
IncomeLossFromContinuingOperations,-578000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-578000.000
IncomeLossFromContinuingOperationsPerBasicShare,-0.060
IncomeLossFromContinuingOperationsPerDilutedShare,-0.060
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,1090000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.110
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.110
NetIncomeLoss,512000.000
OperatingCostsAndExpenses,3413000.000
OperatingIncomeLoss,-578000.000
Revenues,3965000.000
SalesRevenueNet,3965000.000
WeightedAverageNumberOfDilutedSharesOutstanding,9895763.000
WeightedAverageNumberOfSharesOutstandingBasic,9819982.000
