,2011-09-30
AmortizationOfLeasedAsset,8695.000
ComprehensiveIncomeNetOfTax,9794562.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1468896.000
CostOfRevenue,13394285.000
EarningsPerShareBasic,0.230
EarningsPerShareDiluted,0.230
GrossProfit,10394484.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,11482512.000
IncomeTaxExpenseBenefit,2412101.000
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,2755375.000
InterestExpense,0.000
InvestmentIncomeInterest,69772.000
NetIncomeLoss,8312691.000
NetIncomeLossAttributableToNoncontrollingInterest,757720.000
NonoperatingIncomeExpense,2817145.000
OilAndGasProductionExpense,4034400.000
OilAndGasRevenue,23788769.000
OilAndGasSalesRevenue,18404050.000
OperatingExpenses,1729117.000
OperatingIncomeLoss,8665367.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest,-12975.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,1481871.000
OtherDepreciationAndAmortization,102979.000
OtherNonoperatingExpense,8269.000
OtherNonoperatingIncome,267.000
ProductionTaxExpense,4366785.000
ProfessionalFees,685295.000
ProfitLoss,9070411.000
ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,3081501.000
RevenueOilAndGasServices,5384719.000
SellingGeneralAndAdministrativeExpense,940843.000
WeightedAverageNumberOfDilutedSharesOutstanding,36358363.000
WeightedAverageNumberOfSharesOutstandingBasic,35547717.000
WellServiceExpense,1387857.000
