,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableCurrent,402867000.000,306576000.000,322979000.000,355008000.000,405233000.000,378187000.000,367021000.000,387921000.000,426137000.000,415996000.000,554265000.000,414971000.000,378470000.000,453495000.000,470507000.000,369884000.000,325807000.000,354211000.000,350660000.000,298918000.000,360691000.000,338312000.000,371589000.000,297098000.000,310419000.000
AccountsReceivableGrossCurrent,,,,,309043000.000,321652000.000,345563000.000,371985000.000,340947000.000,393142000.000,304748000.000,446179000.000,344185000.000,363392000.000,390633000.000,383928000.000,312702000.000,355295000.000,313556000.000,352249000.000,322275000.000,354286000.000,349449000.000,348348000.000,347618000.000
AccountsReceivableNetCurrent,294227000.000,319032000.000,314577000.000,324342000.000,289292000.000,303402000.000,325143000.000,352269000.000,323060000.000,373877000.000,284532000.000,424823000.000,325160000.000,342459000.000,367696000.000,362206000.000,293761000.000,335214000.000,292806000.000,332976000.000,304837000.000,335531000.000,329481000.000,328368000.000,328215000.000
AccumulatedDeferredInvestmentTaxCredit,33090000.000,32416000.000,31743000.000,31396000.000,31048000.000,30701000.000,30304000.000,29829000.000,29354000.000,28903000.000,29202000.000,28747000.000,28292000.000,27934000.000,27567000.000,27134000.000,26701000.000,26268000.000,25838000.000,25418000.000,24998000.000,24578000.000,24175000.000,23762000.000,23348000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,5462566000.000,5541918000.000,5594064000.000,5649369000.000,5682091000.000,5745948000.000,5783658000.000,5823092000.000,5886077000.000,5954356000.000,6012145000.000,6108221000.000,6180843000.000,6266646000.000,6251498000.000,6354488000.000,6495449000.000,6592740000.000,6682418000.000,6771090000.000,6890263000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,,-21570000.000,-21393000.000,-21195000.000,-21024000.000,-20818000.000,-20609000.000,,,,-19909000.000,,,,-19090000.000,,,,-18208000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,2996000.000,-10057000.000,-14352000.000,-1923000.000,-18761000.000,-23938000.000,-23199000.000,-23009000.000,-22817000.000,-22477000.000,-21729000.000,-21498000.000,-21282000.000,-21113000.000,-20814000.000,-20617000.000,-20399000.000,-20216000.000,-21081000.000,-20840000.000,-20593000.000,-20362000.000,-20783000.000,-20545000.000,-20279000.000
AdditionalPaidInCapitalCommonStock,2366387000.000,2366387000.000,2366391000.000,2466391000.000,2512012000.000,2512012000.000,2581501000.000,2701501000.000,2701501000.000,2691603000.000,2866603000.000,2961603000.000,2961603000.000,2961632000.000,2961654000.000,3037489000.000,3087589000.000,3083936000.000,3323810000.000,3398810000.000,3405564000.000,3405609000.000,3435096000.000,3495096000.000,3528855000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,19751000.000,18250000.000,20420000.000,19716000.000,17887000.000,19265000.000,20216000.000,21356000.000,19025000.000,20933000.000,22937000.000,21722000.000,18941000.000,20081000.000,20750000.000,19273000.000,17438000.000,18755000.000,19968000.000,19980000.000,19403000.000
AssetRetirementObligation,,,,,,,1655402000.000,,,,1732763000.000,,,,2186174000.000,,,,2331092000.000,,,,2452567000.000,,
AssetRetirementObligationsNoncurrent,1180095000.000,1194189000.000,1581896000.000,1591275000.000,1623642000.000,1643661000.000,1655402000.000,1676487000.000,1697844000.000,1719475000.000,1732763000.000,1754875000.000,1777271000.000,1799955000.000,2186174000.000,2212836000.000,2251668000.000,2274857000.000,2331092000.000,2359476000.000,2388208000.000,2417292000.000,2452567000.000,2482507000.000,2512816000.000
Assets,11711136000.000,11887620000.000,12555211000.000,12658826000.000,12838868000.000,13017036000.000,13401258000.000,13649760000.000,14014670000.000,14393413000.000,14694895000.000,14851457000.000,14939541000.000,15246839000.000,15987316000.000,15875884000.000,16026050000.000,16515443000.000,17037332000.000,17060950000.000,17317534000.000,17538758000.000,17822280000.000,17785446000.000,18039372000.000
AssetsCurrent,1015694000.000,1176121000.000,1225498000.000,1075655000.000,1112581000.000,1108617000.000,1177541000.000,1226254000.000,1323384000.000,1453798000.000,1354872000.000,1428728000.000,1378916000.000,1464069000.000,1488344000.000,1335720000.000,1323858000.000,1634584000.000,1251149000.000,1233580000.000,1369099000.000,1396930000.000,1337513000.000,1216563000.000,1386463000.000
AssetsNeededForImmediateSettlementAggregateFairValue,,,,,0.000,0.000,,0.000,1000000.000,,,,,,,,,100000.000,,,,,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,335300000.000,298400000.000,,,,,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,,31400000.000,87300000.000,,,,,,,
AvailableForSaleSecuritiesAmortizedCost,,,,,1354316000.000,1356087000.000,1400145000.000,1412289000.000,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,,,114774000.000,137904000.000,133785000.000,103345000.000,109334000.000,115034000.000,118444000.000,121622000.000,122886000.000,99684000.000,109494000.000,107856000.000,81410000.000,89910000.000,79847000.000,80749000.000,83912000.000,91082000.000,95866000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,,,39370000.000,66014000.000,70219000.000,49543000.000,45735000.000,44988000.000,46114000.000,54332000.000,54790000.000,50175000.000,51062000.000,45874000.000,19056000.000,21970000.000,41825000.000,44081000.000,44215000.000,47926000.000,58577000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,,,,,,108843000.000,156399000.000,175673000.000,175088000.000,199137000.000,222957000.000,225824000.000,223473000.000,225188000.000,172142000.000,169624000.000,171293000.000,64854000.000,63393000.000,51526000.000,52645000.000,47276000.000,42197000.000,47766000.000
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate,,,,,,,,,,,358540000.000,386378000.000,393297000.000,400537000.000,405057000.000,323190000.000,330541000.000,326283000.000,165473000.000,175424000.000,173459000.000,177732000.000,176011000.000,181559000.000,205033000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,,,0.000,2270000.000,5524000.000,3424000.000,4334000.000,3399000.000,2915000.000,1110000.000,2193000.000,1189000.000,361000.000,1260000.000,153000.000,151000.000,261000.000,257000.000,608000.000,354000.000,2824000.000
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,76600000.000,49400000.000,46400000.000,,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,109800000.000,146300000.000,135800000.000,,,,,,,,,,,,,,,,,,
