,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,,,,-37000.000,,,,-1000.000
AllocatedShareBasedCompensationExpense,1179000.000,634000.000,606000.000,804000.000,857000.000,1022000.000,992000.000,646000.000,342000.000,371000.000
AllowanceForLoanAndLeaseLossesAdjustmentsNet,,34000.000,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,2168027.000,,,,3069443.000,,,,1855741.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-11094000.000,,,,-9720000.000,,,,1177000.000
ComprehensiveIncomeNetOfTax,,,-8959000.000,-11843000.000,,-11376000.000,-13515000.000,-9273000.000,-3741000.000,-3865000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,,,,45000.000,,,,19000.000
Depreciation,,5000.000,,,,53000.000,,,,17000.000
EarningsPerShareBasicAndDiluted,-2.710,-0.590,-0.400,-0.530,-0.490,-0.510,-0.600,-0.410,-0.160,-0.170
GeneralAndAdministrativeExpense,3599000.000,2741000.000,3127000.000,3416000.000,3339000.000,3549000.000,3680000.000,3146000.000,2724000.000,3586000.000
IncomeTaxExpenseBenefit,,0.000,,,,0.000,,,,0.000
IncreaseDecreaseInAccountsPayable,,2669000.000,,,,678000.000,,,,-154000.000
IncreaseDecreaseInAccruedLiabilities,,-1158000.000,,,,-663000.000,,,,-246000.000
IncreaseDecreaseInOtherOperatingAssets,,45000.000,,,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,38000.000,,,,-36000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-85000.000,,,,-521000.000,,,,-764000.000
IncreaseDecreaseInRestrictedCash,,,,,,,,,,-150000.000
InterestAndOtherIncome,,40000.000,25000.000,,,,49000.000,38000.000,,26000.000
LeaseAndRentalExpense,152000.000,306000.000,181000.000,174000.000,174000.000,174000.000,174000.000,174000.000,174000.000,175000.000
NetCashProvidedByUsedInFinancingActivities,,55000.000,,,,37000.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,55000.000,,,,37000.000,,,,
NetCashProvidedByUsedInInvestingActivities,,-45000.000,,,,-17000.000,,,,4325000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-45000.000,,,,-17000.000,,,,4325000.000
NetCashProvidedByUsedInOperatingActivities,,-11104000.000,,,,-9740000.000,,,,-3148000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-11104000.000,,,,-9740000.000,,,,-3148000.000
NetIncomeLoss,-6390000.000,-13260000.000,-8957000.000,-11853000.000,-11017000.000,-11426000.000,-13526000.000,-9270000.000,-3737000.000,-3866000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-6390000.000,,,,,,,,,
OperatingExpenses,6424000.000,13300000.000,8982000.000,11907000.000,11072000.000,11480000.000,13575000.000,9308000.000,3760000.000,3892000.000
OperatingIncomeLoss,-6424000.000,-13300000.000,-8982000.000,-11907000.000,-11072000.000,-11480000.000,-13575000.000,-9308000.000,-3760000.000,-3892000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,-2000.000,10000.000,,50000.000,11000.000,-3000.000,-4000.000,1000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-2000.000,10000.000,,50000.000,11000.000,-3000.000,-4000.000,1000.000
OtherNonoperatingIncomeExpense,34000.000,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,45000.000,,,,17000.000,,,,
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,,,,,,,,4175000.000
ProceedsFromStockOptionsExercised,,21000.000,,,,37000.000,,,,
RepaymentOfNotesReceivableFromRelatedParties,,34000.000,,,,,,,,
ResearchAndDevelopmentExpense,2825000.000,10559000.000,5855000.000,8491000.000,7733000.000,7931000.000,9895000.000,6162000.000,1036000.000,306000.000
RestructuringAndRelatedCostNumberOfPositionsEliminatedPeriodPercent,,,,,,,,0.600,,
SalesRevenueGoodsNet,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SeveranceCosts1,,,,,,,,1200000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,218417.000,,,,,,,,,
TangibleAssetImpairmentCharges,,,,,,,,,,1000.000
VariableInterestEntityOwnershipPercentage,,0.000,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,2357236.000,22384233.000,22421622.000,22540876.000,-44862388.000,22625009.000,22634825.000,22636977.000,-45262170.000,22641651.000
