,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31
CashPeriodIncreaseDecrease,-5040.000,,,,-109.000,,
EarningsPerShareBasicAndDiluted,0.000,-0.000,-0.000,,0.000,,
GainLossOnInvestments,,,-306650.000,,,,
GeneralAndAdministrativeExpense,267541.000,328530.000,314991.000,95309.000,66464.000,170107.000,119054.000
IncomeLossFromContinuingOperations,,,,,,-260107.000,-119054.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,-66464.000,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,-0.000,-0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,5719.000,,,,355.000,,
InterestExpense,5718.000,5718.000,6209.000,-1124.000,,,
NetCashProvidedByUsedInOperatingActivities,-5040.000,,,,-109.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-5040.000,,,,-109.000,,
NetIncomeLoss,-292209.000,-339996.000,-766864.000,-94185.000,-66464.000,-260107.000,-119054.000
NonoperatingIncomeExpense,-24668.000,-11467.000,-451873.000,1125.000,,-90000.000,
OperatingExpenses,267541.000,328530.000,314991.000,95309.000,66464.000,170107.000,119054.000
ShareBasedCompensation,262500.000,,,,66000.000,,
StockIssuedDuringPeriodSharesOther,,,,,29666667.000,,
StockIssuedDuringPeriodValueOther,,,,,53400.000,,
