,2011-06-30
CostOfRevenue,11149091.000
EarningsPerShareBasic,0.230
EarningsPerShareDiluted,0.230
GrossProfit,4217284.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2127758.000
IncomeTaxExpenseBenefit,0.000
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,-144377.000
InterestExpense,1407475.000
InvestmentIncomeInterest,1405.000
NonoperatingIncomeExpense,-1308226.000
OperatingExpenses,781300.000
OperatingIncomeLoss,3435984.000
OtherNonoperatingIncome,202214.000
ProfitLoss,2127758.000
SalesRevenueServicesNet,15366375.000
SellingGeneralAndAdministrativeExpense,781300.000
WeightedAverageNumberOfDilutedSharesOutstanding,10120783.000
WeightedAverageNumberOfSharesOutstandingBasic,9004593.000
