,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,,,,,,,-16061.000
CashPeriodIncreaseDecrease,,,,,16485.000,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,-16510.000,,,,
ComprehensiveIncomeNetOfTax,,,,,-6557.000,-2856.000,170.000,,
CostOfRevenue,,,,,15833.000,,28894.000,,
CostsAndExpenses,,,,,11834.000,3089.000,6538.000,11278.000,6773.000
EarningsPerShareBasicAndDiluted,-0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,25.000,,,,1451.000
ForeignCurrencyTransactionGainLossRealized,,,,,25.000,233.000,3853.000,,
GrossProfit,,,,,5227.000,,2855.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,-6557.000,-3089.000,-3683.000,,
IncreaseDecreaseInAccountsPayableTrade,,,,,,,,,-636.000
IncreaseDecreaseInAccountsReceivable,,,,,-21126.000,,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,,,-1137.000
IncreaseDecreaseInAccruedLiabilities,,,,,-4672.000,,,,-7515.000
IncreaseDecreaseInFinanceReceivables,,,,,171.000,,,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,,,,,,,,,14611.000
IncreaseDecreaseInOtherAccountsPayable,,,,,15845.000,,,,
NetCashProvidedByUsedInContinuingOperations,,,,,,,,,14611.000
NetIncomeLoss,-2244.000,194.000,,,-6557.000,-3089.000,-3683.000,-62710.000,-6773.000
OperatingCostsAndExpenses,2000.000,194.000,,,11834.000,3089.000,6538.000,11278.000,6773.000
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,,,,,,,,,1451.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,-5322.000
Revenues,,,,,21110.000,,31749.000,,
SalesRevenueNet,,,,,21110.000,,31749.000,,
WeightedAverageNumberOfSharesOutstandingBasic,5000000.000,20000000.000,20000000.000,-16650750.000,70000000.000,70000000.000,70000000.000,-140000000.000,70000000.000
