,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,1700000.000,,,,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,4900000.000,3700000.000,3200000.000,4600000.000,4500000.000,4500000.000,3300000.000,2600000.000,4500000.000,3800000.000,2500000.000,1800000.000,5200000.000,2300000.000,3200000.000,4200000.000,1300000.000,1500000.000,1000000.000,,2200000.000
AmortizationOfFinancingCosts,3400000.000,2700000.000,2200000.000,2100000.000,2000000.000,2100000.000,2000000.000,2100000.000,1800000.000,1700000.000,1800000.000,1700000.000,1200000.000,1100000.000,1000000.000,1100000.000,1100000.000,1000000.000,1100000.000,1000000.000,900000.000,400000.000,500000.000,400000.000,500000.000
AmortizationOfIntangibleAssets,9700000.000,9600000.000,9900000.000,9600000.000,9600000.000,9500000.000,9500000.000,8500000.000,9100000.000,9000000.000,8700000.000,8500000.000,8800000.000,8800000.000,8800000.000,8700000.000,8600000.000,8600000.000,8600000.000,8600000.000,700000.000,800000.000,700000.000,800000.000,400000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,,,,,1000000.000,1600000.000,4100000.000,-5300000.000,
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,,,,,96900000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-11300000.000,,,,2200000.000,,,,27900000.000,,,,23900000.000,,,,200000.000,,,,23800000.000,,,,-33800000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,1700000.000,,,,-1700000.000,,,,100000.000,,,,9200000.000,,,,-1600000.000,,,,-200000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,,,,,-7200000.000,,,,0.000,,,,200000.000,,,,0.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,0.000,,,,,,,,-2400000.000,,,,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-18200000.000,,,,-300000.000,,,,-1900000.000,,,,-6800000.000,,,,-100000.000,,,,-63000000.000,,,,0.000
