,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-05-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsAndNotesReceivableNet,,,,,,,540000000.000,561000000.000,567000000.000,569000000.000,623000000.000,,,,,,,,,,,,,,,
AccountsPayableCurrent,413000000.000,444000000.000,484000000.000,575000000.000,409000000.000,,491000000.000,512000000.000,426000000.000,512000000.000,519000000.000,585000000.000,632000000.000,587000000.000,604000000.000,678000000.000,512000000.000,558000000.000,586000000.000,633000000.000,534000000.000,559000000.000,539000000.000,598000000.000,479000000.000,599000000.000
AccountsReceivableGrossCurrent,,,,,,,,,,,,,,,,,,,,,,,,12000000.000,,
AccountsReceivableNetCurrent,930000000.000,719000000.000,690000000.000,869000000.000,750000000.000,,667000000.000,855000000.000,914000000.000,728000000.000,678000000.000,914000000.000,1032000000.000,754000000.000,683000000.000,881000000.000,908000000.000,669000000.000,640000000.000,774000000.000,730000000.000,603000000.000,634000000.000,821000000.000,775000000.000,666000000.000
AccrualForEnvironmentalLossContingencies,,,,,,,,,,58000000.000,55000000.000,,,,,,,,,,,,,,,
AccrualForEnvironmentalLossContingenciesDiscountRate,,,,,,,,,,0.043,0.043,,,,,,,,,,,,,,,
AccrualForEnvironmentalLossContingenciesGross,,,,,,,,,,77000000.000,73000000.000,,,,,,,,,,,,,,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueInFifthYear,,4000000.000,4000000.000,5000000.000,5000000.000,,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,,4000000.000,4000000.000,,,,,,,,,,,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueInFourthYear,,5000000.000,5000000.000,4000000.000,4000000.000,,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,,4000000.000,4000000.000,,,,,,,,,,,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueInRemainderOfFiscalYear,,,,,,,4000000.000,,,,,,,,,,,,,,,,,,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueInSecondYear,,16000000.000,18000000.000,8000000.000,8000000.000,,10000000.000,4000000.000,4000000.000,4000000.000,4000000.000,,5000000.000,5000000.000,,,,,,,,,,,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueInThirdYear,,7000000.000,8000000.000,4000000.000,4000000.000,,5000000.000,4000000.000,4000000.000,4000000.000,4000000.000,,5000000.000,5000000.000,,,,,,,,,,,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueWithinOneYear,,16000000.000,8000000.000,21000000.000,16000000.000,,,12000000.000,12000000.000,12000000.000,12000000.000,,6000000.000,6000000.000,,,,,,,,,,,,
AccruedLiabilitiesCurrentAndNoncurrent,20000000.000,43000000.000,24000000.000,30000000.000,34000000.000,,17000000.000,6000000.000,1000000.000,,,12000000.000,,,,,,,,,,,,,,
AccumulatedDeferredInvestmentTaxCredit,48000000.000,47000000.000,47000000.000,46000000.000,45000000.000,,44000000.000,43000000.000,42000000.000,41000000.000,41000000.000,40000000.000,39000000.000,39000000.000,38000000.000,37000000.000,58000000.000,57000000.000,56000000.000,56000000.000,55000000.000,73000000.000,74000000.000,73000000.000,72000000.000,89000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,4731000000.000,4802000000.000,4869000000.000,4901000000.000,5008000000.000,,5047000000.000,5121000000.000,5200000000.000,5278000000.000,5355000000.000,5087000000.000,5168000000.000,5242000000.000,5321000000.000,5415000000.000,5545000000.000,5633000000.000,5697000000.000,5747000000.000,5878000000.000,5922000000.000,5953000000.000,6056000000.000,6206000000.000,6311000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-40000000.000,-38000000.000,-40000000.000,-49000000.000,-47000000.000,,-43000000.000,-55000000.000,-54000000.000,-56000000.000,-39000000.000,-22000000.000,-21000000.000,-20000000.000,-20000000.000,-49000000.000,-48000000.000,-48000000.000,-49000000.000,-47000000.000,-47000000.000,-47000000.000,-45000000.000,-50000000.000,-49000000.000,-48000000.000
AdditionalPaidInCapitalCommonStock,4599000000.000,4621000000.000,4622000000.000,4627000000.000,4641000000.000,,4662000000.000,4669000000.000,4703000000.000,4710000000.000,4708000000.000,4715000000.000,4746000000.000,4761000000.000,4767000000.000,4774000000.000,4783000000.000,4812000000.000,4829000000.000,4837000000.000,4897000000.000,4906000000.000,4908000000.000,4916000000.000,4927000000.000,5006000000.000
