,2011-06-30,2011-09-30,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AmortizationOfFinancingCosts,,,,,196452.000,,,,220347.000,,
AssetRetirementObligationAccretionExpense,329379.000,329379.000,,,402732.000,402732.000,402732.000,545910.000,546684.000,546684.000,546684.000
AssetRetirementObligationCashPaidToSettle,,,,,76125.000,,,,51000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-10634355.000,,,,192561.000,,
CostOfServicesEnvironmentalRemediation,,,,,,,,,1429234.000,1587687.000,1674052.000
CostsAndExpenses,19670669.000,15221686.000,,,13043021.000,16151010.000,40721429.000,21304698.000,11512576.000,43106322.000,12053880.000
DepreciationDepletionAndAmortization,5245062.000,5517089.000,,,3167886.000,4793818.000,5183118.000,3645622.000,2801045.000,4002960.000,3389895.000
DerivativeGainLossOnDerivativeNet,,,,,-817590.000,510288.000,-809439.000,-67907.000,-249984.000,-315617.000,400598.000
EarningsPerShareBasicAndDiluted,-0.390,-0.320,,,-0.050,-0.020,-0.420,-0.220,-0.030,-0.450,-0.050
EnvironmentalRemediationExpense,,,,,,,4284246.000,,,,
ExplorationExpense,5183830.000,864011.000,,,,,,,,,
GainLossOnDerivativeInstrumentsNetPretax,,,5020058.000,-2430239.000,-817590.000,510288.000,-809439.000,-67907.000,,,
GeneralAndAdministrativeExpense,2026228.000,2367095.000,,,2588082.000,3129377.000,2924299.000,3589335.000,2651285.000,2657465.000,2495340.000
ImpairmentOfOilAndGasProperties,,,,,,,22250000.000,,,29351000.000,
IncomeLossFromContinuingOperations,-13864358.000,-10238786.000,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.390,-0.320,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,5887765.000,,,,-1707133.000,,
IncreaseDecreaseInAccountsReceivable,,,,,1193924.000,,,,931084.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,-2098029.000,,,,3650435.000,,
InterestExpense,10099719.000,10127742.000,,,2434979.000,2484209.000,2541193.000,2626310.000,2720932.000,2877542.000,3123462.000
InterestPaid,,,,,562198.000,,,,651289.000,,
InvestmentIncomeInterest,16299.000,4183.000,,,,,,,,,
LeaseOperatingExpense,6886170.000,6144112.000,,,6861401.000,7848003.000,5677034.000,4529808.000,5513562.000,5786749.000,5621961.000
NetCashProvidedByUsedInFinancingActivities,,,,,-777319.000,,,,13073853.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,-777319.000,,,,13073853.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,-18627189.000,,,,-8486796.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,-18627189.000,,,,-8486796.000,,
NetCashProvidedByUsedInOperatingActivities,,,,,8770153.000,,,,-4394496.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,8770153.000,,,,-4394496.000,,
NetIncomeLoss,-13864358.000,-10238786.000,,,-3210175.000,-1341362.000,-30365722.000,-12064665.000,-2494022.000,-33196137.000,-3737782.000
NetIncomeLossAvailableToCommonStockholdersBasic,-18943404.000,-15555228.000,,,,,,,,,
NonoperatingIncomeExpense,-10083420.000,-10123559.000,,,-3251967.000,-1973831.000,-3350550.000,-2694184.000,-2970456.000,-3183126.000,-2722662.000
OilAndGasSalesRevenue,15889731.000,15106459.000,,,12121663.000,16783479.000,13706257.000,10969777.000,11989010.000,13093311.000,11038760.000
OperatingIncomeLoss,-3780938.000,-115227.000,,,41792.000,632469.000,-27015172.000,-9370481.000,476434.000,-30013011.000,-1015120.000
OtherNoncashIncomeExpense,,,,,1593608.000,,,,,,
OtherNonoperatingIncome,,,,,602.000,90.000,82.000,33.000,460.000,10033.000,202.000
PaymentsForRepurchaseOfCommonStock,,,,,,,,,72671.000,,
PaymentsOfStockIssuanceCosts,,,,,75994.000,,,,,,
PaymentsToAcquireFurnitureAndFixtures,,,,,130006.000,,,,4829.000,,
PaymentsToAcquireOilAndGasProperty,,,,,18426091.000,,,,8348601.000,,
PreferredStockDividendsIncomeStatementImpact,5079046.000,5316442.000,,,,,,,,,
ProceedsFromIssuanceOfLongTermDebt,,,,,,,,,12000000.000,,
ProceedsFromLongTermLinesOfCredit,,,,,,,,,12000000.000,3000000.000,0.000
ProceedsFromRepaymentsOfOtherLongTermDebt,,,,,-5522.000,,,,,,
ProceedsFromShortTermDebt,,,,,,,,,1625971.000,,
RealizedInvestmentGainsLosses,,,,,24698.000,0.000,-53012.000,0.000,-42327.000,-140689.000,-40548.000
RepaymentsOfShortTermDebt,,,,,695803.000,,,,479447.000,,
Revenues,,,,,13084813.000,16783479.000,13706257.000,11934217.000,11989010.000,13093311.000,11038760.000
SalesRevenueNet,,,,,13060115.000,16783479.000,13759269.000,11934217.000,12031337.000,13234000.000,11079308.000
ShareBasedCompensation,,,,,632305.000,,,,663445.000,,
UnrealizedGainLossOnDerivatives,,,,,-842288.000,510288.000,,,-207657.000,-174928.000,441146.000
UnusualOrInfrequentItemInsuranceProceeds,,,,,1000000.000,,,,,,
