,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,499000000.000,,,,777000000.000,,,,685000000.000,,,,748000000.000,,,,602000000.000,,,,650000000.000,,
AccountsPayableCurrent,1093000000.000,1254000000.000,1329000000.000,1092000000.000,1243000000.000,1126000000.000,1260000000.000,1362000000.000,1188000000.000,1180000000.000,1267000000.000,1265000000.000,1194000000.000,1245000000.000,1387000000.000,1233000000.000,1094000000.000,1144000000.000,1160000000.000,1091000000.000,1119000000.000,1085000000.000,1131000000.000,1215000000.000,1211000000.000,1223000000.000
AccountsPayableOtherCurrent,,,,30000000.000,,,,95000000.000,,,,97000000.000,,,,110000000.000,,,,109000000.000,,,,110000000.000,,
AccountsReceivableNet,,,,7000000.000,,,,7000000.000,,,,8000000.000,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,934000000.000,991000000.000,1029000000.000,1022000000.000,1056000000.000,1086000000.000,1078000000.000,1109000000.000,1158000000.000,1072000000.000,1083000000.000,1024000000.000,1109000000.000,1122000000.000,1103000000.000,1055000000.000,1032000000.000,1055000000.000,1103000000.000,946000000.000,961000000.000,985000000.000,960000000.000,945000000.000,998000000.000,926000000.000
AccrualForEnvironmentalLossContingencies,32000000.000,33000000.000,32000000.000,35000000.000,38000000.000,36000000.000,34000000.000,42000000.000,48000000.000,53000000.000,59000000.000,58000000.000,57000000.000,65000000.000,66000000.000,66000000.000,69000000.000,70000000.000,70000000.000,69000000.000,68000000.000,66000000.000,64000000.000,67000000.000,67000000.000,65000000.000
AccrualForEnvironmentalLossContingenciesUndiscountedDueWithinOneYear,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000
AccruedIncomeTaxesNoncurrent,,,,67000000.000,,,,,,,,,,,,,,,,,,,,,,
AccruedVacationCurrent,,,,123000000.000,,,,129000000.000,,,,130000000.000,,,,132000000.000,,,,135000000.000,,,,134000000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,9386000000.000,9217000000.000,9351000000.000,9464000000.000,9596000000.000,9738000000.000,9859000000.000,9922000000.000,10042000000.000,10152000000.000,10271000000.000,10387000000.000,10512000000.000,10634000000.000,10740000000.000,10814000000.000,11020000000.000,11188000000.000,11344000000.000,11478000000.000,11520000000.000,11586000000.000,11663000000.000,11737000000.000,11872000000.000,11984000000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,928000000.000,,,,-999000000.000,,,,-310000000.000,,,,320000000.000,,,,,363000000.000,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-786000000.000,-770000000.000,-753000000.000,-1026000000.000,-1010000000.000,-991000000.000,-971000000.000,-1109000000.000,-1086000000.000,-1063000000.000,-1040000000.000,-381000000.000,-193000000.000,-183000000.000,-178000000.000,-398000000.000,-395000000.000,-389000000.000,-382000000.000,-445000000.000,-442000000.000,-437000000.000,-433000000.000,-487000000.000,-485000000.000,-480000000.000
