,2012-09-28,2013-09-27
AllocatedShareBasedCompensationExpense,1000000.000,2000000.000
AmortizationOfFinancingCosts,38000000.000,
AmortizationOfIntangibleAssets,1000000.000,15000000.000
AssetImpairmentCharges,1000000.000,
BusinessAcquisitionsProFormaNetIncomeLoss,-8000000.000,
BusinessAcquisitionsProFormaRevenue,1687000000.000,
DefinedBenefitPlanActualReturnOnPlanAssets,10000000.000,9000000.000
DefinedBenefitPlanActuarialGainLoss,16000000.000,16000000.000
DefinedBenefitPlanAdministrationExpenses,-3000000.000,4000000.000
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeLossNetGainLossBeforeTax,-27000000.000,-6000000.000
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate,0.037,0.037
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,,0.070
DefinedBenefitPlanContributionsByEmployer,8000000.000,6000000.000
DefinedBenefitPlanInterestCost,4000000.000,4000000.000
DefinedBenefitPlanServiceCost,3000000.000,3000000.000
DefinedContributionPlanCostRecognized,3000000.000,4000000.000
Depreciation,35000000.000,33000000.000
DepreciationExpenseOnReclassifiedAssets,2000000.000,
DiscontinuedOperationTaxExpenseBenefitFromProvisionForGainLossOnDisposal,0.000,
EquityMethodInvestmentSoldCarryingAmount,3000000.000,3000000.000
FairValueAssumptionsExpectedDividendRate,0.000,0.000
FairValueAssumptionsExpectedVolatilityRate,0.600,0.600
FairValueAssumptionsRiskFreeInterestRate,0.012,0.008
GainLossOnSaleOfBusiness,,20000000.000
GainsLossesOnSalesOfAssets,4000000.000,
GoodwillImpairmentLoss,,0.000
GoodwillPurchaseAccountingAdjustments,-8000000.000,0.000
ImpairmentOfLongLivedAssetsToBeDisposedOf,,6000000.000
IncomeTaxExaminationPenaltiesAndInterestExpense,10000000.000,10000000.000
InterestExpense,48000000.000,49000000.000
LeaseAndRentalExpense,,10000000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,20000000.000
PensionContributions,8000000.000,6000000.000
PreferredStockDividendRatePercentage,0.120,0.120
ProceedsFromDivestitureOfBusinesses,8000000.000,
ProceedsFromDivestitureOfInterestInJointVenture,10000000.000,10000000.000
ProceedsFromIssuanceOfCommonStock,1000000.000,1000000.000
ProceedsFromSaleOfOtherAssets,40000000.000,
ProceedsFromSaleOfPropertyHeldForSale,,2000000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesPurchasedForAward,64050.000,
StockIssuedDuringPeriodSharesStockOptionsExercised,0.000,0.000
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,,4000000.000
