,2012-12-31,2013-06-30,2013-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-71020.000,,34464.000
CostOfGoodsAndServicesSold,,,133399.000
DebtInstrumentIncreaseAccruedInterest,1357.000,,
DepreciationAndAmortization,426.000,,2982.000
EarningsPerShareBasicAndDiluted,-0.001,-0.020,0.000
FiniteLivedIntangibleAssetsAmortizationExpense,234.000,703.000,1250.000
GeneralAndAdministrativeExpense,88368.000,200504.000,83711.000
GrossProfit,,,99036.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-111086.000,-200554.000,6425.000
IncreaseDecreaseInAccountsPayable,14500.000,,82674.000
IncreaseDecreaseInAccountsReceivable,,,-42160.000
IncreaseDecreaseInAccruedLiabilities,23252.000,,-16041.000
IncreaseDecreaseInInterestPayableNet,1574.000,,1500.000
IncreaseDecreaseInInventories,-31880.000,,-1390.000
IncreaseDecreaseInPrepaidExpense,-8985.000,,-838.000
InterestExpense,1357.000,1993.000,1591.000
LeaseAndRentalExpense,,,9074.000
NetCashProvidedByUsedInFinancingActivities,31000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,31000.000,,
NetCashProvidedByUsedInInvestingActivities,-3464.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-3464.000,,
NetCashProvidedByUsedInOperatingActivities,-98556.000,,34464.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-98556.000,,34464.000
NetIncomeLoss,-97443.000,-194028.000,4834.000
OperatingExpenses,111086.000,200554.000,92611.000
OtherIncome,15000.000,8519.000,-1591.000
OtherOperatingIncomeExpenseNet,13643.000,6526.000,4834.000
PaymentsToAcquireProductiveAssets,3464.000,,
ProceedsFromNotesPayable,11000.000,,
ProceedsFromOtherEquity,87500.000,,
ResearchAndDevelopmentExpense,22718.000,50.000,8900.000
Revenues,,,232435.000
SalesRevenueNet,,,232435.000
StockIssuedDuringPeriodValueIssuedForCash,20000.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,,9212511.000,9299500.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,90317880.000,,
WeightedAverageNumberOfSharesOutstandingBasic,,9212511.000,9299500.000
