,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31
AccountsPayableCurrent,,,,5746.000,,
AccountsPayableCurrentAndNoncurrent,,,,,5746.000,5746.000
AccountsReceivableNet,30000.000,,,,,
AccruedLiabilitiesCurrentAndNoncurrent,33661.000,5746.000,5746.000,,,
Assets,164463.000,174390.000,166472.000,122962.000,67688.000,33557.000
Cash,42846.000,129268.000,152216.000,,,
CashAndCashEquivalentsAtCarryingValue,,,,122452.000,67688.000,33557.000
DueToRelatedPartiesCurrentAndNoncurrent,4574576.000,4348251.000,4309308.000,4322533.000,3899778.000,3887318.000
GeneralPartnersCapitalAccount,-13174.000,34837.000,35147.000,34580.000,38255.000,38038.000
Investments,,,,0.000,,
Liabilities,4608237.000,4353997.000,4315054.000,4328279.000,3905524.000,3893064.000
LiabilitiesAndStockholdersEquity,164463.000,174390.000,166472.000,122962.000,67688.000,33557.000
LimitedPartnersCapitalAccount,-4430600.000,-4214444.000,-4183729.000,-4239897.000,-3876091.000,-3897545.000
LimitedPartnersCapitalAccountUnitsAuthorized,15000.000,15000.000,15000.000,15000.000,15000.000,15000.000
LimitedPartnersCapitalAccountUnitsIssued,15000.000,15000.000,15000.000,15000.000,15000.000,15000.000
LimitedPartnersCapitalAccountUnitsOutstanding,15000.000,15000.000,15000.000,15000.000,15000.000,15000.000
OtherAssets,91617.000,45122.000,14256.000,510.000,,
PartnersCapital,-4443774.000,-4179607.000,-4148582.000,-4205317.000,-3837836.000,-3859507.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-4443774.000,-4179607.000,-4148582.000,-4205317.000,-3837836.000,-3859507.000
