,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,22785000.000,27897000.000,21649000.000,22552000.000,22507000.000,30092000.000,23000000.000,23295000.000,24233000.000,32917000.000,30525000.000,30270000.000,35246000.000,29216000.000,22762000.000,46274000.000,30517000.000,38923000.000,27318000.000,41292000.000,38664000.000,44140000.000,31336000.000,35890000.000
AccountsReceivableNetCurrent,33643000.000,44225000.000,40042000.000,43141000.000,50630000.000,50043000.000,47139000.000,40309000.000,50552000.000,52299000.000,47560000.000,55579000.000,49186000.000,59432000.000,48362000.000,70252000.000,63563000.000,68521000.000,56617000.000,59532000.000,69625000.000,70482000.000,65441000.000,64189000.000
AccruedVacationCurrent,1830000.000,1600000.000,,,,,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,60128000.000,,,,66761000.000,,,,72049000.000,,,,77396000.000,,,,76972000.000,
AdditionalPaidInCapital,70346000.000,70616000.000,71145000.000,71660000.000,71967000.000,72240000.000,72873000.000,73322000.000,74020000.000,74277000.000,75075000.000,75629000.000,75474000.000,75334000.000,75695000.000,75962000.000,76135000.000,76307000.000,76472000.000,76954000.000,76329000.000,76678000.000,76837000.000,76686000.000
AllowanceForDoubtfulAccountsReceivableCurrent,755000.000,733000.000,749000.000,675000.000,777000.000,1010000.000,1021000.000,1014000.000,964000.000,777000.000,769000.000,234000.000,194000.000,193000.000,144000.000,142000.000,149000.000,130000.000,130000.000,419000.000,702000.000,412000.000,487000.000,300000.000
Assets,241956000.000,251372000.000,248609000.000,247350000.000,249626000.000,258506000.000,245151000.000,243424000.000,244328000.000,255912000.000,253282000.000,252469000.000,256308000.000,250883000.000,238813000.000,259027000.000,242891000.000,248485000.000,230671000.000,247594000.000,249773000.000,261248000.000,243294000.000,313835000.000
AssetsCurrent,139588000.000,150306000.000,149069000.000,156936000.000,157363000.000,166542000.000,152523000.000,151194000.000,153631000.000,166861000.000,170727000.000,171224000.000,176474000.000,172483000.000,161251000.000,181774000.000,166458000.000,175500000.000,158301000.000,175203000.000,174401000.000,182168000.000,162191000.000,214072000.000
AssetsHeldForSaleCurrent,,,,3432000.000,3432000.000,4973000.000,716000.000,716000.000,716000.000,716000.000,373000.000,373000.000,,,,,,,,,,,,
AssetsHeldForSaleLongLived,,,,,3432000.000,4973000.000,,,,,,,,,,,,,,,,,,
