,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,37993.000,99408.000,113908.000,208585.000,249862.000,303161.000,361759.000,402681.000,446477.000,479742.000,521617.000,561378.000
AccountsPayableInterestBearingInterestRate,,,,,,,,,,,,0.080
AccountsPayableRelatedPartiesCurrent,15444.000,28750.000,34300.000,42558.000,54641.000,81647.000,92146.000,98146.000,93647.000,104714.000,106796.000,108878.000
AccountsReceivableNetCurrent,25000.000,37500.000,50000.000,62500.000,75000.000,87500.000,100000.000,100000.000,100000.000,100000.000,100000.000,
AdditionalPaidInCapital,,,,14999.000,14999.000,14999.000,14999.000,14999.000,14999.000,14999.000,14999.000,14999.000
Assets,40375.000,50925.000,57060.000,62875.000,75375.000,112865.000,100838.000,100790.000,100742.000,100460.000,100412.000,375.000
AssetsCurrent,40369.000,50919.000,57054.000,62869.000,75369.000,112859.000,100832.000,100784.000,100736.000,100454.000,100406.000,369.000
BankOverdrafts,,,,446.000,487.000,,,,,,,
Cash,,13050.000,185.000,,,500.000,463.000,415.000,367.000,85.000,37.000,
CashAndCashEquivalentsAtCarryingValue,,13050.000,185.000,,,500.000,463.000,415.000,367.000,85.000,37.000,
CommonStockSharesAuthorized,50000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,1025000.000,77853750.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000
CommonStockSharesOutstanding,1025000.000,77853750.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000,77887500.000
CommonStockValue,15006.000,15006.000,15006.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000
DeferredTaxAssetsGross,,,,71059.000,,,,164129.000,,,,270583.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,204721.000,,,,416043.000,,,,685887.000
DeferredTaxAssetsValuationAllowance,,,,-71059.000,,,,164129.000,,,,270583.000
FairValueInvestmentsEntitiesThatCalculateNetAssetValuePerSharePlannedSaleInvestmentsNotIdentifiedPercentage,,,,,,,,,,,,1.000
Investments,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000
Liabilities,,,,251589.000,,,,500827.000,,,,
LiabilitiesAndStockholdersEquity,40375.000,50925.000,57060.000,62875.000,75375.000,112865.000,100838.000,100790.000,100742.000,100460.000,100412.000,375.000
LiabilitiesCurrent,53437.000,128158.000,148208.000,251589.000,304990.000,384808.000,453905.000,500827.000,540124.000,584456.000,628413.000,670256.000
OtherAssets,,,,,,369.000,369.000,,,,,
OtherAssetsCurrent,369.000,369.000,,,,,,,,369.000,369.000,
PrepaidExpenseAndOtherAssets,15000.000,,,,,,,,,,,
PrepaidExpenseAndOtherAssetsCurrent,,,6869.000,369.000,369.000,24490.000,,369.000,369.000,,,369.000
RetainedEarningsAccumulatedDeficit,-29068.000,-93239.000,-107154.000,-204720.000,-245621.000,-287949.000,-369073.000,-416043.000,-455388.000,-500002.000,-544007.000,-685887.000
StockholdersEquity,-13062.000,-77233.000,-91148.000,-188714.000,-229615.000,-271943.000,-353067.000,-400037.000,-439382.000,-483996.000,-528001.000,-669881.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,-188714.000,,,,-400037.000,,,,
